temps_s,T1_C,T2_C,T3_C
0.000,23.19,23.26,23.30
0.503,23.19,23.26,23.30
1.007,23.19,23.26,23.30
1.510,23.19,23.26,23.30
2.014,23.19,23.26,23.30
2.516,23.19,23.26,23.30
3.020,23.19,23.26,23.30
3.523,23.19,23.26,23.30
4.027,23.19,23.26,23.30
4.530,23.19,23.26,23.30
5.032,23.19,23.26,23.30
5.536,23.15,23.26,23.30
6.039,23.19,23.26,23.30
6.543,23.19,23.26,23.30
7.045,23.19,23.26,23.30
7.549,23.19,23.26,23.30
8.052,23.19,23.26,23.30
8.556,23.19,23.26,23.30
9.059,23.19,23.26,23.30
9.562,23.19,23.26,23.30
10.065,23.19,23.26,23.30
10.569,23.19,23.26,23.30
11.072,23.19,23.26,23.30
11.576,23.19,23.26,23.30
12.078,23.19,23.22,23.30
12.582,23.19,23.26,23.30
13.085,23.19,23.26,23.30
13.589,23.19,23.22,23.30
14.092,23.19,23.22,23.30
14.595,23.19,23.26,23.30
15.098,23.19,23.22,23.30
15.602,23.19,23.22,23.30
16.105,23.19,23.22,23.30
16.609,23.15,23.26,23.30
17.111,23.19,23.26,23.30
17.615,23.19,23.26,23.30
18.118,23.15,23.22,23.30
18.622,23.19,23.26,23.30
19.125,23.19,23.22,23.30
19.628,23.15,23.22,23.30
20.131,23.19,23.22,23.30
20.635,23.19,23.22,23.30
21.138,23.15,23.22,23.30
21.642,23.15,23.22,23.30
22.144,23.19,23.22,23.27
22.648,23.15,23.22,23.30
23.151,23.19,23.26,23.30
23.655,23.19,23.22,23.30
24.158,23.19,23.22,23.30
24.661,23.19,23.22,23.30
25.164,23.15,23.22,23.30
25.668,23.19,23.26,23.30
26.171,23.15,23.22,23.30
26.675,23.19,23.22,23.30
27.177,23.15,23.22,23.30
27.681,23.15,23.26,23.30
28.184,23.19,23.22,23.30
28.688,23.15,23.26,23.30
29.191,23.19,23.22,23.30
29.694,23.19,23.22,23.27
30.197,23.15,23.22,23.27
30.701,23.15,23.22,23.30
31.204,23.19,23.22,23.30
31.708,23.19,23.22,23.30
32.210,23.19,23.22,23.27
32.714,23.15,23.22,23.27
33.217,23.15,23.22,23.30
33.721,23.19,23.22,23.30
34.223,23.15,23.22,23.27
34.727,23.15,23.22,23.30
35.230,23.19,23.22,23.30
35.734,23.15,23.22,23.27
36.237,23.15,23.22,23.27
36.740,23.19,23.22,23.30
37.243,23.15,23.22,23.27
37.747,23.15,23.22,23.27
38.250,23.19,23.22,23.27
38.754,23.15,23.22,23.27
39.256,23.19,23.22,23.30
39.760,23.15,23.22,23.27
40.263,23.19,23.22,23.27
40.767,23.19,23.22,23.27
41.270,23.19,23.22,23.27
41.773,23.15,23.22,23.27
42.276,23.15,23.22,23.27
42.780,23.19,23.22,23.27
43.283,23.15,23.22,23.27
43.787,23.19,23.22,23.27
44.289,23.19,23.22,23.27
44.793,23.15,23.22,23.27
45.296,23.15,23.22,23.27
45.800,23.19,23.22,23.27
46.303,23.19,23.22,23.27
46.806,23.19,23.22,23.27
47.309,23.15,23.22,23.30
47.813,23.19,23.22,23.27
48.316,23.19,23.22,23.27
48.820,23.19,23.22,23.27
49.322,23.15,23.22,23.27
49.826,23.15,23.22,23.27
50.329,23.15,23.22,23.27
50.833,23.15,23.22,23.27
51.336,23.15,23.22,23.27
51.839,23.15,23.22,23.27
52.342,23.15,23.22,23.27
52.846,23.15,23.22,23.27
53.349,23.15,23.22,23.27
53.853,23.19,23.22,23.30
54.355,23.15,23.22,23.27
54.859,23.15,23.22,23.27
55.362,23.15,23.22,23.30
55.866,23.15,23.22,23.27
56.369,23.15,23.22,23.27
56.872,23.19,23.22,23.27
57.375,23.15,23.22,23.27
57.879,23.15,23.22,23.27
58.382,23.19,23.22,23.27
58.885,23.15,23.22,23.27
59.388,23.15,23.22,23.27
59.892,23.15,23.22,23.27
60.395,23.15,23.22,23.27
60.899,23.15,23.22,23.27
61.401,23.15,23.22,23.27
61.905,23.15,23.22,23.27
62.408,23.15,23.22,23.27
62.912,23.15,23.22,23.27
63.415,23.15,23.22,23.27
63.918,23.15,23.22,23.27
64.421,23.15,23.22,23.27
64.925,23.15,23.22,23.27
65.428,23.15,23.22,23.27
65.932,23.15,23.22,23.27
66.434,23.15,23.22,23.27
