temps_s,T1_C,T2_C,T3_C
0.000,27.19,24.73,23.37
0.503,27.19,24.73,23.41
1.007,27.15,24.73,23.41
1.510,27.15,24.73,23.45
2.014,27.12,24.76,23.48
2.516,27.12,24.76,23.52
3.020,27.12,24.80,23.55
3.523,27.12,24.80,23.59
4.027,27.12,24.80,23.59
4.530,27.12,24.80,23.62
5.033,27.12,24.83,23.66
5.536,27.12,24.83,23.66
6.039,27.12,24.83,23.69
6.543,27.12,24.86,23.73
7.045,27.12,24.86,23.76
7.549,27.12,24.86,23.76
8.052,27.12,24.86,23.80
8.556,27.08,24.89,23.83
9.059,27.12,24.89,23.83
9.562,27.12,24.89,23.87
10.065,27.12,24.89,23.90
10.569,27.12,24.93,23.90
11.072,27.08,24.93,23.94
11.576,27.08,24.93,23.94
12.078,27.12,24.96,23.98
12.582,27.08,24.96,24.01
13.085,27.12,24.96,24.01
13.589,27.12,24.96,24.05
14.092,27.12,24.99,24.05
14.595,27.12,24.99,24.08
15.098,27.12,24.99,24.08
15.602,27.12,24.99,24.12
16.105,27.12,25.03,24.15
16.609,27.12,25.03,24.15
17.111,27.12,25.03,24.19
17.615,27.12,25.03,24.19
18.118,27.12,25.06,24.22
18.622,27.15,25.06,24.22
19.125,27.12,25.06,24.26
19.628,27.15,25.09,24.26
20.131,27.15,25.09,24.26
20.635,27.15,25.09,24.29
21.138,27.15,25.09,24.29
21.642,27.15,25.12,24.33
22.144,27.15,25.12,24.33
22.648,27.15,25.12,24.36
23.151,27.15,25.12,24.36
23.655,27.15,25.16,24.40
24.158,27.15,25.16,24.40
24.661,27.19,25.16,24.43
25.164,27.19,25.16,24.43
25.668,27.19,25.19,24.43
26.171,27.19,25.19,24.47
26.675,27.19,25.19,24.47
27.177,27.19,25.19,24.47
27.681,27.19,25.22,24.50
28.184,27.19,25.22,24.50
28.688,27.19,25.22,24.54
29.191,27.22,25.22,24.54
29.694,27.22,25.25,24.54
30.197,27.22,25.25,24.57
30.701,27.22,25.25,24.57
31.204,27.22,25.25,24.61
31.708,27.22,25.29,24.61
32.211,27.22,25.29,24.61
32.714,27.22,25.29,24.64
33.218,27.26,25.32,24.64
33.721,27.26,25.32,24.64
34.225,27.26,25.32,24.68
34.727,27.26,25.32,24.68
35.231,27.26,25.32,24.68
35.734,27.26,25.35,24.71
36.238,27.26,25.35,24.71
36.740,27.29,25.35,24.71
37.244,27.29,25.35,24.75
37.747,27.29,25.38,24.75
38.251,27.29,25.38,24.75
38.754,27.29,25.38,24.75
39.257,27.29,25.38,24.78
39.760,27.29,25.42,24.78
40.264,27.29,25.42,24.78
40.767,27.33,25.42,24.82
41.271,27.33,25.42,24.82
41.773,27.33,25.42,24.82
42.277,27.33,25.45,24.85
42.780,27.33,25.45,24.85
43.284,27.33,25.45,24.85
43.787,27.33,25.45,24.85
44.290,27.36,25.45,24.89
44.793,27.36,25.48,24.89
45.297,27.36,25.48,24.89
45.800,27.36,25.48,24.93
46.304,27.36,25.48,24.93
46.806,27.36,25.51,24.93
47.310,27.36,25.51,24.93
47.813,27.36,25.51,24.96
48.317,27.36,25.51,24.96
48.820,27.36,25.51,24.96
49.323,27.39,25.51,24.96
49.826,27.39,25.55,25.00
50.330,27.39,25.55,25.00
50.833,27.39,25.55,25.00
51.337,27.39,25.55,25.03
51.839,27.39,25.58,25.03
