temps_s,T1_C,T2_C,T3_C
0.000,23.58,23.02,23.09
0.503,23.86,23.02,23.06
1.007,24.14,23.06,23.09
1.510,24.46,23.06,23.09
2.014,24.78,23.06,23.09
2.516,25.09,23.06,23.06
3.020,25.44,23.09,23.09
3.523,25.72,23.09,23.09
4.026,26.04,23.09,23.06
4.530,26.32,23.12,23.09
5.032,26.63,23.12,23.09
5.536,26.91,23.16,23.09
6.039,27.15,23.19,23.09
6.543,27.39,23.22,23.09
7.045,27.64,23.26,23.09
7.549,27.88,23.29,23.09
8.052,28.12,23.32,23.09
8.556,28.33,23.35,23.09
9.059,28.54,23.39,23.09
9.561,28.75,23.45,23.09
10.065,28.92,23.52,23.09
10.568,29.13,23.55,23.09
11.072,29.30,23.59,23.09
11.575,29.51,23.65,23.13
12.078,29.68,23.72,23.13
12.581,29.85,23.75,23.13
13.085,30.03,23.82,23.13
13.588,30.17,23.88,23.13
14.092,30.34,23.91,23.13
14.594,30.51,23.98,23.16
15.098,30.65,24.04,23.16
15.601,30.82,24.11,23.16
16.105,30.96,24.18,23.20
16.608,31.10,24.24,23.20
17.111,31.24,24.27,23.20
17.614,31.38,24.34,23.23
18.118,31.55,24.40,23.23
18.621,31.69,24.47,23.27
19.125,31.82,24.54,23.27
19.627,31.96,24.60,23.27
20.131,32.07,24.67,23.30
20.634,32.20,24.73,23.30
21.138,32.31,24.80,23.34
21.641,32.45,24.86,23.34
22.144,32.55,24.93,23.37
22.647,32.69,24.99,23.41
23.151,32.83,25.06,23.41
23.654,32.93,25.12,23.45
24.158,33.04,25.19,23.48
24.660,33.14,25.25,23.48
25.164,33.28,25.32,23.52
25.667,33.38,25.38,23.55
26.171,33.49,25.45,23.59
26.674,33.59,25.51,23.62
27.177,33.66,25.58,23.66
27.680,33.76,25.64,23.66
28.184,33.87,25.71,23.69
28.687,33.94,25.77,23.73
29.191,34.04,25.84,23.76
29.693,34.11,25.90,23.80
30.197,34.21,25.97,23.83
30.700,34.32,26.03,23.87
31.204,34.39,26.10,23.90
31.706,34.49,26.16,23.94
32.210,34.56,26.23,23.98
32.713,34.66,26.29,24.01
33.217,34.77,26.36,24.05
33.720,34.87,26.42,24.08
34.223,34.94,26.49,24.12
34.726,35.01,26.55,24.19
35.230,35.12,26.61,24.22
35.733,35.19,26.65,24.26
36.237,35.26,26.71,24.29
36.739,35.32,26.78,24.33
37.243,35.43,26.84,24.36
37.746,35.50,26.91,24.43
38.250,35.57,26.97,24.47
38.753,35.64,27.03,24.50
39.256,35.71,27.10,24.57
39.759,35.81,27.16,24.61
40.263,35.88,27.23,24.64
40.766,35.95,27.26,24.68
41.270,36.02,27.32,24.71
41.772,36.13,27.39,24.78
42.276,36.20,27.45,24.82
42.779,36.27,27.52,24.85
43.283,36.34,27.58,24.93
43.786,36.41,27.61,24.96
44.289,36.51,27.68,25.00
44.792,36.58,27.74,25.07
45.296,36.62,27.81,25.10
45.799,36.69,27.87,25.14
46.303,36.76,27.94,25.21
46.805,36.83,28.00,25.24
47.309,36.90,28.03,25.28
47.812,36.97,28.10,25.35
48.316,37.00,28.16,25.38
48.819,37.07,28.19,25.45
49.322,37.14,28.26,25.49
49.825,37.21,28.32,25.52
50.329,37.25,28.39,25.59
50.832,37.32,28.42,25.63
51.336,37.35,28.48,25.66
51.838,37.42,28.55,25.73
52.342,37.46,28.58,25.77
52.845,37.53,28.64,25.80
53.349,37.56,28.67,25.87
53.852,37.60,28.74,25.91
54.355,37.67,28.80,25.98
54.858,37.74,28.84,26.01
55.362,37.77,28.90,26.05
55.865,37.84,28.96,26.12
56.369,37.88,29.00,26.15
56.871,37.95,29.06,26.22
57.375,37.98,29.12,26.25
57.878,38.05,29.16,26.29
58.382,38.12,29.22,26.36
58.884,38.16,29.25,26.39
59.388,38.23,29.32,26.46
59.891,38.27,29.38,26.50
60.395,38.34,29.41,26.57
60.898,38.37,29.48,26.60
61.401,38.41,29.51,26.64
61.904,38.48,29.57,26.71
62.408,38.55,29.60,26.74
62.911,38.58,29.67,26.81
63.415,38.62,29.73,26.85
63.917,38.69,29.76,26.92
64.421,38.76,29.83,26.95
64.924,38.80,29.86,26.99
65.428,38.83,29.92,27.06
65.931,38.90,29.99,27.09
66.434,38.94,30.02,27.16
66.937,38.97,30.08,27.19
67.441,39.04,30.12,27.23
67.944,39.08,30.18,27.30
68.448,39.11,30.21,27.33
68.950,39.15,30.28,27.37
69.454,39.18,30.31,27.44
69.957,39.26,30.37,27.47
70.461,39.29,30.40,27.54
70.964,39.33,30.47,27.58
71.467,39.40,30.50,27.61
71.970,39.43,30.56,27.68
72.474,39.47,30.60,27.72
72.977,39.54,30.63,27.75
73.481,39.54,30.69,27.82
73.983,39.61,30.72,27.85
74.487,39.65,30.79,27.89
74.990,39.68,30.82,27.96
75.494,39.72,30.88,27.99
75.997,39.79,30.92,28.06
76.500,39.82,30.95,28.10
77.003,39.86,31.01,28.13
77.507,39.93,31.04,28.20
78.010,39.97,31.08,28.24
78.514,40.00,31.14,28.27
79.016,40.04,31.17,28.34
79.520,40.11,31.24,28.38
80.023,40.14,31.27,28.41
80.527,40.18,31.30,28.48
81.029,40.22,31.36,28.51
81.533,40.25,31.40,28.58
82.036,40.32,31.43,28.62
82.540,40.32,31.49,28.65
83.043,40.39,31.52,28.69
83.546,40.43,31.59,28.76
84.049,40.47,31.62,28.79
84.553,40.54,31.65,28.83
85.056,40.57,31.72,28.89
85.560,40.64,31.75,28.93
86.062,40.68,31.78,28.96
86.566,40.72,31.81,29.03
87.069,40.79,31.88,29.07
87.573,40.79,31.91,29.14
88.076,40.86,31.97,29.17
88.579,40.86,32.00,29.21
89.082,40.93,32.04,29.24
89.586,40.93,32.10,29.31
90.089,40.97,32.13,29.34
90.593,41.00,32.16,29.38
91.095,41.04,32.23,29.45
91.599,41.11,32.26,29.48
92.102,41.15,32.29,29.52
92.606,41.18,32.32,29.59
93.109,41.22,32.39,29.62
93.612,41.25,32.42,29.66
94.115,41.29,32.45,29.69
94.619,41.33,32.49,29.73
95.122,41.36,32.52,29.79
95.626,41.40,32.58,29.83
96.128,41.43,32.61,29.86
96.632,41.47,32.65,29.90
97.135,41.51,32.68,29.97
97.639,41.54,32.71,30.00
98.142,41.58,32.74,30.04
98.645,41.61,32.77,30.07
99.148,41.65,32.81,30.14
99.652,41.69,32.87,30.17
100.155,41.72,32.90,30.21
100.659,41.76,32.93,30.24
101.161,41.79,32.97,30.28
101.665,41.83,33.00,30.31
102.169,41.87,33.06,30.38
102.672,41.90,33.09,30.42
103.176,41.94,33.13,30.45
