temps_s,T1_C,T2_C,T3_C
0.000,47.46,42.18,40.76
0.503,47.16,42.15,40.76
1.007,46.63,42.15,40.76
1.510,46.14,42.11,40.76
2.014,45.65,42.11,40.80
2.516,45.13,42.08,40.76
3.020,44.68,42.08,40.76
3.523,44.20,42.05,40.80
4.027,43.76,41.98,40.76
4.530,43.36,41.94,40.76
5.033,42.92,41.91,40.76
5.536,42.55,41.84,40.76
6.040,42.16,41.81,40.76
6.543,41.79,41.74,40.76
7.047,41.43,41.64,40.76
7.549,41.07,41.61,40.76
8.053,40.75,41.54,40.72
8.556,40.43,41.44,40.72
9.060,40.14,41.37,40.72
9.562,39.82,41.31,40.69
10.066,39.54,41.21,40.69
10.569,39.26,41.11,40.69
11.073,38.97,41.04,40.69
11.576,38.69,40.94,40.65
12.079,38.44,40.84,40.65
12.582,38.16,40.74,40.65
13.086,37.91,40.67,40.62
13.589,37.67,40.54,40.62
14.093,37.42,40.47,40.58
14.595,37.21,40.34,40.58
15.099,36.97,40.24,40.55
15.602,36.72,40.14,40.55
16.106,36.51,40.04,40.51
16.609,36.30,39.94,40.47
17.112,36.06,39.84,40.47
17.615,35.88,39.74,40.44
18.119,35.67,39.65,40.40
18.622,35.46,39.55,40.37
19.126,35.29,39.45,40.33
19.628,35.08,39.35,40.33
20.132,34.87,39.25,40.26
20.635,34.70,39.15,40.22
21.139,34.53,39.02,40.19
21.643,34.32,38.92,40.15
22.145,34.14,38.82,40.12
22.649,33.97,38.69,40.08
23.152,33.80,38.59,40.05
23.656,33.62,38.49,40.01
24.159,33.45,38.40,39.94
24.662,33.28,38.26,39.90
25.165,33.14,38.17,39.87
25.669,32.97,38.07,39.80
26.172,32.83,37.94,39.76
26.676,32.65,37.84,39.69
27.178,32.52,37.74,39.62
27.682,32.38,37.64,39.58
28.185,32.24,37.55,39.51
28.689,32.07,37.45,39.48
29.192,31.93,37.35,39.41
29.695,31.79,37.22,39.34
30.198,31.65,37.12,39.30
30.702,31.51,37.06,39.23
31.205,31.38,36.93,39.19
31.709,31.24,36.83,39.12
32.211,31.10,36.73,39.05
32.715,30.96,36.64,39.02
33.218,30.86,36.54,38.95
33.722,30.72,36.44,38.84
34.225,30.62,36.34,38.80
34.728,30.48,36.25,38.73
35.231,30.34,36.15,38.66
35.735,30.24,36.09,38.59
36.238,30.13,35.99,38.52
36.741,29.99,35.86,38.45
37.244,29.89,35.80,38.38
37.748,29.75,35.70,38.31
38.251,29.65,35.60,38.24
38.755,29.51,35.50,38.17
39.257,29.41,35.41,38.10
39.761,29.30,35.31,38.03
40.264,29.20,35.21,37.99
40.768,29.09,35.12,37.92
41.271,28.96,35.02,37.85
41.774,28.85,34.92,37.78
42.277,28.75,34.83,37.71
42.781,28.64,34.76,37.64
43.284,28.54,34.67,37.57
43.788,28.44,34.57,37.50
44.290,28.33,34.47,37.43
44.794,28.19,34.38,37.36
45.297,28.09,34.28,37.25
45.801,27.98,34.18,37.18
46.304,27.92,34.09,37.11
46.807,27.81,33.99,37.04
47.310,27.71,33.90,36.97
47.814,27.60,33.83,36.90
48.317,27.50,33.74,36.83
48.821,27.43,33.64,36.76
49.323,27.33,33.57,36.69
49.827,27.22,33.48,36.62
50.330,27.12,33.38,36.55
50.834,27.01,33.29,36.48
51.337,26.91,33.22,36.41
51.840,26.80,33.13,36.34
52.343,26.73,33.03,36.24
52.847,26.63,32.97,36.17
53.350,26.56,32.87,36.07
53.854,26.46,32.81,36.00
54.356,26.39,32.71,35.93
54.860,26.32,32.65,35.86
55.363,26.21,32.55,35.75
55.867,26.14,32.45,35.68
56.370,26.07,32.39,35.61
56.873,25.97,32.29,35.54
57.376,25.90,32.23,35.44
57.880,25.83,32.13,35.37
58.383,25.72,32.07,35.30
58.887,25.65,31.97,35.19
59.389,25.58,31.88,35.12
59.893,25.51,31.81,35.02
60.396,25.44,31.75,34.95
60.900,25.37,31.65,34.85
61.402,25.27,31.59,34.78
61.906,25.20,31.49,34.67
62.409,25.13,31.43,34.60
62.912,25.06,31.36,34.53
63.416,24.99,31.27,34.43
63.919,24.95,31.20,34.36
64.422,24.85,31.14,34.26
64.926,24.78,31.04,34.19
65.429,24.71,30.98,34.12
65.933,24.64,30.92,34.05
66.435,24.57,30.82,33.94
66.939,24.49,30.76,33.88
67.442,24.39,30.69,33.81
67.946,24.32,30.60,33.74
68.449,24.25,30.53,33.67
68.952,24.18,30.44,33.56
69.455,24.11,30.37,33.49
69.959,24.04,30.31,33.42
70.462,23.97,30.21,33.32
70.966,23.90,30.15,33.25
71.468,23.83,30.08,33.18
71.972,23.79,29.99,33.11
72.475,23.68,29.92,33.01
72.979,23.65,29.86,32.94
73.482,23.58,29.80,32.87
73.985,23.51,29.70,32.80
74.488,23.44,29.64,32.73
74.992,23.37,29.57,32.66
75.495,23.29,29.51,32.56
75.999,23.22,29.44,32.49
76.501,23.15,29.38,32.42
77.005,23.12,29.32,32.35
77.508,23.05,29.25,32.28
78.012,22.98,29.16,32.21
78.515,22.90,29.12,32.14
79.018,22.83,29.03,32.04
79.521,22.80,28.96,31.97
80.025,22.73,28.90,31.90
80.528,22.66,28.84,31.83
81.032,22.62,28.77,31.76
81.534,22.55,28.71,31.70
82.038,22.48,28.64,31.63
82.541,22.41,28.58,31.56
83.045,22.37,28.51,31.49
83.548,22.30,28.45,31.42
84.050,22.23,28.39,31.35
84.554,22.19,28.32,31.28
85.058,22.12,28.26,31.21
85.561,22.05,28.19,31.14
86.065,22.01,28.13,31.07
86.567,21.94,28.10,31.04
87.070,21.87,28.00,30.97
87.574,21.83,27.94,30.90
88.077,21.76,27.90,30.83
88.580,21.73,27.84,30.76
89.083,21.66,27.78,30.69
89.587,21.62,27.71,30.62
90.090,21.55,27.65,30.55
90.594,21.48,27.58,30.49
91.096,21.44,27.52,30.42
91.600,21.37,27.45,30.35
92.103,21.33,27.39,30.28
92.607,21.26,27.32,30.21
93.110,21.22,27.26,30.14
93.613,21.15,27.20,30.07
94.116,21.12,27.16,30.00
94.620,21.08,27.10,29.93
95.123,21.01,27.03,29.86
95.627,20.97,26.97,29.79
96.129,20.90,26.91,29.73
96.633,20.86,26.84,29.66
97.136,20.83,26.78,29.62
97.640,20.76,26.71,29.55
98.143,20.68,26.65,29.48
98.646,20.65,26.61,29.41
99.149,20.61,26.55,29.38
99.653,20.54,26.49,29.31
100.156,20.50,26.45,29.24
100.660,20.43,26.39,29.21
101.162,20.39,26.36,29.14
101.666,20.32,26.29,29.07
102.169,20.29,26.23,29.00
102.673,20.25,26.16,28.93
103.177,20.18,26.13,28.89
103.679,20.14,26.06,28.83
104.183,20.07,26.03,28.76
104.686,20.03,25.97,28.69
105.190,19.96,25.90,28.65
105.693,19.92,25.87,28.58
106.196,19.89,25.81,28.51
106.699,19.85,25.74,28.48
107.203,19.78,25.68,28.41
107.706,19.74,25.64,28.34
108.210,19.70,25.58,28.27
108.712,19.63,25.55,28.24
109.216,19.59,25.48,28.17
109.720,19.56,25.45,28.10
110.223,19.48,25.38,28.06
110.727,19.45,25.32,27.99
111.229,19.41,25.29,27.92
111.733,19.34,25.22,27.89
112.236,19.30,25.19,27.82
112.740,19.26,25.12,27.75
113.242,19.19,25.06,27.72
113.746,19.15,25.03,27.65
114.249,19.12,24.96,27.61
114.753,19.08,24.93,27.54
115.256,19.01,24.86,27.51
115.759,18.97,24.83,27.44
116.263,18.93,24.76,27.37
116.766,18.90,24.73,27.33
117.270,18.86,24.67,27.26
117.773,18.79,24.63,27.23
118.276,18.75,24.57,27.16
118.779,18.71,24.54,27.13
119.283,18.68,24.47,27.06
119.786,18.64,24.44,26.99
120.290,18.57,24.37,26.95
120.792,18.53,24.34,26.88
121.296,18.49,24.27,26.85
121.799,18.46,24.24,26.78
122.303,18.42,24.21,26.74
122.807,18.38,24.14,26.67
123.309,18.34,24.11,26.64
123.813,18.27,24.04,26.57
124.316,18.23,24.01,26.53
124.820,18.20,23.98,26.46
125.323,18.16,23.91,26.43
125.826,18.12,23.88,26.36
126.329,18.09,23.82,26.32
126.833,18.01,23.78,26.25
127.336,17.97,23.75,26.22
127.840,17.94,23.72,26.15
128.342,17.90,23.65,26.12
128.846,17.86,23.62,26.08
129.350,17.83,23.55,26.01
129.853,17.79,23.52,25.94
130.357,17.75,23.49,25.91
130.859,17.71,23.42,25.87
131.363,17.68,23.39,25.80
131.866,17.64,23.35,25.77
132.370,17.60,23.29,25.70
132.873,17.56,23.26,25.66
133.376,17.53,23.22,25.59
133.879,17.49,23.16,25.56
134.383,17.45,23.12,25.52
134.887,17.42,23.09,25.45
135.390,17.38,23.06,25.42
135.893,17.34,22.99,25.35
136.396,17.30,22.96,25.31
136.900,17.27,22.93,25.28
137.403,17.23,22.89,25.21
137.907,17.19,22.83,25.17
138.409,17.15,22.79,25.14
138.913,17.12,22.76,25.07
139.416,17.08,22.73,25.03
139.920,17.04,22.66,25.00
140.423,17.00,22.63,24.93
140.926,16.97,22.59,24.89
141.429,16.93,22.56,24.85
141.933,16.89,22.53,24.82
142.436,16.85,22.46,24.75
142.940,16.82,22.46,24.71
143.443,16.78,22.40,24.68
143.946,16.70,22.36,24.61
144.450,16.66,22.33,24.57
144.953,16.63,22.26,24.54
145.457,16.63,22.23,24.47
145.959,16.59,22.20,24.43
146.463,16.55,22.16,24.40
146.966,16.51,22.13,24.36
147.470,16.48,22.10,24.33
147.972,16.44,22.06,24.26
148.476,16.40,22.00,24.22
148.979,16.36,22.00,24.19
149.483,16.32,21.93,24.15
149.986,16.29,21.90,24.12
150.489,16.29,21.86,24.05
150.993,16.25,21.83,24.01
151.496,16.21,21.80,23.98
152.000,16.17,21.76,23.94
152.503,16.14,21.70,23.90
153.006,16.10,21.70,23.83
153.509,16.10,21.63,23.80
154.013,16.06,21.60,23.76
154.516,16.02,21.56,23.73
155.020,16.02,21.53,23.69
155.522,15.95,21.50,23.66
156.026,15.95,21.46,23.59
156.529,15.91,21.43,23.55
157.033,15.87,21.40,23.52
157.536,15.87,21.36,23.48
158.039,15.83,21.33,23.45
158.542,15.79,21.29,23.41
159.046,15.75,21.26,23.34
159.549,15.72,21.23,23.30
160.053,15.72,21.19,23.27
160.555,15.68,21.16,23.23
161.059,15.64,21.13,23.20
161.563,15.60,21.09,23.16
162.066,15.56,21.06,23.13
162.570,15.56,21.03,23.09
163.072,15.53,20.99,23.06
163.576,15.49,20.96,23.02
164.079,15.45,20.93,22.95
164.583,15.41,20.89,22.91
165.086,15.41,20.86,22.88
165.589,15.37,20.82,22.84
166.092,15.33,20.79,22.81
166.596,15.30,20.76,22.77
167.099,15.26,20.72,22.74
167.603,15.26,20.69,22.70
168.105,15.22,20.66,22.66
168.609,15.18,20.62,22.63
169.112,15.14,20.59,22.59
169.616,15.10,20.55,22.56
170.120,15.10,20.52,22.52
170.622,15.06,20.49,22.49
171.126,15.03,20.45,22.45
171.629,14.99,20.42,22.42
172.133,14.95,20.39,22.38
172.636,14.95,20.35,22.34
173.139,14.91,20.32,22.31
173.642,14.87,20.28,22.27
174.146,14.83,20.28,22.24
174.649,14.83,20.25,22.20
175.153,14.79,20.22,22.17
175.655,14.79,20.18,22.13
176.159,14.72,20.15,22.09
176.662,14.72,20.11,22.06
177.166,14.68,20.08,22.02
177.668,14.64,20.05,21.99
178.172,14.60,20.01,21.99
178.675,14.60,19.98,21.95
179.179,14.56,19.98,21.92
179.682,14.52,19.94,21.88
180.185,14.52,19.91,21.84
180.689,14.48,19.88,21.81
181.192,14.45,19.84,21.77
181.696,14.45,19.81,21.74
182.199,14.41,19.77,21.70
182.702,14.37,19.77,21.66
183.205,14.33,19.74,21.63
183.709,14.33,19.71,21.59
184.212,14.29,19.67,21.56
184.716,14.29,19.64,21.56
185.218,14.25,19.60,21.52
185.722,14.25,19.57,21.49
186.225,14.21,19.57,21.45
186.729,14.21,19.54,21.41
187.232,14.17,19.50,21.38
187.735,14.17,19.47,21.34
188.238,14.13,19.43,21.31
188.742,14.10,19.43,21.31
189.246,14.10,19.40,21.27
189.749,14.06,19.36,21.23
190.252,14.02,19.33,21.20
190.755,13.98,19.30,21.16
191.259,13.98,19.26,21.13
191.762,13.94,19.26,21.13
192.266,13.94,19.23,21.09
192.768,13.90,19.19,21.05
193.272,13.90,19.16,21.02
193.775,13.86,19.16,20.98
194.279,13.82,19.12,20.98
194.782,13.78,19.09,20.95
195.285,13.78,19.06,20.91
195.788,13.74,19.06,20.87
196.292,13.74,19.02,20.84
196.795,13.70,18.99,20.80
197.299,13.70,18.95,20.76
197.801,13.66,18.95,20.76
198.305,13.63,18.92,20.73
198.808,13.59,18.88,20.69
199.312,13.59,18.85,20.66
199.815,13.55,18.81,20.62
200.318,13.55,18.81,20.62
200.821,13.51,18.78,20.58
201.325,13.43,18.75,20.55
201.829,13.43,18.75,20.51
202.332,13.39,18.71,20.48
202.835,13.39,18.68,20.48
203.338,13.35,18.68,20.44
203.842,13.35,18.64,20.40
204.345,13.31,18.61,20.37
204.849,13.31,18.57,20.37
205.351,13.27,18.57,20.33
205.855,13.23,18.54,20.29
206.358,13.23,18.50,20.26
206.862,13.19,18.47,20.26
207.364,13.19,18.47,20.22
207.868,13.15,18.43,20.19
208.371,13.11,18.43,20.19
208.875,13.11,18.40,20.15
209.378,13.07,18.37,20.11
209.881,13.07,18.37,20.08
210.384,13.03,18.33,20.08
210.888,13.03,18.30,20.04
211.391,12.99,18.30,20.00
211.895,12.95,18.26,19.97
212.397,12.95,18.23,19.97
212.901,12.95,18.19,19.93
213.404,12.95,18.19,19.89
213.908,12.91,18.16,19.86
214.411,12.87,18.12,19.86
214.914,12.87,18.12,19.82
215.417,12.83,18.12,19.82
215.921,12.79,18.05,19.79
216.424,12.79,18.05,19.75
216.928,12.79,18.02,19.71
217.430,12.75,18.02,19.71
217.934,12.71,17.98,19.68
218.437,12.71,17.95,19.64
218.941,12.71,17.95,19.64
219.444,12.67,17.91,19.60
219.947,12.67,17.88,19.57
220.450,12.64,17.88,19.53
220.954,12.64,17.84,19.53
221.457,12.60,17.84,19.49
221.961,12.60,17.81,19.49
222.464,12.56,17.77,19.46
222.967,12.56,17.77,19.42
223.471,12.52,17.74,19.42
223.974,12.52,17.74,19.38
224.478,12.52,17.70,19.35
224.980,12.52,17.67,19.35
225.484,12.52,17.67,19.31
225.987,12.48,17.63,19.27
226.491,12.48,17.63,19.27
226.994,12.44,17.60,19.24
227.497,12.44,17.60,19.24
228.000,12.44,17.56,19.20
228.504,12.40,17.56,19.20
229.007,12.35,17.53,19.16
229.511,12.35,17.49,19.13
230.013,12.35,17.46,19.13
230.517,12.31,17.46,19.09
231.020,12.31,17.42,19.05
231.524,12.27,17.42,19.05
232.026,12.23,17.42,19.02
232.530,12.23,17.35,19.02
233.033,12.23,17.35,18.98
233.537,12.19,17.35,18.98
234.040,12.15,17.32,18.94
234.543,12.15,17.32,18.94
235.046,12.15,17.28,18.91
235.550,12.11,17.28,18.91
236.053,12.11,17.25,18.87
236.557,12.11,17.21,18.87
237.059,12.07,17.21,18.83
237.563,12.07,17.18,18.80
238.066,12.03,17.18,18.80
238.570,11.99,17.14,18.76
239.073,12.03,17.14,18.76
239.576,11.99,17.11,18.72
240.080,11.99,17.11,18.69
240.583,11.99,17.07,18.69
