temps_s,T1_C,T2_C,T3_C
0.000,27.29,23.45,23.16
0.503,27.43,23.49,23.16
1.007,27.60,23.52,23.16
1.510,27.81,23.55,23.16
2.014,28.02,23.62,23.16
2.516,28.23,23.65,23.16
3.020,28.47,23.68,23.16
3.523,28.68,23.72,23.16
4.027,28.92,23.78,23.20
4.530,29.13,23.82,23.20
5.032,29.34,23.85,23.20
5.536,29.54,23.91,23.20
6.039,29.75,23.95,23.20
6.543,29.92,24.01,23.23
7.045,30.10,24.04,23.23
7.549,30.30,24.11,23.23
8.052,30.44,24.18,23.27
8.556,30.62,24.21,23.27
9.059,30.79,24.27,23.27
9.562,30.93,24.31,23.27
