temps_s,T3_mesuree,T3_estimT2,T3_estimT1,T3_moy
0.000,22.63,22.59,22.59,22.59
0.515,22.63,22.59,22.59,22.59
1.019,22.59,22.59,22.59,22.59
1.523,22.63,22.59,22.59,22.59
2.027,22.59,22.59,22.60,22.59
2.531,22.59,22.59,22.60,22.59
3.035,22.59,22.59,22.60,22.60
3.538,22.63,22.59,22.60,22.60
4.042,22.63,22.59,22.60,22.60
4.546,22.59,22.60,22.61,22.60
5.050,22.63,22.60,22.61,22.60
5.554,22.63,22.60,22.61,22.60
6.057,22.63,22.60,22.62,22.61
6.561,22.63,22.60,22.62,22.61
7.065,22.59,22.60,22.62,22.61
7.569,22.63,22.60,22.63,22.62
8.073,22.63,22.60,22.63,22.62
8.576,22.63,22.60,22.64,22.62
9.080,22.63,22.61,22.64,22.63
9.584,22.63,22.61,22.65,22.63
10.088,22.63,22.61,22.66,22.63
10.592,22.63,22.61,22.66,22.64
11.095,22.63,22.62,22.67,22.64
11.599,22.63,22.62,22.67,22.65
12.103,22.63,22.62,22.68,22.65
12.607,22.63,22.63,22.69,22.66
13.111,22.63,22.63,22.69,22.66
13.615,22.63,22.63,22.70,22.67
14.118,22.63,22.64,22.71,22.67
14.623,22.63,22.64,22.71,22.68
15.127,22.63,22.64,22.72,22.68
15.631,22.66,22.65,22.73,22.69
16.135,22.66,22.65,22.74,22.70
16.638,22.66,22.66,22.74,22.70
17.142,22.66,22.66,22.75,22.71
17.646,22.66,22.67,22.76,22.71
18.150,22.66,22.67,22.77,22.72
18.654,22.66,22.68,22.78,22.73
19.157,22.66,22.69,22.78,22.74
19.661,22.70,22.69,22.79,22.74
20.165,22.70,22.70,22.80,22.75
20.669,22.70,22.70,22.81,22.76
21.173,22.70,22.71,22.82,22.76
21.676,22.70,22.72,22.83,22.77
22.180,22.70,22.72,22.84,22.78
22.685,22.74,22.73,22.84,22.79
23.189,22.74,22.74,22.85,22.80
23.693,22.74,22.75,22.86,22.80
24.197,22.74,22.75,22.87,22.81
24.700,22.77,22.76,22.88,22.82
25.204,22.77,22.77,22.89,22.83
25.708,22.77,22.78,22.90,22.84
26.212,22.77,22.79,22.91,22.85
26.716,22.77,22.79,22.92,22.86
27.219,22.81,22.80,22.93,22.86
27.723,22.81,22.81,22.94,22.87
28.227,22.81,22.82,22.95,22.88
28.731,22.81,22.83,22.95,22.89
29.235,22.84,22.84,22.96,22.90
29.738,22.84,22.85,22.97,22.91
30.242,22.84,22.86,22.98,22.92
30.747,22.88,22.86,22.99,22.93
31.251,22.88,22.87,23.00,22.94
31.755,22.88,22.88,23.01,22.95
32.258,22.91,22.89,23.02,22.96
32.762,22.91,22.90,23.03,22.97
33.266,22.91,22.91,23.04,22.98
33.770,22.95,22.92,23.05,22.99
34.274,22.95,22.93,23.06,23.00
34.778,22.95,22.94,23.07,23.01
35.281,22.95,22.95,23.08,23.02
35.785,22.98,22.97,23.09,23.03
36.289,22.98,22.98,23.10,23.04
36.793,22.98,22.99,23.11,23.05
37.297,23.02,23.00,23.12,23.06
37.800,23.02,23.01,23.13,23.07
38.304,23.02,23.02,23.14,23.08
38.808,23.06,23.03,23.15,23.09
39.313,23.06,23.04,23.16,23.10
39.817,23.06,23.05,23.18,23.11
40.320,23.09,23.06,23.19,23.12
40.824,23.09,23.07,23.20,23.13
41.328,23.09,23.09,23.21,23.15
41.832,23.13,23.10,23.22,23.16
42.336,23.13,23.11,23.23,23.17
42.839,23.13,23.12,23.24,23.18
43.343,23.16,23.13,23.25,23.19
43.847,23.16,23.14,23.26,23.20
44.351,23.16,23.15,23.27,23.21
44.855,23.20,23.16,23.28,23.22
45.359,23.20,23.18,23.29,23.23
45.862,23.20,23.19,23.30,23.24
46.367,23.23,23.20,23.31,23.25
46.871,23.23,23.21,23.32,23.27
47.375,23.27,23.22,23.33,23.28
47.879,23.27,23.23,23.34,23.29
48.382,23.27,23.25,23.35,23.30
48.886,23.27,23.26,23.36,23.31
49.390,23.30,23.27,23.37,23.32
49.894,23.30,23.28,23.38,23.33
50.398,23.30,23.29,23.39,23.34
50.901,23.34,23.31,23.40,23.35
51.405,23.34,23.32,23.41,23.36
51.909,23.37,23.33,23.42,23.38
52.413,23.37,23.34,23.43,23.39
52.917,23.37,23.35,23.44,23.40
53.420,23.41,23.37,23.45,23.41
53.924,23.41,23.38,23.46,23.42
54.429,23.41,23.39,23.47,23.43
54.933,23.45,23.40,23.48,23.44
55.437,23.45,23.41,23.49,23.45
55.941,23.45,23.43,23.50,23.46
56.444,23.48,23.44,23.51,23.48
56.948,23.48,23.45,23.52,23.49
57.452,23.52,23.46,23.53,23.50
57.956,23.52,23.47,23.54,23.51
58.460,23.52,23.49,23.55,23.52
58.963,23.55,23.50,23.56,23.53
59.467,23.55,23.51,23.57,23.54
59.971,23.55,23.52,23.58,23.55
60.475,23.59,23.53,23.59,23.56
60.979,23.59,23.54,23.60,23.57
61.482,23.62,23.56,23.61,23.59
61.987,23.62,23.57,23.62,23.60
62.491,23.62,23.58,23.63,23.61
62.995,23.66,23.59,23.64,23.62
63.499,23.66,23.60,23.65,23.63
