temps_s,T1_C,T2_C,T3_C,T3_estimT2,T3_estimT1,T3_moy,erreur,commande_u
0.000,23.51,23.59,23.69,23.69,23.69,23.69,4.3074,46.78
0.500,23.51,23.59,23.69,23.69,23.69,23.69,4.3074,46.86
1.000,23.51,23.59,23.69,23.69,23.69,23.69,4.3074,46.95
1.500,23.61,23.59,23.69,23.69,23.69,23.69,4.3072,47.04
2.000,23.83,23.59,23.69,23.69,23.69,23.69,4.3067,47.12
2.500,24.07,23.59,23.69,23.69,23.70,23.69,4.3057,47.19
3.000,24.42,23.55,23.69,23.69,23.70,23.70,4.3040,47.26
3.500,24.81,23.59,23.69,23.69,23.70,23.70,4.3015,47.32
4.000,25.20,23.59,23.66,23.69,23.71,23.70,4.2979,47.36
4.500,25.58,23.59,23.66,23.69,23.72,23.71,4.2934,47.40
5.000,26.00,23.59,23.66,23.69,23.73,23.71,4.2879,47.43
5.500,26.39,23.59,23.66,23.69,23.74,23.72,4.2815,47.44
6.000,26.77,23.62,23.66,23.69,23.76,23.73,4.2741,47.45
6.500,27.12,23.62,23.66,23.69,23.78,23.73,4.2657,47.44
7.000,27.46,23.65,23.66,23.69,23.79,23.74,4.2563,47.43
7.500,27.81,23.65,23.66,23.70,23.81,23.75,4.2461,47.40
8.000,28.16,23.68,23.66,23.70,23.83,23.77,4.2349,47.36
8.500,28.47,23.72,23.66,23.70,23.86,23.78,4.2227,47.32
9.001,28.78,23.75,23.66,23.70,23.88,23.79,4.2096,47.26
9.501,29.06,23.78,23.66,23.70,23.90,23.80,4.1955,47.19
10.001,29.34,23.85,23.66,23.71,23.93,23.82,4.1805,47.11
10.501,29.61,23.88,23.66,23.71,23.96,23.84,4.1645,47.02
11.001,29.89,23.91,23.66,23.72,23.99,23.85,4.1476,46.92
11.501,30.17,23.98,23.66,23.72,24.02,23.87,4.1298,46.81
12.001,30.41,24.01,23.66,23.73,24.05,23.89,4.1110,46.69
12.501,30.62,24.08,23.66,23.74,24.08,23.91,4.0915,46.56
13.001,30.86,24.14,23.66,23.75,24.11,23.93,4.0710,46.42
13.501,31.06,24.18,23.66,23.76,24.14,23.95,4.0497,46.27
14.001,31.31,24.24,23.66,23.77,24.18,23.97,4.0276,46.11
14.501,31.48,24.31,23.66,23.78,24.21,24.00,4.0047,45.94
15.001,31.69,24.37,23.69,23.79,24.25,24.02,3.9809,45.76
15.501,31.89,24.44,23.69,23.80,24.28,24.04,3.9563,45.57
16.001,32.07,24.50,23.69,23.82,24.32,24.07,3.9309,45.38
16.501,32.27,24.57,23.69,23.83,24.36,24.10,3.9047,45.17
17.001,32.45,24.63,23.69,23.85,24.40,24.12,3.8777,44.96
17.501,32.62,24.70,23.69,23.86,24.44,24.15,3.8500,44.73
18.001,32.76,24.80,23.73,23.88,24.47,24.18,3.8215,44.50
18.501,32.93,24.86,23.73,23.90,24.51,24.21,3.7922,44.26
19.001,33.07,24.93,23.73,23.92,24.55,24.24,3.7622,44.01
19.501,33.24,24.99,23.76,23.94,24.59,24.27,3.7317,43.75
20.001,33.38,25.06,23.76,23.96,24.64,24.30,3.7005,43.49
20.501,33.49,25.16,23.80,23.99,24.68,24.33,3.6686,43.22
21.001,33.62,25.22,23.80,24.01,24.72,24.36,3.6360,42.94
21.501,33.76,25.29,23.83,24.03,24.76,24.40,3.6030,42.65
22.001,33.87,25.35,23.83,24.06,24.80,24.43,3.5694,42.36
22.501,34.01,25.45,23.87,24.08,24.85,24.46,3.5352,42.06
23.001,34.07,25.51,23.87,24.11,24.89,24.50,3.5004,41.75
23.501,34.18,25.58,23.90,24.14,24.93,24.53,3.4652,41.44
24.001,34.32,25.68,23.90,24.17,24.97,24.57,3.4294,41.12
24.501,34.39,25.74,23.94,24.20,25.02,24.61,3.3931,40.79
25.001,34.49,25.81,23.98,24.23,25.06,24.64,3.3564,40.46
25.501,34.56,25.87,23.98,24.26,25.10,24.68,3.3194,40.13
26.001,34.66,25.93,24.01,24.29,25.15,24.72,3.2820,39.79
26.501,34.77,26.03,24.05,24.32,25.19,24.76,3.2442,39.44
27.001,34.84,26.10,24.08,24.35,25.24,24.79,3.2058,39.09
27.501,34.91,26.16,24.12,24.39,25.28,24.83,3.1672,38.74
28.001,35.01,26.23,24.15,24.42,25.32,24.87,3.1282,38.38
28.501,35.08,26.29,24.15,24.46,25.37,24.91,3.0890,38.01
29.001,35.15,26.39,24.19,24.49,25.41,24.95,3.0494,37.64
29.501,35.19,26.45,24.22,24.53,25.45,24.99,3.0094,37.27
30.001,35.26,26.52,24.26,24.56,25.50,25.03,2.9692,36.89
30.501,35.32,26.58,24.29,24.60,25.54,25.07,2.9288,36.51
31.001,35.36,26.65,24.33,24.64,25.59,25.11,2.8881,36.13
31.501,35.36,26.71,24.36,24.67,25.63,25.15,2.8474,35.75
32.001,35.43,26.78,24.40,24.71,25.67,25.19,2.8066,35.36
32.501,35.46,26.84,24.43,24.75,25.72,25.23,2.7656,34.97
33.001,35.46,26.91,24.50,24.79,25.76,25.28,2.7245,34.58
33.501,35.50,26.97,24.54,24.83,25.80,25.32,2.6833,34.19
34.001,35.53,27.03,24.57,24.87,25.85,25.36,2.6419,33.79
34.501,35.53,27.10,24.61,24.91,25.89,25.40,2.6006,33.40
35.001,35.57,27.16,24.64,24.95,25.93,25.44,2.5591,33.00
35.501,35.57,27.23,24.68,24.99,25.97,25.48,2.5176,32.60
36.001,35.57,27.29,24.71,25.03,26.01,25.52,2.4760,32.20
36.501,35.57,27.32,24.78,25.07,26.06,25.57,2.4346,31.80
37.001,35.57,27.39,24.82,25.12,26.10,25.61,2.3933,31.40
37.501,35.57,27.45,24.85,25.16,26.14,25.65,2.3519,31.00
38.001,35.60,27.52,24.93,25.20,26.18,25.69,2.3105,30.59
38.501,35.60,27.55,24.96,25.24,26.22,25.73,2.2692,30.19
39.001,35.60,27.61,25.00,25.28,26.26,25.77,2.2280,29.79
39.501,35.57,27.65,25.03,25.33,26.30,25.81,2.1870,29.39
40.001,35.57,27.71,25.10,25.37,26.34,25.85,2.1462,28.99
40.501,35.53,27.78,25.14,25.41,26.38,25.89,2.1054,28.59
41.001,35.53,27.84,25.17,25.45,26.42,25.94,2.0646,28.19
41.501,35.50,27.87,25.24,25.50,26.45,25.98,2.0240,27.79
42.001,35.50,27.94,25.28,25.54,26.49,26.02,1.9835,27.39
42.501,35.46,27.97,25.31,25.58,26.53,26.06,1.9432,26.99
43.001,35.43,28.00,25.38,25.63,26.57,26.10,1.9033,26.60
43.501,35.43,28.06,25.42,25.67,26.60,26.14,1.8636,26.20
44.001,35.39,28.10,25.45,25.71,26.64,26.18,1.8240,25.81
44.501,35.36,28.16,25.49,25.75,26.68,26.22,1.7846,25.42
45.001,35.32,28.19,25.56,25.80,26.71,26.25,1.7454,25.03
45.501,35.29,28.23,25.59,25.84,26.75,26.29,1.7066,24.64
46.001,35.26,28.26,25.66,25.88,26.78,26.33,1.6681,24.26
46.501,35.22,28.32,25.70,25.92,26.82,26.37,1.6298,23.88
47.001,35.19,28.35,25.73,25.97,26.85,26.41,1.5917,23.49
47.501,35.15,28.39,25.80,26.01,26.88,26.45,1.5540,23.12
48.001,35.12,28.42,25.84,26.05,26.92,26.48,1.5166,22.74
48.501,35.05,28.45,25.87,26.09,26.95,26.52,1.4795,22.37
49.001,35.01,28.48,25.91,26.13,26.98,26.56,1.4428,22.00
49.501,34.98,28.51,25.98,26.18,27.01,26.59,1.4065,21.63
50.001,34.94,28.55,26.01,26.22,27.04,26.63,1.3705,21.27
50.501,34.87,28.61,26.08,26.26,27.07,26.67,1.3346,20.91
51.001,34.84,28.61,26.12,26.30,27.10,26.70,1.2992,20.55
51.501,34.80,28.64,26.15,26.34,27.13,26.74,1.2642,20.20
52.001,34.73,28.67,26.18,26.38,27.16,26.77,1.2295,19.85
52.501,34.70,28.71,26.25,26.42,27.19,26.80,1.1952,19.50
53.001,34.63,28.74,26.29,26.46,27.22,26.84,1.1612,19.15
53.501,34.59,28.77,26.36,26.50,27.25,26.87,1.1275,18.81
54.001,34.53,28.80,26.39,26.54,27.28,26.91,1.0942,18.47
54.501,34.49,28.84,26.43,26.58,27.30,26.94,1.0612,18.13
