temps_s,T1_C,T2_C,T3_C,T3_estimT2,T3_estimT1,T3_moy,erreur,commande_u
0.000,30.93,29.32,28.72,28.72,28.72,28.72,-8.7215,-75.00
0.500,30.82,29.28,28.72,28.72,28.72,28.72,-8.7212,-75.00
1.000,30.65,29.28,28.72,28.72,28.72,28.72,-8.7205,-75.00
1.500,30.44,29.28,28.69,28.72,28.72,28.72,-8.7193,-75.00
2.000,30.13,29.25,28.69,28.72,28.72,28.72,-8.7173,-75.00
2.500,29.79,29.22,28.69,28.72,28.71,28.71,-8.7143,-75.00
3.000,29.41,29.19,28.69,28.72,28.70,28.71,-8.7101,-75.00
3.500,29.02,29.19,28.69,28.71,28.70,28.70,-8.7049,-75.00
4.000,28.61,29.19,28.65,28.71,28.69,28.70,-8.6987,-75.00
4.500,28.23,29.16,28.69,28.71,28.67,28.69,-8.6915,-75.00
5.000,27.85,29.12,28.65,28.71,28.66,28.68,-8.6832,-75.00
5.500,27.46,29.09,28.65,28.70,28.64,28.67,-8.6737,-75.00
6.000,27.12,29.06,28.65,28.70,28.63,28.66,-8.6631,-75.00
6.500,26.77,29.03,28.65,28.69,28.61,28.65,-8.6515,-75.00
7.000,26.42,28.96,28.62,28.69,28.59,28.64,-8.6388,-75.00
7.500,26.11,28.93,28.62,28.68,28.57,28.62,-8.6249,-75.00
8.000,25.79,28.90,28.62,28.68,28.54,28.61,-8.6100,-75.00
8.500,25.51,28.84,28.62,28.67,28.52,28.59,-8.5942,-75.00
9.001,25.23,28.80,28.62,28.66,28.49,28.58,-8.5774,-74.99
9.501,24.95,28.74,28.62,28.65,28.47,28.56,-8.5597,-74.97
10.001,24.71,28.67,28.58,28.64,28.44,28.54,-8.5409,-74.94
10.501,24.42,28.61,28.58,28.63,28.41,28.52,-8.5211,-74.89
11.001,24.18,28.55,28.58,28.62,28.38,28.50,-8.5003,-74.84
11.501,23.93,28.48,28.58,28.61,28.35,28.48,-8.4785,-74.77
12.001,23.72,28.42,28.55,28.59,28.32,28.46,-8.4559,-74.69
12.501,23.51,28.35,28.55,28.58,28.29,28.43,-8.4323,-74.61
13.001,23.29,28.29,28.55,28.56,28.25,28.41,-8.4080,-74.51
13.501,23.05,28.19,28.55,28.55,28.22,28.38,-8.3826,-74.40
14.001,22.87,28.13,28.51,28.53,28.18,28.36,-8.3562,-74.28
14.501,22.66,28.06,28.51,28.51,28.15,28.33,-8.3291,-74.16
15.001,22.44,28.00,28.48,28.49,28.11,28.30,-8.3012,-74.02
15.501,22.26,27.90,28.48,28.47,28.07,28.27,-8.2724,-73.87
16.001,22.08,27.84,28.48,28.45,28.04,28.24,-8.2428,-73.72
16.501,21.91,27.74,28.44,28.43,28.00,28.21,-8.2124,-73.55
17.001,21.73,27.68,28.44,28.40,27.96,28.18,-8.1811,-73.38
17.501,21.55,27.58,28.41,28.38,27.92,28.15,-8.1491,-73.19
18.001,21.37,27.52,28.38,28.35,27.88,28.12,-8.1163,-73.00
18.501,21.22,27.42,28.38,28.33,27.84,28.08,-8.0828,-72.80
19.001,21.04,27.36,28.34,28.30,27.80,28.05,-8.0485,-72.59
19.501,20.90,27.26,28.31,28.27,27.76,28.01,-8.0136,-72.37
20.001,20.76,27.20,28.31,28.24,27.71,27.98,-7.9779,-72.14
20.501,20.58,27.10,28.27,28.21,27.67,27.94,-7.9417,-71.90
21.001,20.43,27.03,28.24,28.18,27.63,27.90,-7.9047,-71.66
21.501,20.29,26.94,28.20,28.15,27.59,27.87,-7.8671,-71.41
22.001,20.14,26.84,28.20,28.12,27.54,27.83,-7.8287,-71.15
22.501,19.99,26.78,28.13,28.08,27.50,27.79,-7.7898,-70.89
23.001,19.85,26.68,28.13,28.05,27.45,27.75,-7.7502,-70.61
23.501,19.74,26.61,28.10,28.01,27.41,27.71,-7.7101,-70.33
24.001,19.59,26.52,28.06,27.98,27.36,27.67,-7.6695,-70.04
24.501,19.48,26.42,28.03,27.94,27.32,27.63,-7.6282,-69.75
25.001,19.34,26.36,27.99,27.90,27.27,27.59,-7.5864,-69.45
25.501,19.23,26.26,27.96,27.86,27.23,27.54,-7.5441,-69.14
26.001,19.08,26.19,27.92,27.82,27.18,27.50,-7.5014,-68.82
26.501,18.97,26.10,27.89,27.78,27.13,27.46,-7.4581,-68.50
27.001,18.82,26.03,27.85,27.74,27.09,27.41,-7.4143,-68.18
27.501,18.75,25.93,27.79,27.70,27.04,27.37,-7.3701,-67.85
28.001,18.64,25.87,27.75,27.66,26.99,27.33,-7.3255,-67.51
28.501,18.53,25.77,27.72,27.62,26.95,27.28,-7.2805,-67.17
29.001,18.42,25.71,27.68,27.57,26.90,27.24,-7.2351,-66.82
29.501,18.31,25.61,27.61,27.53,26.85,27.19,-7.1893,-66.47
30.001,18.20,25.55,27.58,27.48,26.80,27.14,-7.1431,-66.11
30.501,18.09,25.45,27.54,27.44,26.75,27.10,-7.0965,-65.74
31.001,17.97,25.35,27.47,27.39,26.71,27.05,-7.0494,-65.37
31.501,17.90,25.29,27.44,27.35,26.66,27.00,-7.0020,-65.00
32.001,17.79,25.22,27.40,27.30,26.61,26.95,-6.9543,-64.62
32.501,17.71,25.12,27.33,27.25,26.56,26.91,-6.9064,-64.24
33.001,17.60,25.06,27.30,27.20,26.51,26.86,-6.8581,-63.85
33.501,17.53,24.96,27.23,27.15,26.46,26.81,-6.8095,-63.46
34.001,17.42,24.89,27.19,27.11,26.42,26.76,-6.7606,-63.07
34.501,17.38,24.83,27.13,27.06,26.37,26.71,-6.7116,-62.67
35.001,17.27,24.73,27.09,27.01,26.32,26.66,-6.6623,-62.27
35.501,17.19,24.67,27.02,26.96,26.27,26.61,-6.6128,-61.86
36.001,17.12,24.57,26.99,26.91,26.22,26.56,-6.5630,-61.45
36.501,17.00,24.50,26.92,26.85,26.17,26.51,-6.5129,-61.04
37.001,16.93,24.44,26.88,26.80,26.12,26.46,-6.4627,-60.63
37.501,16.85,24.37,26.81,26.75,26.07,26.41,-6.4124,-60.21
38.001,16.78,24.31,26.78,26.70,26.02,26.36,-6.3620,-59.79
38.501,16.70,24.21,26.71,26.65,25.98,26.31,-6.3113,-59.37
39.001,16.63,24.14,26.64,26.59,25.93,26.26,-6.2605,-58.94
39.501,16.59,24.08,26.60,26.54,25.88,26.21,-6.2096,-58.51
40.001,16.51,23.98,26.53,26.49,25.83,26.16,-6.1585,-58.08
40.501,16.44,23.91,26.46,26.44,25.78,26.11,-6.1073,-57.65
41.001,16.36,23.85,26.43,26.38,25.73,26.06,-6.0559,-57.21
41.501,16.29,23.78,26.36,26.33,25.68,26.00,-6.0045,-56.77
42.001,16.25,23.72,26.29,26.27,25.63,25.95,-5.9530,-56.33
