temps_s,temperature_C
1.505,36.23
2.006,36.23
2.507,36.15
3.009,35.97
3.511,35.80
4.011,35.63
4.513,35.46
5.015,35.29
5.516,35.12
6.017,34.94
6.519,34.86
7.020,34.69
7.522,34.60
8.023,34.52
8.524,34.35
9.026,34.26
9.528,34.17
10.028,34.09
10.530,34.00
11.032,33.92
11.533,33.83
12.034,33.75
12.536,33.66
13.037,33.58
13.539,33.49
14.040,33.41
14.542,33.41
15.043,33.32
15.545,33.24
16.046,33.15
16.547,33.07
17.049,33.07
17.551,32.98
18.052,32.90
18.553,32.90
19.055,32.81
19.557,32.81
20.057,32.73
20.559,32.64
21.061,32.64
21.563,32.56
22.063,32.47
22.565,32.47
23.067,32.39
23.568,32.39
24.069,32.31
24.571,32.31
25.073,32.22
25.574,32.14
26.076,32.14
26.577,32.05
27.078,32.05
27.580,32.05
28.082,31.97
28.582,31.88
29.084,31.88
29.586,31.80
30.088,31.80
30.588,31.71
31.090,31.71
31.592,31.63
32.093,31.63
32.594,31.54
33.096,31.54
33.597,31.46
34.099,31.46
34.600,31.46
35.102,31.37
35.603,31.37
36.105,31.29
36.606,31.29
37.107,31.21
37.609,31.21
38.111,31.12
38.612,31.12
39.113,31.12
39.615,31.04
40.117,31.04
40.617,30.95
41.119,30.95
41.621,30.95
42.123,30.87
42.623,30.87
43.125,30.87
43.627,30.78
44.128,30.78
44.629,30.70
45.131,30.70
45.633,30.70
46.134,30.62
46.635,30.62
47.137,30.62
47.638,30.53
48.140,30.53
48.641,30.45
49.143,30.45
49.644,30.45
50.146,30.36
50.647,30.36
51.148,30.36
51.650,30.28
52.152,30.28
52.652,30.28
53.154,30.19
53.656,30.19
54.158,30.19
54.658,30.11
55.160,30.11
55.662,30.02
56.163,30.02
56.664,30.02
57.166,30.02
57.668,29.94
58.169,29.94
58.670,29.94
59.172,29.86
59.673,29.86
60.175,29.86
60.676,29.77
61.178,29.77
61.679,29.77
62.181,29.69
62.682,29.69
63.183,29.69
63.685,29.60
64.187,29.60
64.689,29.60
65.189,29.52
65.691,29.52
66.193,29.52
66.693,29.52
67.195,29.43
67.697,29.43
68.199,29.43
68.700,29.43
69.201,29.35
69.703,29.35
70.204,29.35
70.706,29.27
71.207,29.27
71.708,29.27
72.210,29.27
72.712,29.18
73.213,29.18
73.714,29.18
74.216,29.18
74.718,29.18
75.218,29.10
75.720,29.10
76.222,29.10
76.724,29.10
77.224,29.01
77.726,28.93
78.228,29.01
78.729,29.01
79.230,28.93
79.732,28.93
80.234,28.93
80.735,28.93
81.236,28.85
81.738,28.85
82.239,28.85
82.741,28.85
83.242,28.76
83.744,28.76
84.245,28.76
84.747,28.76
85.248,28.68
85.749,28.68
86.251,28.68
86.753,28.68
87.253,28.59
87.755,28.59
88.257,28.59
88.759,28.59
89.259,28.51
89.761,28.51
90.263,28.51
90.764,28.42
91.265,28.42
91.767,28.42
92.269,28.42
92.770,28.42
93.271,28.34
93.773,28.34
94.274,28.34
94.776,28.34
95.277,28.34
95.779,28.26
96.280,28.26
96.782,28.26
97.283,28.26
97.784,28.17
98.286,28.17
98.788,28.17
99.289,28.17
99.790,28.09
100.292,28.09
100.794,28.09
101.294,28.09
101.796,28.00
102.298,28.00
102.800,28.00
103.300,28.00
103.802,28.00
104.304,28.00
104.806,28.00
105.306,27.92
105.808,27.92
106.310,27.92
106.812,27.92
107.313,27.92
107.814,27.83
108.316,27.83
108.818,27.83
109.319,27.83
109.820,27.83
110.322,27.75
110.824,27.75
111.325,27.75
111.826,27.75
112.328,27.67
112.830,27.67
113.331,27.67
113.832,27.67
114.334,27.67
114.836,27.58
115.337,27.58
115.838,27.58
116.340,27.58
116.842,27.58
117.343,27.50
117.844,27.50
118.346,27.50
118.848,27.50
119.349,27.50
119.850,27.41
120.352,27.41
120.854,27.41
121.355,27.33
121.856,27.41
122.358,27.33
122.860,27.33
123.362,27.33
123.862,27.24
124.364,27.33
