temps_s,temperature_C
0.000,23.85
0.502,23.95
1.003,24.08
1.505,24.18
2.006,24.27
2.507,24.40
3.009,24.50
3.511,24.63
4.011,24.73
4.513,24.83
5.015,24.96
5.516,25.05
6.017,25.15
6.519,25.22
7.020,25.31
7.522,25.41
8.023,25.51
8.524,25.61
9.026,25.67
9.528,25.74
10.028,25.80
10.530,25.90
11.032,25.93
11.533,26.03
12.034,26.09
12.536,26.16
13.037,26.22
13.539,26.29
14.040,26.35
14.542,26.42
15.043,26.45
15.545,26.51
16.046,26.58
16.547,26.61
17.049,26.67
17.551,26.74
18.052,26.77
18.553,26.84
19.055,26.87
19.557,26.93
20.057,26.96
20.559,27.03
21.061,27.06
21.563,27.13
22.063,27.16
22.565,27.22
23.067,27.25
23.568,27.29
24.069,27.35
24.571,27.38
25.073,27.42
25.574,27.45
26.076,27.51
26.577,27.51
27.078,27.58
27.580,27.61
28.082,27.64
28.583,27.67
29.084,27.71
29.586,27.74
30.088,27.80
30.588,27.80
31.090,27.84
31.592,27.90
32.093,27.90
32.594,27.93
33.096,27.96
33.598,28.00
34.099,28.03
34.600,28.06
35.102,28.09
35.603,28.13
36.105,28.16
36.606,28.19
37.107,28.22
37.609,28.25
38.111,28.29
38.612,28.32
39.113,28.35
39.615,28.35
40.117,28.38
40.617,28.42
41.119,28.45
41.621,28.48
42.122,28.51
42.623,28.51
43.125,28.54
43.627,28.61
44.128,28.61
44.629,28.64
45.131,28.67
45.632,28.67
46.134,28.71
46.635,28.74
47.137,28.77
47.638,28.80
48.140,28.80
48.641,28.83
49.142,28.87
49.644,28.87
50.146,28.90
50.646,28.93
51.148,28.96
51.650,29.00
52.152,29.00
52.652,29.03
53.154,29.03
53.656,29.06
54.157,29.09
54.658,29.09
55.160,29.12
55.662,29.16
56.163,29.16
56.664,29.19
57.166,29.19
57.667,29.22
58.169,29.25
58.670,29.25
59.171,29.29
59.673,29.32
60.175,29.35
60.676,29.35
61.177,29.38
61.679,29.38
62.181,29.41
62.681,29.41
63.183,29.45
63.685,29.48
64.187,29.48
64.687,29.51
65.189,29.51
65.691,29.54
66.192,29.58
66.693,29.58
67.195,29.61
67.696,29.61
68.198,29.64
68.700,29.64
69.201,29.67
69.702,29.70
70.204,29.74
70.706,29.74
71.206,29.77
71.708,29.77
72.210,29.80
72.712,29.80
73.212,29.83
73.714,29.87
74.216,29.87
74.717,29.87
75.218,29.90
75.720,29.93
76.222,29.96
76.723,29.96
77.224,29.99
77.726,30.03
78.227,30.03
78.729,30.06
79.230,30.06
79.731,30.06
80.233,30.06
80.735,30.09
81.236,30.12
81.737,30.12
82.239,30.12
82.741,30.16
83.241,30.16
83.743,30.19
84.245,30.19
84.747,30.19
85.247,30.22
85.749,30.22
86.251,30.25
86.752,30.25
87.253,30.28
87.755,30.28
88.257,30.32
88.758,30.32
89.259,30.35
89.761,30.35
90.262,30.35
90.764,30.35
91.265,30.38
91.767,30.38
92.268,30.38
92.770,30.41
93.271,30.41
93.772,30.41
94.274,30.45
94.776,30.45
95.277,30.48
95.778,30.48
96.280,30.51
96.782,30.51
97.282,30.51
97.784,30.54
98.286,30.54
98.788,30.57
99.288,30.57
99.790,30.61
100.292,30.61
100.793,30.64
101.294,30.64
101.796,30.67
102.298,30.67
102.799,30.67
103.300,30.70
103.802,30.70
104.304,30.74
104.805,30.74
105.306,30.74
105.808,30.77
106.310,30.80
106.811,30.80
107.313,30.80
107.814,30.80
108.316,30.83
108.817,30.83
109.319,30.83
109.820,30.83
110.322,30.86
110.823,30.90
111.325,30.90
111.826,30.90
112.328,30.93
112.829,30.93
113.331,30.93
113.832,30.96
114.334,30.96
114.835,30.99
115.337,30.99
115.838,31.03
116.340,31.03
116.841,31.03
117.343,31.06
117.844,31.06
118.346,31.09
118.847,31.09
119.349,31.09
119.850,31.12
120.352,31.12
120.853,31.12
121.355,31.16
121.856,31.16
122.358,31.16
122.859,31.16
123.361,31.19
123.862,31.19
124.364,31.19
124.866,31.22
125.367,31.22
125.868,31.22
126.370,31.22
126.872,31.25
127.373,31.25
127.874,31.25
128.376,31.28
128.878,31.28
129.379,31.28
129.880,31.32
130.382,31.32
130.884,31.35
131.385,31.35
131.886,31.35
132.388,31.35
132.890,31.38
133.391,31.38
133.892,31.38
134.394,31.38
134.896,31.38
135.397,31.41
135.898,31.41
136.400,31.41
136.902,31.41
137.403,31.41
137.905,31.45
138.406,31.45
138.908,31.48
139.409,31.48
139.911,31.48
140.412,31.48
140.914,31.51
141.415,31.51
141.917,31.51
142.418,31.54
142.920,31.54
143.421,31.54
143.923,31.58
144.424,31.58
144.926,31.58
145.427,31.61
145.929,31.61
146.430,31.64
146.932,31.64
147.433,31.64
147.935,31.64
148.436,31.64
148.938,31.67
149.439,31.67
149.941,31.67
150.442,31.67
150.944,31.70
151.445,31.70
151.947,31.70
152.448,31.74
152.950,31.74
153.451,31.74
153.953,31.74
154.454,31.74
154.956,31.74
155.457,31.77
155.959,31.77
156.460,31.77
156.962,31.77
157.463,31.80
157.965,31.80
158.466,31.80
158.968,31.80
159.469,31.80
159.971,31.83
160.472,31.83
160.974,31.83
161.475,31.87
161.977,31.87
162.478,31.87
162.980,31.87
163.481,31.87
163.983,31.90
164.484,31.90
164.986,31.90
165.487,31.93
165.989,31.93
166.490,31.93
166.992,31.93
167.493,31.93
167.995,31.96
168.497,31.96
168.998,31.96
169.499,31.96
170.001,31.96
170.503,31.96
171.004,32.00
171.505,32.00
172.007,32.03
172.509,32.03
173.010,32.03
173.511,32.03
174.013,32.03
174.515,32.03
175.016,32.06
175.517,32.06
176.019,32.06
176.521,32.06
177.022,32.09
177.523,32.09
178.025,32.09
178.527,32.09
179.028,32.09
179.529,32.13
180.031,32.13
180.533,32.13
181.034,32.13
181.535,32.16
182.037,32.16
182.539,32.19
183.040,32.16
183.541,32.19
184.043,32.19
184.545,32.19
185.046,32.22
185.547,32.22
186.049,32.22
186.551,32.22
187.052,32.22
187.553,32.25
188.055,32.25
188.557,32.25
189.058,32.29
189.559,32.29
190.061,32.32
190.563,32.32
191.064,32.32
191.565,32.32
192.067,32.35
192.569,32.32
193.070,32.32
193.571,32.35
194.073,32.35
194.575,32.35
195.076,32.35
195.577,32.35
196.079,32.35
196.581,32.38
197.082,32.38
197.583,32.38
198.085,32.38
198.587,32.38
199.089,32.42
199.589,32.42
200.091,32.42
200.593,32.45
201.095,32.45
201.595,32.45
202.097,32.48
202.599,32.48
203.101,32.48
203.601,32.48
204.103,32.48
204.605,32.48
205.107,32.48
205.607,32.48
206.109,32.51
206.611,32.51
207.113,32.51
207.613,32.51
208.115,32.55
208.617,32.55
209.119,32.55
209.619,32.55
210.121,32.55
210.623,32.55
211.125,32.55
211.625,32.55
212.127,32.58
212.629,32.58
213.131,32.58
213.631,32.58
214.133,32.58
214.635,32.58
215.137,32.61
215.637,32.61
216.139,32.61
216.641,32.58
217.143,32.61
217.643,32.58
218.145,32.61
218.647,32.61
219.149,32.61
219.649,32.61
220.151,32.64
220.653,32.64
221.155,32.64
221.655,32.64
222.157,32.64
222.659,32.68
223.161,32.68
223.661,32.68
224.163,32.68
224.665,32.68
225.167,32.64
225.667,32.68
226.169,32.68
226.671,32.68
227.173,32.68
227.673,32.68
228.175,32.68
228.677,32.71
229.179,32.71
229.679,32.71
230.181,32.71
230.683,32.71
231.185,32.71
231.687,32.71
232.187,32.74
232.689,32.74
233.191,32.74
233.693,32.74
234.193,32.74
234.695,32.74
235.197,32.74
235.699,32.74
236.199,32.74
236.701,32.74
237.203,32.77
237.705,32.77
238.205,32.74
238.707,32.77
239.209,32.77
239.711,32.77
240.211,32.77
240.713,32.77
241.215,32.77
241.717,32.81
242.217,32.77
242.719,32.77
243.221,32.77
243.723,32.77
244.223,32.77
244.725,32.77
245.227,32.81
245.729,32.81
246.229,32.81
246.731,32.81
247.233,32.81
247.735,32.81
248.235,32.81
248.737,32.84
249.239,32.84
249.741,32.84
250.241,32.84
250.743,32.84
251.245,32.84
251.747,32.84
252.247,32.87
252.749,32.87
253.251,32.87
253.753,32.87
254.253,32.87
254.755,32.90
255.257,32.90
255.759,32.90
256.259,32.90
256.761,32.90
257.263,32.90
257.765,32.90
258.265,32.94
258.767,32.94
259.269,32.94
259.771,32.94
260.273,32.97
260.773,32.97
261.275,32.97
261.777,32.97
262.279,32.97
262.779,32.97
263.281,32.97
263.783,32.97
264.285,32.97
264.785,33.00
265.287,33.00
265.789,33.00
266.291,33.00
266.791,33.00
267.293,33.00
267.795,33.00
