temps_s,temperature_C
0.000,19.98
0.502,20.02
1.003,20.07
1.505,20.09
2.005,20.19
2.507,20.26
3.009,20.33
3.510,20.35
4.011,20.40
4.513,20.47
5.014,20.54
5.516,20.56
6.017,20.61
6.518,20.66
7.020,20.70
7.522,20.73
8.022,20.77
8.524,20.82
9.026,20.85
9.527,20.85
10.028,20.92
10.530,20.94
11.031,20.99
11.533,21.01
12.034,21.06
12.536,21.06
13.037,21.13
13.539,21.17
14.040,21.17
14.541,21.17
15.043,21.22
15.545,21.22
16.045,21.27
16.547,21.31
17.049,21.29
17.551,21.31
18.051,21.36
18.553,21.41
19.055,21.41
19.556,21.43
20.057,21.43
20.559,21.45
21.061,21.52
21.562,21.50
22.063,21.55
22.565,21.55
23.066,21.59
23.568,21.62
24.069,21.62
24.570,21.64
25.072,21.64
25.574,21.66
26.076,21.68
26.576,21.71
27.078,21.73
27.580,21.71
28.081,21.75
28.582,21.73
29.084,21.78
29.586,21.82
30.087,21.80
30.588,21.82
31.090,21.85
31.591,21.85
32.093,21.89
32.594,21.87
33.095,21.92
33.597,21.94
34.099,21.94
34.600,21.92
35.101,21.96
35.603,21.94
36.105,21.96
36.605,22.01
37.107,21.99
37.609,22.03
38.110,22.03
38.611,22.03
39.113,22.06
39.615,22.06
40.116,22.06
40.617,22.10
41.119,22.10
41.620,22.10
42.122,22.13
42.623,22.15
43.124,22.17
43.626,22.15
44.128,22.17
44.629,22.17
45.130,22.20
45.632,22.20
46.134,22.20
46.634,22.22
47.136,22.22
47.638,22.22
48.140,22.26
48.640,22.24
49.142,22.26
49.644,22.26
50.145,22.31
50.646,22.31
51.148,22.31
51.650,22.33
52.151,22.33
52.652,22.33
53.154,22.36
53.655,22.38
54.157,22.36
54.658,22.38
55.160,22.38
55.661,22.40
56.163,22.40
56.664,22.43
57.165,22.45
57.667,22.43
58.169,22.43
58.670,22.45
59.171,22.47
59.673,22.47
60.175,22.47
60.675,22.52
61.177,22.50
61.679,22.52
62.181,22.52
62.681,22.52
63.183,22.50
63.685,22.52
64.186,22.54
64.687,22.59
65.189,22.57
65.691,22.57
66.192,22.57
66.693,22.59
67.195,22.59
67.696,22.57
68.198,22.59
68.700,22.61
69.201,22.61
69.702,22.61
70.204,22.61
70.706,22.63
71.206,22.63
71.708,22.66
72.210,22.63
72.711,22.68
73.212,22.68
73.714,22.68
74.216,22.66
74.717,22.68
75.218,22.70
75.720,22.75
76.221,22.70
76.723,22.73
77.224,22.73
77.726,22.73
78.227,22.75
78.729,22.73
79.230,22.73
79.731,22.77
80.233,22.75
80.735,22.77
81.236,22.77
81.737,22.77
82.239,22.80
82.741,22.77
83.241,22.80
83.743,22.82
84.245,22.80
84.747,22.82
85.247,22.82
85.749,22.82
86.251,22.80
86.752,22.82
87.253,22.80
87.755,22.82
88.257,22.84
88.758,22.87
89.259,22.87
89.761,22.84
90.262,22.87
90.764,22.89
91.265,22.89
91.767,22.89
92.268,22.89
92.770,22.89
93.271,22.87
93.772,22.91
94.274,22.91
94.776,22.91
95.277,22.91
95.778,22.91
96.280,22.93
96.782,22.93
97.282,22.98
97.784,22.93
98.286,22.91
98.788,22.96
99.288,22.93
99.790,22.93
100.292,22.98
100.793,22.96
101.294,22.96
101.796,22.96
102.298,22.98
102.799,22.98
103.300,23.00
103.802,23.00
104.304,23.00
104.805,23.00
105.306,23.03
105.808,23.00
106.310,23.03
106.811,23.05
107.313,23.05
107.814,23.03
108.316,23.07
108.817,23.07
109.319,23.07
109.820,23.05
110.322,23.07
110.823,23.05
111.325,23.05
111.826,23.07
112.328,23.10
112.829,23.10
113.331,23.05
113.832,23.07
114.334,23.07
114.835,23.07
115.337,23.10
115.838,23.12
116.340,23.10
116.841,23.10
117.343,23.10
117.844,23.07
118.346,23.14
118.847,23.10
119.349,23.10
119.850,23.12
120.352,23.12
120.854,23.10
121.355,23.12
121.856,23.19
122.358,23.17
122.860,23.14
123.361,23.14
123.862,23.17
124.364,23.17
124.866,23.19
125.367,23.17
125.868,23.17
126.370,23.21
126.872,23.21
127.373,23.21
127.874,23.21
128.376,23.23
128.878,23.19
129.379,23.21
129.880,23.23
130.382,23.23
130.884,23.23
131.385,23.23
131.886,23.23
132.388,23.26
132.890,23.23
133.391,23.26
133.892,23.26
134.394,23.28
134.896,23.28
135.397,23.28
135.898,23.26
136.400,23.28
136.902,23.26
137.404,23.30
137.905,23.28
138.406,23.28
138.908,23.30
139.410,23.30
139.911,23.30
140.412,23.30
140.914,23.33
141.416,23.33
141.917,23.30
142.418,23.33
142.920,23.33
143.422,23.37
143.923,23.35
144.424,23.35
144.926,23.33
145.428,23.35
145.929,23.37
146.430,23.40
146.932,23.35
147.434,23.35
147.935,23.35
148.436,23.37
148.938,23.35
149.440,23.37
149.941,23.37
150.442,23.37
150.944,23.37
151.446,23.37
151.947,23.40
152.448,23.40
152.950,23.42
153.452,23.42
153.954,23.42
154.454,23.40
154.956,23.40
155.458,23.42
155.960,23.42
156.460,23.42
156.962,23.42
157.464,23.42
