temps_s,temperature_C
0.000,21.52
0.502,21.66
1.003,21.92
1.505,21.96
2.006,22.08
2.507,22.20
3.009,22.36
3.510,22.54
4.011,22.61
4.513,22.73
5.015,22.87
5.516,23.03
6.017,23.17
6.519,23.28
7.020,23.33
7.522,23.44
8.023,23.60
8.524,23.72
9.026,23.76
9.528,23.85
10.028,23.97
10.530,24.06
11.032,24.17
11.533,24.22
12.034,24.31
12.536,24.43
13.037,24.49
13.539,24.68
14.040,24.72
14.542,24.72
15.043,24.84
15.545,24.86
16.046,24.95
16.547,25.07
17.049,25.09
17.551,25.18
18.052,25.23
18.553,25.29
19.055,25.48
19.557,25.54
20.057,25.50
20.559,25.54
21.061,25.63
21.563,25.70
22.063,25.77
22.565,25.82
23.067,25.86
23.569,25.88
24.069,25.93
24.571,26.13
25.073,26.16
25.574,26.09
26.076,26.16
26.577,26.20
27.078,26.32
27.580,26.36
28.082,26.38
28.583,26.41
29.084,26.48
29.586,26.54
30.088,26.66
30.588,26.66
31.090,26.66
31.592,26.68
32.094,26.75
32.594,26.82
33.096,26.86
33.598,26.84
34.099,26.91
34.600,26.95
35.102,26.97
35.604,27.06
36.105,27.06
36.606,27.13
37.108,27.11
37.609,27.16
38.111,27.36
38.612,27.31
39.113,27.29
39.615,27.29
40.117,27.36
40.618,27.45
41.119,27.52
41.621,27.49
42.123,27.47
42.623,27.56
43.125,27.59
43.627,27.68
44.129,27.68
44.629,27.68
45.131,27.74
45.633,27.77
46.134,27.86
46.635,27.86
47.137,27.86
47.639,27.88
48.140,27.90
48.641,27.97
49.143,28.04
49.644,28.02
50.146,28.04
50.647,28.06
51.148,28.11
51.650,28.17
52.152,28.17
52.653,28.20
53.154,28.17
53.656,28.24
54.158,28.33
54.658,28.38
55.160,28.33
55.662,28.35
56.164,28.35
56.664,28.38
57.166,28.47
57.668,28.44
58.169,28.47
58.670,28.49
59.172,28.56
59.673,28.67
60.175,28.63
60.676,28.58
61.178,28.63
61.679,28.67
