temps_s,temperature_C
0.000,24.70
0.502,25.07
1.003,25.48
1.505,25.93
2.006,26.41
2.507,26.91
3.009,27.38
3.511,27.88
4.011,28.38
4.513,28.83
5.015,29.26
5.516,29.69
6.017,30.09
6.519,30.50
7.020,30.89
7.522,31.27
8.023,31.63
8.524,32.02
9.026,32.31
9.528,32.63
10.028,32.97
10.530,33.27
11.032,33.56
11.533,33.84
12.034,34.13
12.536,34.39
13.037,34.66
13.539,34.91
14.040,35.16
14.542,35.42
15.043,35.65
15.545,35.88
16.046,36.11
16.547,36.34
17.049,36.55
17.551,36.76
18.052,36.96
18.553,37.17
19.055,37.38
19.557,37.59
20.057,37.80
20.559,37.99
21.061,38.15
21.563,38.36
22.063,38.55
22.565,38.72
23.067,38.90
23.568,39.07
24.069,39.26
24.571,39.42
25.073,39.52
25.574,39.50
26.076,39.50
26.577,39.52
27.078,39.52
27.580,39.50
28.082,39.50
28.583,39.52
29.084,39.52
29.586,39.52
30.088,39.50
30.588,39.50
31.090,39.52
31.592,39.50
32.094,39.52
32.594,39.52
33.096,39.52
33.598,39.50
34.099,39.50
34.600,39.52
35.102,39.52
35.604,39.50
36.105,39.52
36.606,39.50
37.108,39.50
37.609,39.50
38.111,39.50
38.612,39.52
39.114,39.50
39.615,39.52
40.117,39.52
40.618,39.52
41.119,39.52
41.621,39.52
42.123,39.50
42.624,39.50
43.125,39.52
43.627,39.50
44.129,39.50
44.630,39.52
45.131,39.50
45.633,39.52
46.135,39.52
46.635,39.52
47.137,39.50
47.639,39.50
48.141,39.50
48.641,39.50
49.143,39.52
49.645,39.50
50.146,39.52
50.647,39.50
51.149,39.52
51.651,39.52
52.152,39.52
52.653,39.50
53.155,39.50
53.656,39.52
54.158,39.52
54.659,39.52
55.161,39.50
55.662,39.50
56.164,39.50
56.665,39.50
57.166,39.50
57.668,39.50
58.170,39.50
58.671,39.52
59.172,39.52
59.674,39.52
60.176,39.50
60.676,39.52
61.178,39.52
61.680,39.52
62.182,39.50
