temps_s,temperature_C
0.000,30.46
0.502,30.43
1.003,30.46
1.505,30.43
2.006,30.41
2.507,30.41
3.009,30.41
3.511,30.46
4.011,30.43
4.513,30.37
5.015,30.37
5.516,30.32
6.017,30.34
6.519,30.30
7.020,30.25
7.522,30.25
8.023,30.23
8.524,30.18
9.026,30.16
9.528,30.14
10.028,30.09
10.530,30.05
11.032,30.03
11.533,30.00
12.034,29.94
12.536,29.89
13.037,29.89
13.539,29.85
14.040,29.82
14.542,29.76
15.043,29.73
15.545,29.69
16.046,29.64
16.547,29.62
17.049,29.55
17.551,29.48
18.052,29.48
18.553,29.44
19.055,29.42
19.557,29.37
20.057,29.28
20.559,29.26
21.061,29.21
21.563,29.19
22.063,29.19
22.565,29.10
23.067,29.08
23.568,29.03
24.069,28.99
24.571,28.96
25.072,28.90
25.574,28.85
26.076,28.85
26.577,28.81
27.078,28.81
27.580,28.74
28.082,28.69
28.582,28.63
29.084,28.60
29.586,28.58
30.088,28.56
30.588,28.54
31.090,28.47
31.592,28.44
32.093,28.40
32.594,28.38
33.096,28.33
33.597,28.29
34.099,28.24
34.600,28.20
35.102,28.24
35.603,28.13
36.105,28.11
36.606,28.06
37.107,28.02
37.609,27.99
38.111,27.99
38.611,27.92
39.113,27.86
39.615,27.86
40.117,27.81
40.617,27.77
41.119,27.72
41.621,27.70
42.122,27.65
42.623,27.61
43.125,27.65
43.627,27.56
44.128,27.54
44.629,27.49
45.131,27.47
45.632,27.43
46.134,27.40
46.635,27.36
47.136,27.29
47.638,27.27
48.140,27.27
48.641,27.22
49.142,27.16
49.644,27.13
50.146,27.09
50.646,27.06
51.148,27.09
51.650,27.04
52.152,26.97
52.652,26.95
53.154,26.91
53.656,26.88
54.157,26.88
54.658,26.82
55.160,26.79
55.662,26.75
56.163,26.72
56.664,26.75
57.166,26.68
57.667,26.66
58.169,26.61
58.670,26.57
59.172,26.59
59.673,26.54
60.175,26.48
60.676,26.45
61.177,26.41
61.679,26.41
62.181,26.38
62.682,26.34
63.183,26.29
63.685,26.27
64.187,26.25
64.687,26.23
65.189,26.23
65.691,26.18
66.193,26.13
66.693,26.11
67.195,26.09
67.697,26.09
68.198,26.02
68.700,26.02
69.201,25.95
69.702,25.95
70.204,25.95
70.706,25.93
71.207,25.88
71.708,25.86
72.210,25.82
72.712,25.82
73.212,25.79
73.714,25.75
74.216,25.73
74.718,25.73
75.218,25.68
75.720,25.68
76.222,25.66
76.724,25.59
77.224,25.57
77.726,25.59
78.228,25.50
78.729,25.52
79.230,25.48
79.732,25.45
80.234,25.45
80.735,25.41
81.236,25.36
81.738,25.36
82.239,25.32
82.741,25.32
83.242,25.27
83.744,25.25
84.245,25.27
84.747,25.23
85.248,25.18
85.750,25.16
86.251,25.11
86.753,25.13
87.254,25.13
87.755,25.07
88.257,25.04
88.759,25.02
89.259,25.00
89.761,25.02
90.263,24.93
90.765,24.91
91.265,24.91
91.767,24.88
92.269,24.91
92.770,24.88
93.271,24.79
93.773,24.81
94.275,24.77
94.776,24.75
95.277,24.77
95.779,24.70
96.280,24.65
96.782,24.63
97.283,24.65
97.785,24.61
98.286,24.63
98.788,24.56
99.289,24.56
99.790,24.54
100.292,24.52
100.794,24.54
101.295,24.52
101.796,24.45
102.298,24.45
102.800,24.40
103.301,24.38
103.803,24.38
104.304,24.38
104.806,24.33
105.308,24.31
105.809,24.29
106.310,24.27
106.812,24.29
107.314,24.24
107.815,24.17
108.316,24.20
108.818,24.20
109.320,24.13
109.821,24.15
110.322,24.15
110.824,24.08
111.326,24.08
111.827,24.06
112.328,24.04
112.830,24.01
113.332,24.04
113.833,23.97
114.334,23.92
114.836,23.92
115.338,23.92
115.839,23.88
116.340,23.92
116.842,23.90
117.344,23.85
117.845,23.83
118.346,23.83
118.848,23.81
119.350,23.83
119.851,23.81
120.352,23.74
120.854,23.74
121.356,23.69
121.857,23.72
122.359,23.69
122.860,23.67
123.362,23.67
123.863,23.65
124.365,23.62
124.866,23.58
125.368,23.56
125.869,23.60
126.371,23.56
126.872,23.53
127.374,23.51
127.875,23.51
128.377,23.46
128.878,23.51
129.380,23.46
129.881,23.46
130.383,23.42
