temps_s,temperature_C
0.000,25.2168
0.502,25.2168
1.004,25.2401
1.506,25.2868
2.006,25.3334
2.508,25.3801
3.010,25.4500
3.512,25.4966
4.013,25.5432
4.515,25.6131
5.017,25.6830
5.519,25.7063
6.020,25.7761
6.521,25.8227
7.023,25.8460
7.525,25.9158
8.026,25.9623
8.528,25.9856
9.030,26.0089
9.532,26.0787
10.034,26.1019
10.535,26.1252
11.036,26.1950
11.538,26.1950
12.040,26.2415
12.541,26.2647
13.043,26.3112
13.545,26.3344
14.047,26.3809
14.548,26.4041
15.050,26.4274
15.552,26.4507
16.054,26.4971
16.555,26.5204
17.057,26.5436
17.559,26.5900
18.060,26.5900
18.561,26.6365
19.063,26.6597
19.565,26.6829
20.067,26.7061
20.568,26.7526
21.070,26.7526
21.572,26.7758
22.074,26.7990
22.575,26.8222
23.077,26.8455
23.579,26.8687
24.081,26.8919
24.583,26.9151
25.083,26.9151
25.585,26.9383
26.087,26.9615
26.589,27.0079
27.090,27.0311
27.592,27.1007
28.094,27.1239
28.596,27.1471
29.097,27.1935
29.599,27.2167
