temps_s,temperature_C
0.000,23.62
0.502,23.69
1.003,23.75
1.505,23.85
2.006,23.95
2.507,24.05
3.009,24.11
3.511,24.18
4.011,24.27
4.513,24.34
5.015,24.44
5.516,24.50
6.017,24.54
6.519,24.63
7.020,24.70
7.522,24.76
8.023,24.83
8.524,24.89
9.026,24.96
9.528,25.02
10.028,25.05
10.530,25.12
11.032,25.18
11.533,25.25
12.034,25.28
12.536,25.35
13.037,25.38
13.539,25.41
14.040,25.48
14.542,25.54
15.043,25.57
15.545,25.61
16.046,25.64
16.548,25.70
17.049,25.74
17.551,25.77
18.052,25.83
18.553,25.87
19.055,25.87
19.557,25.93
20.058,25.96
20.559,25.99
21.061,26.03
21.563,26.06
22.063,26.12
22.565,26.16
23.067,26.19
23.568,26.22
24.069,26.22
24.571,26.25
25.073,26.32
25.574,26.35
26.076,26.38
26.577,26.38
27.078,26.42
27.580,26.45
28.082,26.48
28.583,26.51
29.084,26.54
29.586,26.54
30.088,26.58
30.588,26.61
31.090,26.64
31.592,26.67
32.094,26.71
32.594,26.74
33.096,26.74
33.598,26.80
34.099,26.80
34.600,26.84
35.102,26.87
35.604,26.90
36.105,26.90
36.606,26.93
37.108,26.96
37.609,26.96
38.111,27.00
38.612,27.03
39.113,27.06
39.615,27.06
40.117,27.09
40.618,27.09
41.119,27.13
41.621,27.16
42.123,27.19
42.623,27.19
43.125,27.19
43.627,27.22
44.129,27.25
44.629,27.29
45.131,27.29
45.633,27.32
46.134,27.32
46.635,27.42
47.137,27.38
47.639,27.42
48.140,27.42
48.641,27.42
49.143,27.45
49.644,27.48
50.146,27.48
50.647,27.48
51.148,27.51
51.650,27.51
52.152,27.55
52.653,27.55
53.154,27.58
53.656,27.61
54.158,27.61
54.658,27.64
55.160,27.64
55.662,27.67
56.164,27.67
56.664,27.71
57.166,27.71
57.668,27.74
58.169,27.74
58.670,27.77
59.172,27.77
59.674,27.77
60.175,27.80
60.676,27.80
61.178,27.80
61.679,27.84
62.181,27.84
62.682,27.84
63.183,27.87
63.685,27.90
64.187,27.90
64.689,27.93
65.189,27.93
65.691,27.96
66.193,28.00
66.693,28.00
67.195,28.03
67.697,28.03
68.198,28.06
68.700,28.06
69.201,28.06
69.703,28.09
70.204,28.09
70.706,28.13
71.207,28.13
71.708,28.13
72.210,28.13
72.712,28.13
