temps_s,temperature_C
0.000,22.97
0.502,23.00
1.003,23.03
1.505,23.07
2.006,23.13
2.507,23.16
3.009,23.20
3.511,23.23
4.011,23.26
4.513,23.33
5.015,23.36
5.516,23.39
6.017,23.43
6.519,23.46
7.020,23.49
7.522,23.52
8.023,23.56
8.524,23.62
9.026,23.62
9.528,23.65
10.028,23.65
10.530,23.69
11.032,23.72
11.533,23.75
12.034,23.75
12.536,23.79
13.037,23.82
13.539,23.85
14.040,23.85
14.542,23.88
15.043,23.88
15.545,23.92
16.046,23.95
16.547,23.95
17.049,23.98
17.551,23.98
18.052,24.01
18.553,24.01
19.055,24.05
19.557,24.05
20.057,24.08
20.559,24.08
21.061,24.08
21.562,24.11
22.063,24.11
22.565,24.14
23.067,24.14
23.568,24.18
24.069,24.18
24.571,24.21
25.072,24.21
25.574,24.21
26.076,24.24
26.577,24.24
27.078,24.27
27.580,24.27
28.082,24.31
28.582,24.31
29.084,24.31
29.586,24.34
30.088,24.47
30.588,24.34
31.090,24.37
31.592,24.37
32.093,24.37
32.594,24.40
33.096,24.40
33.598,24.40
34.099,24.44
34.600,24.44
35.102,24.44
35.603,24.47
36.105,24.47
36.606,24.47
37.108,24.47
37.609,24.50
38.111,24.50
38.612,24.50
39.113,24.50
39.615,24.50
40.117,24.54
40.618,24.54
41.119,24.54
41.621,24.54
42.123,24.57
42.623,24.57
43.125,24.57
43.627,24.57
44.129,24.60
44.629,24.60
45.131,24.60
45.633,24.63
46.134,24.60
46.635,24.63
47.137,24.63
47.639,24.67
48.140,24.67
48.641,24.67
49.143,24.67
49.644,24.67
50.146,24.70
50.647,24.70
51.149,24.70
51.650,24.70
52.152,24.70
52.653,24.73
53.154,24.73
53.656,24.73
54.158,24.76
54.659,24.76
55.160,24.76
55.662,24.76
56.164,24.76
56.664,24.76
57.166,24.76
57.668,24.80
58.170,24.80
58.670,24.80
59.172,24.80
59.674,24.83
60.175,24.83
60.676,24.83
61.178,24.83
61.679,24.83
62.181,24.86
62.682,24.86
63.184,24.86
63.685,24.86
64.187,24.86
64.689,24.86
65.189,24.89
65.691,24.89
66.193,24.89
66.693,24.89
67.195,24.89
67.697,24.93
68.199,24.93
68.700,24.93
69.201,24.93
69.703,24.93
70.204,24.96
70.706,24.96
71.207,24.96
71.709,24.96
72.210,24.96
72.712,24.99
73.213,24.99
73.714,24.99
74.216,24.99
74.718,24.99
75.219,24.99
75.720,24.99
76.222,24.99
76.724,25.02
77.224,25.02
77.726,25.02
78.228,25.02
78.730,25.02
79.230,25.02
79.732,25.05
80.234,25.05
80.735,25.05
81.236,25.05
81.738,25.05
82.240,25.05
82.741,25.05
83.242,25.05
83.744,25.09
84.245,25.09
84.747,25.09
85.248,25.09
85.749,25.09
86.251,25.09
86.753,25.09
87.254,25.12
87.755,25.12
88.257,25.12
88.759,25.12
89.259,25.12
89.761,25.12
90.263,25.12
90.765,25.12
91.265,25.15
91.767,25.15
92.269,25.15
92.770,25.15
93.271,25.15
93.773,25.15
94.275,25.15
94.776,25.15
95.277,25.15
95.779,25.15
96.280,25.18
96.782,25.18
97.283,25.18
97.785,25.18
98.286,25.18
98.788,25.18
99.289,25.18
99.790,25.18
100.292,25.18
100.794,25.18
101.295,25.18
101.796,25.18
102.298,25.22
102.800,25.22
103.301,25.22
103.802,25.22
104.304,25.22
104.806,25.22
105.308,25.22
105.808,25.22
106.310,25.22
106.812,25.22
107.314,25.22
107.815,25.25
108.316,25.25
108.818,25.25
109.320,25.25
109.821,25.25
110.322,25.38
110.824,25.25
111.326,25.25
111.827,25.25
112.328,25.25
112.830,25.28
113.332,25.28
113.833,25.28
114.334,25.28
114.836,25.28
115.338,25.28
115.839,25.28
116.340,25.28
116.842,25.28
117.344,25.28
117.845,25.28
118.347,25.28
118.848,25.28
119.350,25.28
119.851,25.31
120.353,25.31
120.854,25.31
121.356,25.31
121.857,25.31
122.359,25.31
122.860,25.35
123.362,25.35
123.863,25.35
124.365,25.35
124.866,25.35
125.368,25.35
125.869,25.35
126.371,25.35
126.872,25.35
127.374,25.35
127.875,25.38
128.377,25.38
128.879,25.38
129.380,25.38
