temps_s,temperature_C
0.000,32.27
0.502,32.06
1.003,31.93
1.505,31.70
2.006,31.52
2.507,31.34
3.009,31.20
3.510,31.09
4.011,30.91
4.513,30.77
5.015,30.61
5.516,30.50
6.017,30.39
6.519,30.25
7.020,30.07
7.522,29.98
8.023,29.87
8.524,29.78
9.026,29.60
9.528,29.53
10.028,29.42
10.530,29.35
11.032,29.26
11.533,29.15
12.034,29.05
12.536,28.94
13.037,28.87
13.539,28.83
14.040,28.72
14.542,28.60
15.043,28.51
15.545,28.47
16.046,28.40
16.547,28.33
17.049,28.22
17.551,28.15
18.051,28.06
18.553,28.02
19.055,27.95
19.557,27.86
20.057,27.79
20.559,27.72
21.061,27.68
21.562,27.63
22.063,27.54
22.565,27.45
23.067,27.40
23.568,27.31
24.069,27.34
24.571,27.25
25.072,27.18
25.574,27.13
26.076,27.06
26.576,27.00
27.078,26.97
27.580,26.93
28.082,26.86
28.582,26.79
29.084,26.75
29.586,26.72
30.087,26.68
30.588,26.61
31.090,26.57
31.592,26.50
32.093,26.48
32.594,26.48
33.096,26.38
33.597,26.32
34.099,26.27
34.600,26.27
35.102,26.23
35.603,26.18
36.105,26.16
36.606,26.09
37.107,26.04
37.609,26.02
38.111,25.98
38.611,25.91
39.113,25.88
39.615,25.86
40.117,25.79
40.617,25.79
41.119,25.73
41.621,25.68
42.122,25.66
42.623,25.61
43.125,25.61
43.627,25.57
44.128,25.50
44.629,25.45
45.131,25.45
45.633,25.41
46.134,25.41
46.635,25.38
47.137,25.29
47.638,25.29
48.140,25.23
48.641,25.25
49.143,25.20
49.644,25.16
50.146,25.11
50.647,25.09
51.148,25.07
51.650,25.02
52.152,25.00
52.653,24.97
53.154,24.95
53.656,24.88
54.158,24.88
54.658,24.86
55.160,24.84
55.662,24.77
56.163,24.75
56.664,24.75
57.166,24.72
57.668,24.68
58.169,24.65
58.670,24.63
59.172,24.63
59.673,24.61
60.175,24.59
60.676,24.52
61.178,24.49
61.679,24.47
62.181,24.47
62.682,24.40
63.184,24.36
63.685,24.36
64.187,24.33
64.689,24.29
65.189,24.31
65.691,24.27
66.193,24.22
66.695,24.20
67.195,24.20
67.697,24.17
68.199,24.15
68.700,24.11
69.201,24.08
69.703,24.06
70.204,24.04
70.706,24.06
71.207,23.97
71.709,23.95
72.210,23.92
72.712,23.88
73.213,23.90
73.714,23.90
74.216,23.85
74.718,23.85
75.219,23.81
75.720,23.79
76.222,23.79
76.724,23.74
77.224,23.69
77.726,23.67
78.228,23.65
78.730,23.67
79.230,23.67
79.732,23.62
80.234,23.58
80.735,23.58
81.236,23.56
81.738,23.53
82.240,23.53
82.741,23.49
83.242,23.42
83.744,23.44
84.245,23.46
84.747,23.42
85.248,23.40
85.750,23.33
86.251,23.33
86.753,23.33
87.254,23.33
87.755,23.26
88.257,23.23
88.759,23.26
89.260,23.21
89.761,23.23
90.263,23.21
90.765,23.14
91.265,23.14
91.767,23.12
92.269,23.10
92.771,23.14
93.271,23.05
93.773,23.05
94.275,23.05
94.776,23.03
95.277,23.03
95.779,23.03
96.281,22.93
96.782,22.96
97.283,22.91
97.785,22.89
98.286,22.91
98.788,22.89
99.289,22.84
99.791,22.82
100.292,22.80
100.794,22.82
101.295,22.80
101.797,22.77
102.298,22.73
102.800,22.73
103.301,22.73
103.803,22.70
104.304,22.68
104.806,22.66
105.308,22.63
105.809,22.61
106.310,22.61
106.812,22.61
107.314,22.59
107.815,22.57
108.316,22.54
108.818,22.54
109.320,22.52
109.821,22.50
110.322,22.50
110.824,22.50
111.326,22.45
111.827,22.43
112.328,22.38
112.830,22.40
113.332,22.43
113.833,22.38
114.334,22.33
114.836,22.36
115.338,22.31
115.839,22.31
116.340,22.33
116.842,22.31
117.344,22.26
117.845,22.26
118.347,22.22
118.848,22.22
119.350,22.24
119.851,22.22
120.353,22.17
120.854,22.15
121.356,22.13
121.857,22.13
122.359,22.10
122.860,22.13
123.362,22.08
123.863,22.08
124.365,22.03
124.866,21.99
125.368,22.03
125.869,22.03
126.371,21.99
126.872,21.96
127.374,21.99
127.875,21.94
128.377,21.96
128.878,21.94
129.380,21.94
129.881,21.89
130.383,21.89
130.884,21.85
131.386,21.87
131.887,21.87
132.389,21.85
132.890,21.85
133.392,21.80
133.893,21.80
134.395,21.82
134.896,21.80
135.398,21.73
135.900,21.73
136.401,21.75
136.902,21.73
137.404,21.73
137.906,21.75
138.407,21.68
138.908,21.68
139.410,21.66
139.912,21.62
140.413,21.66
140.914,21.68
141.416,21.62
141.918,21.57
142.419,21.62
142.920,21.59
143.422,21.57
143.924,21.59
144.425,21.59
144.926,21.55
145.428,21.52
145.930,21.50
146.431,21.50
146.932,21.50
147.434,21.52
147.936,21.45
148.437,21.48
148.938,21.43
149.440,21.43
149.942,21.45
150.443,21.43
150.944,21.38
151.446,21.36
151.948,21.41
152.449,21.36
152.950,21.38
153.452,21.36
153.954,21.31
154.455,21.29
154.956,21.31
155.458,21.29
155.960,21.29
156.461,21.29
156.962,21.27
157.464,21.22
157.966,21.22
158.467,21.22
158.968,21.22
159.470,21.22
159.972,21.20
160.473,21.20
160.974,21.17
161.476,21.17
161.978,21.15
162.479,21.17
162.980,21.13
163.482,21.13
163.984,21.10
164.485,21.13
164.986,21.10
165.488,21.10
165.990,21.08
166.492,21.03
166.992,21.03
167.494,21.03
167.996,21.03
168.498,21.01
168.998,21.01
169.500,20.99
170.002,20.99
170.504,20.96
171.004,20.96
171.506,20.96
172.008,20.94
172.509,20.94
173.010,20.94
173.512,20.92
174.014,20.92
174.515,20.92
175.016,20.89
175.518,20.92
176.020,20.87
176.521,20.87
177.022,20.89
177.524,20.85
178.026,20.80
178.527,20.85
179.028,20.82
179.530,20.82
180.032,20.82
180.533,20.82
181.034,20.80
181.536,20.77
182.038,20.75
182.539,20.75
183.040,20.77
183.542,20.77
184.044,20.73
184.545,20.73
185.046,20.70
185.548,20.70
186.050,20.70
186.551,20.73
187.052,20.68
187.554,20.66
188.056,20.68
188.557,20.66
189.058,20.63
189.560,20.66
190.062,20.66
190.563,20.59
191.064,20.61
191.566,20.61
192.068,20.61
192.569,20.63
193.070,20.56
193.572,20.59
194.074,20.54
194.575,20.54
195.076,20.54
195.578,20.54
196.080,20.54
196.581,20.52
197.082,20.49
197.584,20.52
198.085,20.49
198.587,20.49
199.089,20.47
199.590,20.49
200.091,20.45
200.593,20.47
201.095,20.47
201.596,20.45
202.097,20.45
202.599,20.45
203.101,20.42
203.602,20.42
