temps_s,temperature_C
0.000,24.91
0.502,24.81
1.003,24.75
1.505,24.70
2.006,24.65
2.507,24.63
3.009,24.56
3.511,24.56
4.011,24.49
4.513,24.45
5.015,24.47
5.516,24.43
6.017,24.38
6.519,24.36
7.020,24.33
7.522,24.29
8.023,24.27
8.524,24.24
9.026,24.20
9.528,24.22
10.028,24.15
10.530,24.13
11.032,24.13
11.533,24.11
12.034,24.11
12.536,24.08
13.038,24.04
13.539,24.04
14.040,24.04
14.542,24.01
15.043,23.99
15.545,23.97
16.046,23.99
16.548,23.95
17.049,23.90
17.551,23.95
18.052,23.92
18.553,23.90
19.055,23.88
19.557,23.88
20.058,23.88
20.559,23.85
21.061,23.81
21.563,23.81
22.063,23.83
22.565,23.81
23.067,23.81
23.568,23.79
24.069,23.79
24.571,23.76
25.073,23.74
25.574,23.74
26.076,23.74
26.577,23.74
27.078,23.74
27.580,23.72
28.082,23.69
28.583,23.72
29.084,23.69
29.586,23.72
30.088,23.69
30.588,23.67
31.090,23.65
31.592,23.65
32.094,23.65
32.594,23.65
33.096,23.62
33.598,23.65
34.099,23.60
34.600,23.62
35.102,23.58
35.604,23.62
36.105,23.58
36.606,23.58
37.108,23.58
37.609,23.60
38.111,23.58
38.612,23.58
39.114,23.56
39.615,23.53
40.117,23.58
40.618,23.58
41.119,23.53
41.621,23.53
42.123,23.53
42.624,23.51
43.125,23.53
43.627,23.53
44.129,23.53
44.629,23.51
45.131,23.51
45.633,23.53
46.135,23.49
46.635,23.51
47.137,23.51
47.639,23.51
48.140,23.51
48.641,23.51
49.143,23.51
49.644,23.51
50.146,23.51
50.647,23.51
51.149,23.46
51.650,23.49
52.152,23.49
52.653,23.46
53.154,23.46
53.656,23.46
54.158,23.46
54.659,23.46
55.160,23.44
55.662,23.46
56.164,23.46
56.664,23.42
57.166,23.42
57.668,23.46
58.170,23.44
58.670,23.42
59.172,23.46
59.674,23.44
