temps_s,temperature_C
0.000,23.37
0.502,23.46
1.003,23.58
1.505,23.72
2.006,23.83
2.507,23.97
3.009,24.11
3.511,24.24
4.011,24.36
4.513,24.49
5.015,24.61
5.516,24.72
6.017,24.84
6.519,24.95
7.020,25.04
7.522,25.16
8.023,25.25
8.524,25.34
9.026,25.43
9.528,25.52
10.028,25.59
10.530,25.68
11.032,25.77
11.533,25.84
12.034,25.93
12.536,26.00
13.038,26.07
13.539,26.13
14.040,26.20
14.542,26.27
15.043,26.34
15.545,26.41
16.046,26.48
16.548,26.54
17.049,26.59
17.551,26.63
18.052,26.70
18.553,26.77
19.055,26.82
19.557,26.88
20.057,26.93
20.559,27.00
21.061,27.04
21.563,27.11
22.063,27.20
22.565,27.20
23.067,27.25
23.568,27.29
24.069,27.34
24.571,27.38
25.073,27.43
25.574,27.47
26.076,27.52
26.577,27.56
27.078,27.61
27.580,27.65
28.082,27.68
28.583,27.72
29.084,27.77
29.586,27.81
30.088,27.86
30.588,27.88
31.090,27.92
31.592,27.97
32.093,28.02
32.594,28.04
33.096,28.08
33.598,28.11
34.099,28.15
34.600,28.20
35.102,28.22
35.603,28.26
36.105,28.29
36.606,28.33
37.107,28.35
37.609,28.40
38.111,28.42
38.612,28.44
39.113,28.49
39.615,28.51
40.117,28.56
40.617,28.58
41.119,28.60
41.621,28.65
42.123,28.67
42.623,28.69
43.125,28.74
43.627,28.76
44.128,28.78
44.629,28.81
45.131,28.85
45.633,28.87
46.134,28.90
46.635,28.92
47.137,28.94
47.638,28.96
48.140,28.99
48.641,29.03
49.143,29.05
49.644,29.08
50.146,29.10
50.647,29.12
51.148,29.15
51.650,29.17
52.152,29.19
52.652,29.24
53.154,29.26
53.656,29.28
54.158,29.30
54.658,29.33
55.160,29.35
55.662,29.37
56.163,29.39
56.664,29.42
57.166,29.44
57.668,29.46
58.169,29.48
58.670,29.51
59.172,29.53
59.673,29.55
60.175,29.57
60.676,29.60
61.177,29.62
61.679,29.64
62.181,29.67
62.682,29.69
63.183,29.71
63.685,29.71
64.187,29.73
64.687,29.76
65.189,29.78
65.691,29.80
66.193,29.82
66.693,29.82
67.195,29.85
67.697,29.87
68.198,29.89
68.700,29.91
69.201,29.94
69.703,29.94
70.204,29.96
70.706,29.98
71.207,30.00
71.708,30.03
72.210,30.05
72.712,30.05
73.213,30.09
73.714,30.09
74.216,30.12
74.718,30.14
75.218,30.14
75.720,30.16
76.222,30.21
76.724,30.21
77.224,30.23
77.726,30.25
78.228,30.28
78.729,30.28
79.230,30.30
79.732,30.32
80.234,30.32
80.735,30.34
81.236,30.37
81.738,30.37
82.239,30.39
82.741,30.41
83.242,30.41
83.744,30.43
84.245,30.46
84.747,30.48
85.248,30.50
85.749,30.52
86.251,30.52
86.753,30.55
87.254,30.57
87.755,30.57
88.257,30.59
88.759,30.59
89.259,30.61
89.761,30.61
90.263,30.64
90.765,30.66
91.265,30.66
91.767,30.68
92.269,30.68
92.770,30.71
93.271,30.73
93.773,30.75
94.275,30.75
94.776,30.77
95.277,30.77
95.779,30.80
96.280,30.82
96.782,30.82
97.283,30.84
97.785,30.86
98.286,30.89
98.788,30.89
99.289,30.91
99.790,30.93
100.292,30.93
100.794,31.00
101.295,30.98
101.796,31.00
102.298,31.00
102.800,31.02
103.301,31.04
103.802,31.09
104.304,31.07
104.806,31.09
105.308,31.09
105.808,31.09
106.310,31.11
106.812,31.16
107.314,31.13
107.814,31.16
108.316,31.18
108.818,31.20
109.320,31.20
109.820,31.23
110.322,31.23
110.824,31.25
111.326,31.25
111.826,31.27
112.328,31.27
112.830,31.29
113.332,31.29
113.832,31.29
114.334,31.32
114.836,31.34
115.338,31.34
115.838,31.36
116.340,31.36
116.842,31.38
117.344,31.38
