temps_s,temperature_C
0.000,23.21
0.502,23.19
1.003,23.21
1.505,23.21
2.006,23.19
2.507,23.21
3.009,23.19
3.511,23.21
4.011,23.17
4.513,23.17
5.015,23.17
5.516,23.23
6.017,23.23
6.519,23.21
7.020,23.21
7.522,23.23
8.023,23.21
8.524,23.23
9.026,23.21
9.528,23.19
10.028,23.21
10.530,23.23
11.032,23.23
11.533,23.23
12.034,23.26
12.536,23.26
13.038,23.23
13.539,23.23
14.040,23.28
14.542,23.28
15.043,23.26
15.545,23.26
16.046,23.23
16.548,23.30
17.049,23.28
17.551,23.30
18.052,23.30
18.553,23.30
19.055,23.30
19.557,23.33
20.058,23.35
20.559,23.33
21.061,23.35
21.563,23.33
22.063,23.37
22.565,23.37
23.067,23.35
23.569,23.40
24.069,23.37
24.571,23.40
25.073,23.44
25.574,23.40
26.076,23.40
26.577,23.42
27.079,23.42
27.580,23.44
28.082,23.42
28.583,23.44
29.084,23.44
29.586,23.44
30.088,23.44
30.589,23.46
31.090,23.46
31.592,23.46
32.094,23.44
32.594,23.49
33.096,23.51
33.598,23.46
34.099,23.49
34.600,23.49
35.102,23.51
35.604,23.56
36.105,23.51
36.606,23.51
37.108,23.51
37.609,23.53
38.111,23.53
38.612,23.53
39.114,23.51
39.615,23.53
40.117,23.56
40.618,23.56
41.119,23.56
41.621,23.56
42.123,23.53
42.624,23.58
43.125,23.56
43.627,23.58
44.129,23.60
44.629,23.60
45.131,23.58
45.633,23.60
46.135,23.62
46.635,23.62
47.137,23.62
47.639,23.62
48.140,23.62
48.641,23.65
49.143,23.65
49.645,23.65
50.146,23.65
50.647,23.62
51.149,23.67
51.650,23.65
52.152,23.72
52.653,23.67
53.155,23.65
53.656,23.69
54.158,23.72
54.659,23.72
55.160,23.67
55.662,23.69
56.164,23.69
56.665,23.72
57.166,23.69
57.668,23.74
58.170,23.74
58.670,23.72
59.172,23.74
59.674,23.76
60.175,23.76
60.676,23.74
61.178,23.76
61.680,23.72
62.181,23.79
62.682,23.76
63.184,23.79
63.685,23.79
64.187,23.79
64.689,23.76
65.190,23.83
65.691,23.81
66.193,23.79
66.695,23.81
67.195,23.81
67.697,23.85
68.199,23.81
68.701,23.85
69.201,23.81
69.703,23.83
70.205,23.81
70.706,23.83
71.207,23.83
71.709,23.83
72.211,23.83
72.712,23.81
73.213,23.83
73.715,23.85
74.216,23.88
74.718,23.85
75.219,23.85
75.721,23.83
76.222,23.85
76.724,23.88
77.225,23.85
77.726,23.90
78.228,23.88
78.730,23.88
79.231,23.88
79.732,23.88
80.234,23.90
80.736,23.88
81.236,23.90
81.738,23.90
82.240,23.92
82.742,23.90
83.242,23.90
83.744,23.92
84.246,23.90
84.747,23.95
85.248,23.92
85.750,23.95
86.251,23.95
86.753,23.95
87.254,23.97
87.756,23.97
88.257,23.97
88.759,23.97
89.260,23.99
89.761,23.97
90.263,23.99
90.765,23.97
91.266,23.97
91.767,23.99
92.269,24.01
92.771,23.99
93.271,24.01
93.773,23.99
94.275,23.99
94.777,23.99
95.277,24.01
95.779,24.04
96.281,24.04
96.782,24.04
97.283,24.04
97.785,24.04
98.287,24.01
98.788,24.01
99.289,24.04
99.791,24.04
100.292,24.06
100.794,24.04
101.295,24.08
101.797,24.06
102.298,24.06
102.800,24.04
103.301,24.04
103.803,24.06
104.304,24.08
104.806,24.06
105.308,24.06
105.809,24.08
106.310,24.06
106.812,24.11
107.314,24.11
107.815,24.08
108.316,24.11
108.818,24.08
109.320,24.08
109.821,24.08
110.323,24.13
110.824,24.11
111.326,24.11
111.827,24.08
112.329,24.13
112.830,24.11
113.332,24.13
113.833,24.13
114.335,24.11
114.836,24.13
115.338,24.13
115.839,24.13
116.341,24.13
116.842,24.13
117.344,24.11
