temps_s,temperature_C
0.000,24.31
0.502,24.31
1.003,24.40
1.505,24.38
2.006,24.27
2.507,24.27
3.009,24.33
3.511,24.43
4.011,24.31
4.513,24.31
5.015,24.31
5.516,24.31
6.017,24.47
6.519,24.36
7.020,24.36
7.522,24.38
8.023,24.40
8.524,24.43
9.026,24.43
9.528,24.40
10.028,24.45
10.530,24.45
11.032,24.56
11.533,24.56
12.034,24.52
12.536,24.54
13.038,24.56
13.539,24.63
14.040,24.68
14.542,24.65
15.043,24.65
15.545,24.72
16.046,24.70
16.548,24.84
17.049,24.79
17.551,24.77
18.052,24.79
18.553,24.81
19.055,24.91
19.557,24.95
20.058,24.93
20.559,24.91
21.061,24.95
21.563,25.00
22.063,25.07
22.565,25.04
23.067,25.04
23.569,25.11
24.069,25.09
24.571,25.25
25.073,25.25
25.574,25.18
26.076,25.20
26.577,25.25
27.079,25.29
27.580,25.32
28.082,25.29
28.583,25.34
29.084,25.36
29.586,25.36
30.088,25.50
30.589,25.50
31.090,25.43
31.592,25.48
32.094,25.50
32.594,25.52
33.096,25.59
33.598,25.57
34.100,25.59
34.600,25.61
35.102,25.66
35.604,25.77
36.105,25.77
36.606,25.73
37.108,25.70
37.609,25.75
38.111,25.82
38.612,25.88
39.114,25.84
39.615,25.84
40.117,25.86
40.618,25.93
41.120,26.02
41.621,26.00
42.123,25.95
42.624,26.00
43.125,26.02
43.627,26.09
44.129,26.13
44.629,26.11
45.131,26.09
45.633,26.13
46.135,26.20
46.635,26.23
47.137,26.20
47.639,26.25
48.140,26.23
48.641,26.27
49.143,26.41
49.645,26.41
50.146,26.34
50.647,26.36
51.149,26.41
51.650,26.43
52.152,26.48
52.653,26.45
53.155,26.48
53.656,26.48
54.158,26.52
54.659,26.66
55.160,26.61
55.662,26.57
56.164,26.59
56.665,26.61
57.166,26.70
57.668,26.68
58.170,26.66
58.670,26.68
59.172,26.68
59.674,26.75
60.175,26.79
60.676,26.77
61.178,26.79
61.680,26.79
62.181,26.82
62.682,26.88
63.184,26.93
63.685,26.86
64.187,26.91
64.689,26.91
65.190,26.93
65.691,26.97
66.193,26.97
66.695,26.97
67.195,27.02
67.697,27.02
68.199,27.11
68.701,27.11
69.201,27.04
69.703,27.09
70.205,27.06
70.706,27.18
71.207,27.18
71.709,27.13
72.211,27.16
72.712,27.20
73.213,27.22
73.715,27.34
74.216,27.31
74.718,27.27
75.219,27.25
75.721,27.29
76.222,27.34
76.724,27.38
77.225,27.34
77.726,27.36
78.228,27.38
78.730,27.40
79.231,27.45
79.732,27.47
80.234,27.43
80.736,27.43
81.236,27.47
81.738,27.54
82.240,27.56
82.742,27.54
83.242,27.56
83.744,27.59
84.246,27.59
84.747,27.61
85.248,27.59
85.750,27.63
86.251,27.65
86.753,27.65
87.254,27.74
87.756,27.79
88.257,27.72
88.759,27.74
89.260,27.74
89.761,27.79
90.263,27.81
90.765,27.79
91.266,27.81
91.767,27.79
92.269,27.86
92.771,27.99
93.271,27.90
93.773,27.88
94.275,27.83
94.777,27.90
95.277,27.95
95.779,27.99
96.281,27.90
96.782,27.92
97.283,27.92
97.785,27.99
98.286,28.04
98.788,27.99
99.289,28.04
99.791,28.02
100.292,28.02
100.794,28.13
101.295,28.13
101.797,28.08
102.298,28.08
102.800,28.08
103.301,28.13
103.803,28.20
104.304,28.20
104.806,28.15
105.308,28.15
105.809,28.17
106.310,28.20
106.812,28.24
107.314,28.26
107.815,28.22
108.316,28.24
108.818,28.24
109.320,28.24
109.821,28.31
110.322,28.33
110.824,28.26
111.326,28.26
111.827,28.33
112.328,28.29
112.830,28.38
113.332,28.40
113.833,28.38
114.334,28.38
114.836,28.38
115.338,28.38
115.839,28.38
116.340,28.44
116.842,28.47
117.344,28.42
117.845,28.42
118.346,28.44
118.848,28.49
119.350,28.58
119.851,28.60
120.352,28.51
120.854,28.49
121.356,28.51
121.857,28.54
122.358,28.63
122.860,28.65
123.362,28.58
123.863,28.58
124.364,28.58
124.866,28.60
125.368,28.69
125.869,28.69
126.370,28.65
126.872,28.65
127.374,28.65
127.875,28.67
128.376,28.76
128.878,28.76
129.380,28.72
129.881,28.74
130.382,28.76
130.884,28.74
131.386,28.83
131.887,28.85
132.389,28.81
132.890,28.85
133.392,28.81
133.893,28.85
134.395,28.87
134.896,28.90
135.398,28.87
135.900,28.90
136.401,28.90
136.902,28.92
137.404,28.96
137.906,28.99
138.406,28.96
138.908,28.96
139.410,28.96
139.912,28.99
140.412,29.01
140.914,29.01
141.416,29.01
141.918,29.01
142.418,28.96
142.920,28.99
143.422,29.03
143.924,29.05
144.424,29.05
144.926,29.01
145.428,29.03
145.930,29.03
146.430,29.10
146.932,29.12
147.434,29.15
147.936,29.08
148.436,29.10
148.938,29.10
149.440,29.12
149.942,29.17
150.442,29.21
150.944,29.15
151.446,29.12
151.948,29.17
152.449,29.17
152.950,29.26
153.452,29.26
153.954,29.19
154.455,29.21
154.956,29.19
155.458,29.24
155.960,29.33
156.461,29.33
156.962,29.24
157.464,29.26
157.966,29.30
158.467,29.28
158.968,29.35
159.470,29.35
159.972,29.30
160.473,29.33
160.974,29.33
161.476,29.30
161.978,29.35
162.479,29.39
162.980,29.33
163.482,29.33
163.984,29.33
164.485,29.33
164.986,29.37
165.488,29.42
165.990,29.37
166.492,29.39
166.992,29.37
167.494,29.39
167.996,29.42
168.498,29.44
168.998,29.44
169.500,29.44
170.002,29.44
170.504,29.42
171.004,29.44
171.506,29.51
172.008,29.48
172.510,29.46
173.010,29.46
173.512,29.48
174.014,29.51
174.516,29.55
175.016,29.57
175.518,29.48
176.020,29.48
176.522,29.48
177.022,29.51
177.524,29.60
178.026,29.60
178.528,29.55
179.028,29.55
179.530,29.51
180.032,29.55
180.534,29.69
181.034,29.62
181.536,29.55
182.038,29.60
182.540,29.60
183.040,29.57
183.542,29.67
184.044,29.67
184.546,29.60
185.046,29.57
185.548,29.60
186.050,29.62
186.552,29.69
187.052,29.67
187.554,29.64
188.056,29.62
188.558,29.62
189.058,29.64
189.560,29.71
190.062,29.71
190.564,29.69
191.064,29.67
191.566,29.69
192.068,29.69
192.570,29.76
193.070,29.76
193.572,29.71
194.074,29.73
194.576,29.71
195.076,29.73
195.578,29.76
196.080,29.76
196.582,29.73
197.082,29.73
197.584,29.73
198.086,29.73
198.588,29.78
199.089,29.78
199.590,29.76
200.092,29.76
200.594,29.78
201.095,29.76
201.596,29.80
202.098,29.82
202.600,29.85
203.101,29.82
203.602,29.82
204.104,29.80
204.606,29.82
205.107,29.89
205.608,29.87
206.110,29.85
206.612,29.82
207.113,29.85
207.614,29.87
208.116,29.98
208.618,29.94
209.120,29.89
209.620,29.89
