temps_s,temperature_C
0.000,23.30
0.502,23.30
1.003,23.30
1.505,23.30
2.006,23.30
2.507,23.30
3.009,23.33
3.511,23.33
4.011,23.33
4.513,23.33
5.015,23.37
5.516,23.37
6.017,23.40
6.519,23.40
7.020,23.40
7.522,23.42
8.023,23.44
8.524,23.46
9.026,23.49
9.528,23.51
10.028,23.53
10.530,23.56
11.032,23.58
11.533,23.60
12.034,23.62
12.536,23.65
13.038,23.69
13.539,23.72
14.040,23.74
14.542,23.76
15.043,23.79
15.545,23.83
16.046,23.85
16.548,23.88
17.049,23.90
17.551,23.95
18.052,23.97
18.553,23.99
19.055,24.04
19.557,24.06
20.057,24.08
20.559,24.13
21.061,24.15
21.563,24.17
22.063,24.29
22.565,24.24
23.067,24.27
23.568,24.29
24.069,24.33
24.571,24.36
25.073,24.38
25.574,24.43
26.076,24.45
26.577,24.47
27.078,24.52
27.580,24.54
28.082,24.56
28.583,24.61
29.084,24.61
29.586,24.65
30.088,24.68
30.588,24.72
31.090,24.75
31.592,24.77
32.094,24.81
32.594,24.84
33.096,24.86
33.598,24.88
34.099,24.93
34.600,24.95
35.102,24.97
35.604,25.02
36.105,25.04
36.606,25.07
37.108,25.09
37.609,25.11
38.111,25.13
38.612,25.18
39.114,25.20
39.615,25.23
40.117,25.25
40.618,25.29
41.119,25.32
41.621,25.34
42.123,25.36
42.624,25.38
43.125,25.41
43.627,25.45
44.129,25.48
44.629,25.50
45.131,25.52
45.633,25.54
46.135,25.57
46.635,25.61
47.137,25.61
47.639,25.66
48.140,25.68
48.641,25.70
49.143,25.73
49.645,25.77
50.146,25.79
50.647,25.79
51.149,25.84
51.650,25.84
52.152,25.88
52.653,25.91
53.155,25.93
53.656,25.95
54.158,25.98
54.659,25.98
55.160,26.02
55.662,26.04
56.164,26.07
56.665,26.09
57.166,26.11
57.668,26.13
58.170,26.16
58.670,26.18
59.172,26.20
59.674,26.23
60.175,26.25
60.676,26.27
61.178,26.29
61.680,26.32
62.181,26.34
62.682,26.36
63.184,26.38
63.685,26.41
64.187,26.43
64.689,26.45
65.190,26.48
65.691,26.52
66.193,26.54
66.695,26.54
67.195,26.57
67.697,26.59
68.199,26.63
68.701,26.63
69.201,26.66
69.703,26.68
70.205,26.70
70.706,26.72
71.207,26.75
71.709,26.77
72.211,26.79
72.712,26.79
73.213,26.82
73.715,26.84
74.216,26.86
74.718,26.88
75.219,26.91
75.721,26.93
76.222,26.95
76.724,26.97
77.225,27.00
77.727,27.02
78.228,27.04
78.730,27.06
79.231,27.09
79.732,27.11
80.234,27.11
80.736,27.13
81.236,27.16
81.738,27.18
82.240,27.20
82.742,27.20
83.242,27.22
83.744,27.25
84.246,27.25
84.747,27.27
85.248,27.29
85.750,27.31
86.252,27.31
86.753,27.34
87.254,27.36
87.756,27.36
88.257,27.38
88.759,27.40
89.260,27.40
89.762,27.43
90.263,27.45
90.765,27.47
91.266,27.47
91.767,27.49
92.269,27.52
92.771,27.54
93.272,27.56
93.773,27.56
94.275,27.59
94.777,27.61
95.277,27.63
95.779,27.65
96.281,27.68
96.783,27.68
97.283,27.70
97.785,27.72
98.287,27.74
98.788,27.77
99.289,27.77
99.791,27.79
100.292,27.81
100.794,27.81
101.295,27.86
101.797,27.86
102.298,27.88
102.800,27.90
103.301,27.92
103.803,27.92
104.304,27.95
104.806,27.97
105.308,27.97
105.809,27.99
106.310,28.02
106.812,28.02
107.314,28.04
107.815,28.06
108.316,28.06
108.818,28.08
109.320,28.08
109.821,28.11
110.322,28.13
110.824,28.15
111.326,28.15
111.827,28.17
112.328,28.20
112.830,28.20
113.332,28.22
113.833,28.24
114.334,28.24
114.836,28.26
115.338,28.26
115.839,28.29
116.340,28.31
116.842,28.31
117.344,28.33
117.845,28.33
118.347,28.35
118.848,28.35
119.350,28.38
119.851,28.40
120.353,28.42
120.854,28.42
121.356,28.44
121.857,28.44
122.359,28.47
122.860,28.47
123.362,28.49
123.863,28.49
124.365,28.51
124.866,28.51
125.368,28.54
125.869,28.54
126.371,28.54
126.872,28.54
127.374,28.56
127.875,28.56
128.377,28.56
128.878,28.58
129.380,28.58
129.881,28.60
130.383,28.60
130.884,28.60
131.386,28.63
131.887,28.63
132.389,28.65
132.890,28.65
133.392,28.67
