Qty;Reference;Value;Description;Achat
5;analogA0-A7,analogA8-A15,comm1,power2,pwm2;Conn_01x08_Pin;Generic connector, single row, 01x08, script generated;
4;C16,C17,C18,C19;1 uF;Unpolarized capacitor;
1;D4;LED;Light emitting diode;
1;J1;Screw_Terminal_01x05;Generic screw terminal, single row, 01x05, script generated (kicad-library-utils/schlib/autogen/connector/);
3;J2,J3,J4;FCR7350R;;
1;pwm1;Conn_01x10_Pin;Generic connector, single row, 01x10, script generated;
1;R18;560;Resistor;
4;R1,R4,R6,R11;10K;Resistor;
4;R2,R8,R13,R15;2K;Resistor;
8;R3,R5,R7,R9,R10,R12,R14,R19;6.1K;Resistor;
4;RV1,RV2,RV3,RV4;R_Potentiometer_Trim;Trim-potentiometer;
4;TH1,TH2,TH3,TH4;Screw_Terminal_01x02;Temperature dependent resistor;
4;U1,U2,U3,U4;LMC6482;Dual CMOS Rail-to-Rail Input and Output Operational Amplifier, DIP-8/SOIC-8, SSOP-8;
