Temps (s),Consigne (°C),Erreur (°C),Thermistance 1 - T1 (°C),Thermistance 2 - T2 (°C),Thermistance 3 - T3 (°C),T4',Thermistance 3 estimée - T3_moy (°C),Commande (PWM),Voltage T1 (V),Voltage T2 (V),Voltage T3 (V)
1.2146506309509277,25.0,-5.1054,29.24,29.6,30.07,,30.11,-70.0,2.33,2.48,2.52
1.5073881149291992,25.0,-5.1052,29.19,29.57,30.07,,30.11,-47.03,2.32,2.48,2.52
2.013951301574707,25.0,-5.1046,29.15,29.54,30.04,,30.1,-46.86,2.32,2.47,2.51
2.515049695968628,25.0,-5.1035,29.06,29.51,30.0,,30.1,-46.66,2.31,2.47,2.51
3.0148706436157227,25.0,-5.102,28.88,29.51,30.0,,30.1,-46.44,2.29,2.47,2.51
3.516545057296753,25.0,-5.1,28.7,29.48,29.97,,30.1,-46.16,2.27,2.46,2.51
4.017034292221069,25.0,-5.0971,28.43,29.44,29.97,,30.1,-45.7,2.24,2.46,2.5
4.518315076828003,25.0,-5.0935,28.21,29.44,29.93,,30.09,-45.31,2.21,2.46,2.5
5.016529083251953,25.0,-5.0892,27.94,29.41,29.93,,30.09,-44.91,2.18,2.45,2.5
5.522926092147827,25.0,-5.0841,27.71,29.38,29.9,,30.08,-44.41,2.16,2.45,2.49
6.023944616317749,25.0,-5.0784,27.49,29.38,29.9,,30.08,-44.05,2.14,2.44,2.49
6.5248918533325195,25.0,-5.0719,27.22,29.35,29.86,,30.07,-43.65,2.11,2.44,2.49
7.026129484176636,25.0,-5.0647,27.04,29.32,29.86,,30.06,-43.18,2.08,2.44,2.49
7.52826189994812,25.0,-5.0568,26.82,29.28,29.83,,30.06,-42.75,2.06,2.43,2.48
8.024566173553467,25.0,-5.0482,26.6,29.25,29.83,,30.05,-42.28,2.04,2.42,2.48
8.528691053390503,25.0,-5.0387,26.42,29.19,29.79,,30.04,-41.75,2.02,2.42,2.48
9.031075239181519,25.0,-5.0284,26.24,29.16,29.79,,30.03,-41.25,1.99,2.41,2.48
9.530977487564087,25.0,-5.0175,26.01,29.12,29.76,,30.02,-40.82,1.97,2.41,2.47
10.031286716461182,25.0,-5.006,25.83,29.09,29.76,,30.01,-40.38,1.96,2.4,2.47
10.532264471054077,25.0,-4.9939,25.7,29.06,29.73,,29.99,-40.02,1.94,2.4,2.47
11.032586336135864,25.0,-4.9811,25.52,29.0,29.73,,29.98,-39.55,1.93,2.39,2.47
11.538349390029907,25.0,-4.9673,25.39,28.9,29.69,,29.97,-38.9,1.91,2.39,2.46
12.03181505203247,25.0,-4.9531,25.25,28.93,29.69,,29.95,-38.57,1.89,2.38,2.46
12.537587642669678,25.0,-4.9388,25.12,28.9,29.66,,29.94,-38.43,1.88,2.38,2.46
13.045024871826172,25.0,-4.9238,24.98,28.84,29.66,,29.92,-38.0,1.86,2.37,2.46
13.538644552230835,25.0,-4.9083,24.89,28.8,29.62,,29.91,-37.6,1.85,2.36,2.45
14.047015905380249,25.0,-4.8923,24.76,28.74,29.62,,29.89,-37.21,1.83,2.35,2.45
14.549047946929932,25.0,-4.8757,24.63,28.71,29.59,,29.88,-36.78,1.82,2.35,2.45
15.047892332077026,25.0,-4.8587,24.54,28.64,29.59,,29.86,-36.38,1.81,2.34,2.45
