Temps (s),Consigne (°C),Erreur (°C),Thermistance 1 - T1 (°C),Thermistance 2 - T2 (°C),Thermistance 3 - T3 (°C),T4',Thermistance 3 estimée - T3_moy (°C),Commande (PWM),Voltage T1 (V),Voltage T2 (V),Voltage T3 (V)
1.220919132232666,30.0,5.1802,24.31,24.63,24.82,,24.82,70.0,1.79,1.73,1.78
1.5075807571411133,30.0,5.1803,24.31,24.63,24.82,,24.82,47.92,1.79,1.73,1.78
2.011876106262207,30.0,5.1804,24.36,24.63,24.82,,24.82,47.98,1.79,1.73,1.78
2.510883331298828,30.0,5.1802,24.49,24.63,24.82,,24.82,47.93,1.81,1.73,1.78
3.012563943862915,30.0,5.1796,24.72,24.63,24.82,,24.82,47.75,1.83,1.73,1.78
3.5153932571411133,30.0,5.1784,25.03,24.63,24.82,,24.82,47.41,1.87,1.73,1.78
4.016479253768921,30.0,5.1763,25.39,24.63,24.82,,24.82,46.97,1.91,1.73,1.78
4.51612401008606,30.0,5.1734,25.74,24.63,24.82,,24.83,46.49,1.95,1.73,1.78
5.015603303909302,30.0,5.1697,26.1,24.63,24.82,,24.83,46.0,1.99,1.73,1.78
5.530971050262451,30.0,5.165,26.51,24.63,24.82,,24.83,45.47,2.03,1.73,1.78
6.019131660461426,30.0,5.1594,26.91,24.63,24.82,,24.84,44.91,2.07,1.73,1.78
6.516279220581055,30.0,5.1529,27.27,24.63,24.82,,24.85,44.38,2.11,1.73,1.77
7.022950887680054,30.0,5.1455,27.58,24.67,24.78,,24.85,43.81,2.15,1.74,1.77
7.531710386276245,30.0,5.1372,27.94,24.67,24.78,,24.86,43.24,2.18,1.74,1.77
8.027951717376709,30.0,5.128,28.21,24.7,24.78,,24.87,42.71,2.22,1.74,1.77
8.512987852096558,30.0,5.118,28.52,24.73,24.78,,24.88,42.11,2.25,1.74,1.77
9.029180526733398,30.0,5.1071,28.79,24.73,24.78,,24.89,41.61,2.28,1.74,1.77
9.53297209739685,30.0,5.0955,29.06,24.76,24.78,,24.9,41.14,2.31,1.75,1.77
10.030423879623413,30.0,5.0831,29.28,24.8,24.78,,24.92,40.6,2.33,1.75,1.77
10.532145977020264,30.0,5.0699,29.5,24.86,24.78,,24.93,40.0,2.36,1.76,1.77
11.029855251312256,30.0,5.0559,29.73,24.86,24.78,,24.94,39.5,2.38,1.77,1.77
11.525641918182373,30.0,5.0412,29.95,24.93,24.78,,24.96,39.0,2.4,1.77,1.77
12.028281450271606,30.0,5.0257,30.13,24.96,24.78,,24.97,38.43,2.42,1.78,1.77
12.538273096084595,30.0,5.0095,30.31,25.03,24.78,,24.99,37.9,2.44,1.79,1.77
13.044877290725708,30.0,4.9925,30.49,25.06,24.78,,25.01,37.37,2.46,1.79,1.77
13.54083251953125,30.0,4.975,30.67,25.09,24.78,,25.03,36.94,2.48,1.8,1.77
14.044219970703125,30.0,4.9568,30.8,25.16,24.78,,25.04,36.44,2.5,1.81,1.77
14.54718828201294,30.0,4.938,30.94,25.19,24.78,,25.06,35.98,2.51,1.81,1.77
15.046391010284424,30.0,4.9187,31.07,25.25,24.78,,25.08,35.52,2.53,1.82,1.77
15.547117948532104,30.0,4.8986,31.2,25.32,24.78,,25.1,34.96,2.54,1.83,1.77
16.044321060180664,30.0,4.8779,31.29,25.38,24.78,,25.12,34.44,2.55,1.84,1.77
16.550342321395874,30.0,4.8567,31.43,25.42,24.78,,25.14,34.02,2.57,1.85,1.77
17.05141854286194,30.0,4.835,31.52,25.48,24.78,,25.16,33.6,2.58,1.86,1.78
17.552644968032837,30.0,4.8127,31.61,25.55,24.82,,25.19,33.11,2.59,1.87,1.78
18.06086826324463,30.0,4.7901,31.7,25.58,24.82,,25.21,32.73,2.6,1.87,1.78
18.55989909172058,30.0,4.767,31.79,25.64,24.82,,25.23,32.34,2.61,1.88,1.78
