Temps (s),Consigne (°C),Erreur (°C),Thermistance 1 - T1 (°C),Thermistance 2 - T2 (°C),Thermistance 3 - T3 (°C),T4',Thermistance 3 estimée - T3_moy (°C),Commande (PWM),Voltage T1 (V),Voltage T2 (V),Voltage T3 (V)
1.233147382736206,16.0,-8.6794,24.18,24.54,24.68,,24.68,-70.0,1.77,1.71,1.76
1.5167856216430664,16.0,-8.6796,24.18,24.5,24.68,,24.68,-70.0,1.77,1.71,1.76
2.0155832767486572,16.0,-8.6795,24.13,24.5,24.68,,24.68,-70.0,1.77,1.71,1.76
2.52162504196167,16.0,-8.6793,24.04,24.5,24.68,,24.68,-70.0,1.76,1.71,1.76
3.0213959217071533,16.0,-8.6788,23.87,24.5,24.68,,24.68,-70.0,1.74,1.71,1.76
3.5227324962615967,16.0,-8.6778,23.69,24.5,24.68,,24.68,-70.0,1.72,1.71,1.76
4.023031949996948,16.0,-8.6763,23.42,24.5,24.68,,24.68,-70.0,1.69,1.71,1.76
4.525574684143066,16.0,-8.6741,23.15,24.5,24.68,,24.67,-70.0,1.66,1.71,1.76
5.025164365768433,16.0,-8.6712,22.88,24.47,24.68,,24.67,-70.0,1.63,1.71,1.76
5.5260350704193115,16.0,-8.6674,22.57,24.47,24.68,,24.67,-70.0,1.6,1.71,1.76
6.029701232910156,16.0,-8.6629,22.3,24.47,24.64,,24.66,-70.0,1.57,1.71,1.75
6.535447597503662,16.0,-8.6579,22.03,24.47,24.64,,24.66,-70.0,1.54,1.71,1.76
7.031805753707886,16.0,-8.652,21.76,24.44,24.68,,24.65,-70.0,1.51,1.7,1.75
7.5356059074401855,16.0,-8.6454,21.49,24.44,24.68,,24.65,-70.0,1.48,1.7,1.75
8.034995794296265,16.0,-8.6382,21.27,24.4,24.64,,24.64,-70.0,1.46,1.7,1.75
8.53517460823059,16.0,-8.6303,21.05,24.4,24.64,,24.63,-70.0,1.43,1.7,1.75
9.047210454940796,16.0,-8.6217,20.82,24.37,24.64,,24.62,-70.0,1.41,1.69,1.75
9.536272287368774,16.0,-8.6125,20.64,24.34,24.64,,24.61,-70.0,1.39,1.69,1.75
10.044655799865723,16.0,-8.6025,20.42,24.31,24.64,,24.6,-70.0,1.36,1.68,1.75
10.541076421737671,16.0,-8.592,20.24,24.31,24.64,,24.59,-70.0,1.34,1.68,1.75
11.047367572784424,16.0,-8.581,20.02,24.27,24.64,,24.58,-70.0,1.32,1.67,1.75
11.545268058776855,16.0,-8.5693,19.88,24.24,24.64,,24.57,-70.0,1.3,1.67,1.75
12.048247337341309,16.0,-8.5571,19.7,24.21,24.64,,24.56,-70.0,1.29,1.67,1.75
12.54516339302063,16.0,-8.5441,19.52,24.14,24.64,,24.54,-70.0,1.27,1.66,1.75
13.047317266464233,16.0,-8.5304,19.39,24.11,24.64,,24.53,-70.0,1.25,1.65,1.75
13.548465967178345,16.0,-8.5161,19.17,24.08,24.64,,24.52,-70.0,1.23,1.65,1.75
14.0472412109375,16.0,-8.5012,19.03,24.04,24.64,,24.5,-70.0,1.22,1.64,1.75
14.542434692382812,16.0,-8.4857,18.9,23.98,24.61,,24.49,-70.0,1.2,1.63,1.75
15.055927276611328,16.0,-8.4695,18.76,23.95,24.61,,24.47,-70.0,1.18,1.63,1.75
15.557344436645508,16.0,-8.453,18.63,23.91,24.61,,24.45,-70.0,1.17,1.62,1.75
16.05779266357422,16.0,-8.4358,18.5,23.85,24.57,,24.44,-70.0,1.15,1.61,1.75
16.5610454082489,16.0,-8.418,18.36,23.82,24.57,,24.42,-70.0,1.14,1.6,1.74
17.0603084564209,16.0,-8.3997,18.27,23.75,24.57,,24.4,-70.0,1.12,1.6,1.74
17.561179637908936,16.0,-8.3809,18.14,23.72,24.57,,24.38,-70.0,1.11,1.59,1.74
18.0599148273468,16.0,-8.3616,18.0,23.65,24.54,,24.36,-70.0,1.1,1.58,1.74
18.565284490585327,16.0,-8.3415,17.87,23.59,24.54,,24.34,-70.0,1.09,1.57,1.74
19.067065000534058,16.0,-8.3209,17.73,23.55,24.54,,24.32,-70.0,1.08,1.57,1.74
19.56737470626831,16.0,-8.2998,17.69,23.49,24.54,,24.3,-70.0,1.07,1.56,1.74
20.068708419799805,16.0,-8.2783,17.56,23.45,24.5,,24.28,-70.0,1.05,1.55,1.74
20.570653200149536,16.0,-8.2564,17.47,23.39,24.5,,24.26,-70.0,1.04,1.54,1.74
21.071099519729614,16.0,-8.2339,17.38,23.32,24.5,,24.23,-70.0,1.03,1.53,1.73
21.573641538619995,16.0,-8.211,17.29,23.29,24.47,,24.21,-70.0,1.02,1.53,1.73
22.077405214309692,16.0,-8.1877,17.15,23.22,24.47,,24.19,-70.0,1.01,1.52,1.73
22.5754976272583,16.0,-8.1639,17.06,23.19,24.43,,24.16,-70.0,1.0,1.52,1.73
23.07636046409607,16.0,-8.1397,16.97,23.12,24.43,,24.14,-70.0,0.99,1.51,1.73
23.573374032974243,16.0,-8.115,16.88,23.06,24.4,,24.12,-70.0,0.98,1.5,1.72
24.073392391204834,16.0,-8.09,16.79,23.02,24.4,,24.09,-70.0,0.97,1.49,1.72
24.57196354866028,16.0,-8.0645,16.66,22.96,24.36,,24.06,-70.0,0.96,1.48,1.72
25.084450483322144,16.0,-8.0387,16.62,22.93,24.36,,24.04,-70.0,0.95,1.48,1.72
25.58555269241333,16.0,-8.0126,16.53,22.86,24.33,,24.01,-70.0,0.94,1.47,1.71
26.086973905563354,16.0,-7.986,16.44,22.79,24.29,,23.99,-70.0,0.93,1.46,1.71
26.587146043777466,16.0,-7.959,16.39,22.73,24.29,,23.96,-70.0,0.92,1.45,1.71
27.08891487121582,16.0,-7.9316,16.3,22.66,24.26,,23.93,-70.0,0.91,1.44,1.7
27.589502096176147,16.0,-7.9038,16.21,22.63,24.26,,23.9,-70.0,0.9,1.43,1.7
28.087265968322754,16.0,-7.8759,16.12,22.59,24.22,,23.88,-69.8,0.89,1.42,1.7
28.587373971939087,16.0,-7.8477,16.08,22.53,24.19,,23.85,-69.47,0.88,1.42,1.69
29.093936443328857,16.0,-7.8191,15.94,22.46,24.19,,23.82,-68.96,0.88,1.41,1.69
29.59692072868347,16.0,-7.7901,15.85,22.43,24.15,,23.79,-68.54,0.87,1.4,1.69
30.096999406814575,16.0,-7.7609,15.85,22.36,24.12,,23.76,-68.25,0.86,1.39,1.68
30.597003698349,16.0,-7.7315,15.77,22.33,24.08,,23.73,-67.97,0.86,1.39,1.68
31.098662853240967,16.0,-7.7019,15.68,22.26,24.08,,23.7,-67.59,0.85,1.38,1.68
31.586515188217163,16.0,-7.6719,15.68,22.2,24.05,,23.67,-67.18,0.84,1.37,1.67
32.08819103240967,16.0,-7.6418,15.63,22.16,24.01,,23.64,-66.94,0.84,1.36,1.67
32.60437273979187,16.0,-7.6115,15.54,22.1,23.98,,23.61,-66.61,0.83,1.35,1.66
33.10771703720093,16.0,-7.581,15.5,22.06,23.98,,23.58,-66.29,0.83,1.35,1.66
33.60519361495972,16.0,-7.5503,15.45,22.0,23.9,,23.55,-66.0,0.82,1.34,1.66
34.107529401779175,16.0,-7.5193,15.41,21.93,23.9,,23.52,-65.59,0.82,1.33,1.65
34.605353593826294,16.0,-7.4881,15.32,21.9,23.87,,23.49,-65.26,0.81,1.32,1.65
35.12167763710022,16.0,-7.4568,15.27,21.83,23.83,,23.46,-64.94,0.8,1.3,1.64
35.61100244522095,16.0,-7.4251,15.27,21.76,23.8,,23.43,-64.58,0.79,1.31,1.64
36.11305117607117,16.0,-7.3934,15.18,21.73,23.76,,23.39,-64.3,0.79,1.3,1.63
36.61260199546814,16.0,-7.3614,15.09,21.66,23.73,,23.36,-63.93,0.78,1.29,1.63
