Temps (s),Consigne (°C),Erreur (°C),Thermistance 1 - T1 (°C),Thermistance 2 - T2 (°C),Thermistance 3 - T3 (°C),T4',Thermistance 3 estimée - T3_moy (°C),Commande (PWM),Voltage T1 (V),Voltage T2 (V),Voltage T3 (V)
1.2795746326446533,30,0.0,22.84,23.16,23.2,,23.2,-10.0,1.63,1.51,1.55
1.5507545471191406,30,0.0,22.84,23.16,23.2,,23.2,-10.0,1.63,1.51,1.55
2.018061876296997,30,0.0,22.84,23.16,23.2,,23.2,-10.0,1.63,1.51,1.55
2.5232346057891846,30,0.0,22.84,23.16,23.2,,23.2,-10.0,1.63,1.51,1.55
3.0332324504852295,30,0.0,22.79,23.16,23.2,,23.2,-10.0,1.62,1.51,1.55
3.5306060314178467,30,0.0,22.75,23.16,23.2,,23.2,-10.0,1.62,1.51,1.55
4.03126859664917,30,0.0,22.7,23.16,23.2,,23.2,-10.0,1.61,1.51,1.55
4.532274484634399,30,0.0,22.66,23.16,23.2,,23.2,-10.0,1.6,1.51,1.55
5.031383037567139,30,0.0,22.57,23.16,23.2,,23.2,-10.0,1.6,1.51,1.55
5.531392812728882,30,0.0,22.52,23.16,23.2,,23.2,-10.0,1.59,1.51,1.55
6.031890392303467,30,0.0,22.43,23.16,23.2,,23.2,-10.0,1.58,1.51,1.55
6.533257722854614,30,0.0,22.39,23.16,23.2,,23.2,-10.0,1.58,1.51,1.55
7.049269437789917,30,0.0,22.34,23.16,23.2,,23.2,-10.0,1.57,1.51,1.55
7.547663688659668,30,0.0,22.3,23.16,23.2,,23.2,-10.0,1.57,1.51,1.55
8.046274900436401,30,0.0,22.21,23.16,23.2,,23.2,-10.0,1.56,1.51,1.55
8.547180891036987,30,0.0,22.16,23.12,23.2,,23.2,-10.0,1.55,1.51,1.55
9.046384334564209,30,0.0,22.12,23.16,23.2,,23.2,-10.0,1.55,1.51,1.55
9.546669006347656,30,0.0,22.08,23.12,23.2,,23.2,-10.0,1.54,1.51,1.55
10.044605493545532,30,0.0,22.03,23.12,23.23,,23.23,-10.0,1.54,1.51,1.55
10.5466628074646,30,0.0,21.99,23.12,23.2,,23.2,-10.0,1.53,1.51,1.55
11.046807527542114,30,0.0,21.94,23.12,23.2,,23.2,-10.0,1.53,1.51,1.55
11.546908617019653,30,0.0,21.9,23.12,23.2,,23.2,-10.0,1.52,1.51,1.55
12.046483755111694,30,0.0,21.85,23.09,23.2,,23.2,-10.0,1.52,1.5,1.55
12.54569149017334,30,0.0,21.81,23.09,23.2,,23.2,-10.0,1.52,1.5,1.55
13.060796022415161,30,0.0,21.81,23.09,23.2,,23.2,-10.0,1.52,1.5,1.55
13.5568265914917,30,0.0,21.76,23.06,23.2,,23.2,-10.0,1.51,1.5,1.55
14.060400247573853,30,0.0,21.72,23.06,23.2,,23.2,-10.0,1.51,1.5,1.55
14.56640362739563,30,0.0,21.67,23.06,23.2,,23.2,-10.0,1.5,1.5,1.55
15.061671257019043,30,0.0,21.63,23.06,23.23,,23.23,-10.0,1.5,1.5,1.56
15.56273865699768,30,0.0,21.63,23.02,23.2,,23.2,-10.0,1.5,1.49,1.55
16.061527967453003,30,0.0,21.58,23.02,23.2,,23.2,-10.0,1.49,1.49,1.55
16.560843229293823,30,0.0,21.54,23.02,23.2,,23.2,-10.0,1.49,1.49,1.55
17.0610032081604,30,0.0,21.54,22.99,23.2,,23.2,-10.0,1.49,1.49,1.55
17.561020135879517,30,0.0,21.49,22.99,23.2,,23.2,-10.0,1.48,1.49,1.55
18.078665733337402,30,0.0,21.49,22.99,23.2,,23.2,-10.0,1.48,1.49,1.55
18.577314853668213,30,0.0,21.45,22.96,23.2,,23.2,-10.0,1.48,1.49,1.55
19.07602596282959,30,0.0,21.4,22.96,23.2,,23.2,-10.0,1.47,1.48,1.55
19.576310634613037,30,0.0,21.4,22.96,23.2,,23.2,-10.0,1.47,1.48,1.55
20.077728033065796,30,0.0,21.36,22.93,23.2,,23.2,-10.0,1.47,1.48,1.55
20.57664179801941,30,0.0,21.36,22.93,23.2,,23.2,-10.0,1.47,1.48,1.55
21.07402276992798,30,0.0,21.31,22.93,23.2,,23.2,-10.0,1.46,1.48,1.55
21.577608346939087,30,0.0,21.31,22.93,23.2,,23.2,-10.0,1.46,1.48,1.55
22.07502007484436,30,0.0,21.27,22.89,23.2,,23.2,-10.0,1.46,1.47,1.55
22.574451446533203,30,0.0,21.22,22.89,23.2,,23.2,-10.0,1.46,1.47,1.55
23.074646711349487,30,0.0,21.22,22.86,23.2,,23.2,-10.0,1.45,1.47,1.55
23.575562715530396,30,0.0,21.18,22.86,23.2,,23.2,-10.0,1.45,1.47,1.55
24.091371059417725,30,0.0,21.18,22.86,23.16,,23.16,-10.0,1.45,1.47,1.55
24.59131383895874,30,0.0,21.18,22.86,23.16,,23.16,-10.0,1.45,1.47,1.55
25.09038519859314,30,0.0,21.14,22.83,23.16,,23.16,-10.0,1.44,1.46,1.55
25.590505599975586,30,0.0,21.14,22.83,23.16,,23.16,-10.0,1.44,1.46,1.55
26.088940382003784,30,0.0,21.09,22.79,23.16,,23.16,-10.0,1.44,1.46,1.55
26.590355396270752,30,0.0,21.09,22.79,23.16,,23.16,-10.0,1.44,1.46,1.55
27.088079690933228,30,0.0,21.09,22.79,23.16,,23.16,-10.0,1.43,1.46,1.55
27.589385986328125,30,0.0,21.05,22.79,23.13,,23.13,-10.0,1.43,1.45,1.55
28.09127163887024,30,0.0,21.05,22.76,23.16,,23.16,-10.0,1.43,1.45,1.54
28.593788146972656,30,0.0,21.0,22.76,23.13,,23.13,-10.0,1.43,1.45,1.54
29.105974674224854,30,0.0,21.0,22.73,23.13,,23.13,-10.0,1.43,1.45,1.54
29.605836391448975,30,0.0,20.96,22.73,23.13,,23.13,-10.0,1.42,1.45,1.54
30.10585069656372,30,0.0,20.96,22.73,23.13,,23.13,-10.0,1.42,1.45,1.54
30.605425357818604,30,0.0,20.96,22.69,23.13,,23.13,-10.0,1.42,1.44,1.54
31.104156494140625,30,0.0,20.91,22.69,23.13,,23.13,-10.0,1.42,1.44,1.54
31.605809450149536,30,0.0,20.91,22.69,23.09,,23.09,-10.0,1.42,1.44,1.54
32.10298013687134,30,0.0,20.91,22.66,23.09,,23.09,-10.0,1.42,1.44,1.54
32.60545253753662,30,0.0,20.87,22.66,23.09,,23.09,-10.0,1.41,1.44,1.54
33.103132247924805,30,0.0,20.87,22.66,23.09,,23.09,-10.0,1.41,1.43,1.54
33.60427451133728,30,0.0,20.82,22.63,23.09,,23.09,-10.0,1.41,1.43,1.54
34.104716777801514,30,0.0,20.82,22.63,23.09,,23.09,-10.0,1.41,1.43,1.53
34.60506749153137,30,0.0,20.82,22.59,23.06,,23.06,-10.0,1.41,1.43,1.53
35.120503187179565,30,0.0,20.82,22.59,23.06,,23.06,-10.0,1.41,1.43,1.53
35.61899256706238,30,0.0,20.78,22.59,23.06,,23.06,-10.0,1.4,1.43,1.53
36.12137508392334,30,0.0,20.78,22.56,23.06,,23.06,-10.0,1.4,1.42,1.53
36.620258808135986,30,0.0,20.73,22.56,23.06,,23.06,-10.0,1.4,1.42,1.53
37.118505001068115,30,0.0,20.73,22.56,23.02,,23.02,-10.0,1.4,1.42,1.53
37.62224745750427,30,0.0,20.73,22.56,23.02,,23.02,-10.0,1.4,1.42,1.53
38.12422823905945,30,0.0,20.69,22.53,23.02,,23.02,-10.0,1.39,1.42,1.53
38.620256662368774,30,0.0,20.69,22.53,23.02,,23.02,-10.0,1.39,1.42,1.53
39.12123417854309,30,0.0,20.69,22.5,23.02,,23.02,-10.0,1.39,1.41,1.53
39.618738889694214,30,0.0,20.64,22.5,23.02,,23.02,-10.0,1.39,1.41,1.53
40.120004415512085,30,0.0,20.64,22.5,23.02,,23.02,-10.0,1.39,1.41,1.52
40.63714575767517,30,0.0,20.64,22.46,22.98,,22.98,-10.0,1.39,1.41,1.52
41.13456988334656,30,0.0,20.64,22.46,22.98,,22.98,-10.0,1.39,1.41,1.52
41.63323354721069,30,0.0,20.64,22.46,22.98,,22.98,-10.0,1.38,1.41,1.52
42.13361620903015,30,0.0,20.6,22.46,22.98,,22.98,-10.0,1.38,1.41,1.52
42.63303470611572,30,0.0,20.6,22.43,22.95,,22.95,-10.0,1.38,1.41,1.52
43.13581705093384,30,0.0,20.6,22.43,22.95,,22.95,-10.0,1.38,1.4,1.52
43.63378977775574,30,0.0,20.55,22.43,22.95,,22.95,-10.0,1.38,1.4,1.52
44.14174509048462,30,0.0,20.55,22.4,22.95,,22.95,-10.0,1.38,1.4,1.52
44.63093304634094,30,0.0,20.55,22.4,22.91,,22.91,-10.0,1.38,1.4,1.52
45.13755512237549,30,0.0,20.55,22.4,22.91,,22.91,-10.0,1.38,1.4,1.52
45.64777135848999,30,0.0,20.55,22.4,22.91,,22.91,-10.0,1.37,1.39,1.52
46.15005683898926,30,0.0,20.51,22.36,22.91,,22.91,-10.0,1.38,1.39,1.52
46.64987254142761,30,0.0,20.51,22.36,22.91,,22.91,-10.0,1.37,1.39,1.52
47.15142512321472,30,0.0,20.51,22.36,22.88,,22.88,-10.0,1.37,1.39,1.52
47.65144419670105,30,0.0,20.46,22.33,22.88,,22.88,-10.0,1.37,1.39,1.51
48.148181200027466,30,0.0,20.46,22.33,22.88,,22.88,-10.0,1.37,1.39,1.51
48.64825224876404,30,0.0,20.46,22.33,22.88,,22.88,-10.0,1.37,1.39,1.51
49.14740347862244,30,0.0,20.46,22.33,22.88,,22.88,-10.0,1.37,1.38,1.51
49.64823937416077,30,0.0,20.46,22.3,22.88,,22.88,-10.0,1.37,1.38,1.51
50.14952254295349,30,0.0,20.46,22.3,22.84,,22.84,-10.0,1.37,1.38,1.51
50.65668964385986,30,0.0,20.42,22.3,22.84,,22.84,-10.0,1.37,1.38,1.51
51.16071343421936,30,0.0,20.42,22.26,22.84,,22.84,-10.0,1.36,1.38,1.51
51.66234230995178,30,0.0,20.42,22.26,22.84,,22.84,-10.0,1.36,1.38,1.51
52.16705369949341,30,0.0,20.42,22.26,22.81,,22.81,-10.0,1.36,1.38,1.5
52.663973331451416,30,0.0,20.42,22.23,22.81,,22.81,-10.0,1.36,1.37,1.5
53.16430044174194,30,0.0,20.37,22.23,22.81,,22.81,-10.0,1.36,1.37,1.5
53.662314653396606,30,0.0,20.37,22.23,22.81,,22.81,-10.0,1.36,1.37,1.5
54.164480686187744,30,0.0,20.37,22.2,22.77,,22.77,-10.0,1.35,1.37,1.5
54.66331768035889,30,0.0,20.37,22.2,22.77,,22.77,-10.0,1.35,1.37,1.5
55.16270852088928,30,0.0,20.33,22.2,22.77,,22.77,-10.0,1.35,1.37,1.5
55.66503405570984,30,0.0,20.33,22.2,22.74,,22.74,-10.0,1.35,1.37,1.49
