Temps (s),Consigne (°C),Erreur (°C),Thermistance 1 - T1 (°C),Thermistance 2 - T2 (°C),Thermistance 3 - T3 (°C),T4',Thermistance 3 estimée - T3_moy (°C),Commande (PWM)
1.419390678,30,0,30,30.76,31.07,,31.07,-40
1.782710791,30,0,29.95,30.72,31.07,,31.07,-40
2.187305212,30,0,29.91,30.69,31.04,,31.04,-40
2.680952549,30,0,29.82,30.69,31.04,,31.04,-40
3.187266827,30,0,29.68,30.63,31,,31,-40
3.683554411,30,0,29.5,30.63,31,,31,-40
4.18409276,30,0,29.28,30.6,31,,31,-40
4.698567867,30,0,29.06,30.56,30.97,,30.97,-40
5.18713665,30,0,28.79,30.53,30.97,,30.97,-40
5.699432611,30,0,28.56,30.5,30.93,,30.93,-40
6.184338808,30,0,28.34,30.44,30.93,,30.93,-40
6.685913801,30,0,28.07,30.4,30.9,,30.9,-40
7.184309006,30,0,27.85,30.37,30.9,,30.9,-40
7.701253653,30,0,27.62,30.34,30.87,,30.87,-40
8.196315527,30,0,27.4,30.31,30.87,,30.87,-40
8.701837301,30,0,27.22,30.24,30.83,,30.83,-40
9.1983006,30,0,27,30.21,30.83,,30.83,-40
9.707478046,30,0,26.82,30.15,30.8,,30.8,-40
10.1918478,30,0,26.6,30.12,30.8,,30.8,-40
10.70904231,30,0,26.42,30.08,30.76,,30.76,-40
11.20041823,30,0,26.24,30.02,30.76,,30.76,-40
11.70740867,30,0,26.1,29.99,30.73,,30.73,-40
12.21995783,30,0,25.92,29.92,30.69,,30.69,-40
12.69530487,30,0,25.74,29.86,30.69,,30.69,-40
13.22158527,30,0,25.61,29.83,30.66,,30.66,-40
13.702461,30,0,25.43,29.76,30.66,,30.66,-40
14.21911001,30,0,25.3,29.7,30.62,,30.62,-40
14.71461916,30,0,25.12,29.64,30.59,,30.59,-40
15.22560024,30,0,25.03,29.57,30.59,,30.59,-40
15.71561384,30,0,24.85,29.51,30.55,,30.55,-40
16.21640348,30,0,24.72,29.44,30.55,,30.55,-40
16.71987224,30,0,24.58,29.38,30.52,,30.52,-40
17.22578573,30,0,24.49,29.32,30.49,,30.49,-40
17.71605444,30,0,24.36,29.28,30.49,,30.49,-40
18.21931553,30,0,24.22,29.22,30.45,,30.45,-40
18.73317099,30,0,24.13,29.16,30.42,,30.42,-40
19.22790694,30,0,24,29.09,30.38,,30.38,-40
19.73538208,30,0,23.87,29.03,30.35,,30.35,-40
20.22833562,30,0,23.78,28.96,30.35,,30.35,-40
20.73618221,30,0,23.64,28.9,30.31,,30.31,-40
21.23495054,30,0,23.55,28.84,30.28,,30.28,-40
21.73046494,30,0,23.46,28.77,30.24,,30.24,-40
22.23341584,30,0,23.33,28.71,30.21,,30.21,-40
22.73136401,30,0,23.24,28.64,30.17,,30.17,-40
23.23726082,30,0,23.15,28.58,30.14,,30.14,-40
23.73585272,30,0,23.02,28.51,30.11,,30.11,-40
24.23535085,30,0,22.93,28.45,30.07,,30.07,-40
24.75181222,30,0,22.84,28.39,30.04,,30.04,-40
25.22869349,30,0,22.75,28.32,30,,30,-40
25.74718356,30,0,22.66,28.26,29.93,,29.93,-40
26.2542882,30,0,22.57,28.19,29.9,,29.9,-40
26.74839211,30,0,22.48,28.13,29.86,,29.86,-40
27.25487351,30,0,22.39,28.03,29.83,,29.83,-40
27.74803567,30,0,22.3,27.97,29.79,,29.79,-40
28.2468462,30,0,22.21,27.9,29.76,,29.76,-40
28.74690413,30,0,22.12,27.84,29.69,,29.69,-40
29.25348163,30,0,22.03,27.81,29.66,,29.66,-40
29.74731159,30,0,21.94,27.71,29.62,,29.62,-40
30.25254607,30,0,21.9,27.65,29.59,,29.59,-40
30.76567435,30,0,21.81,27.61,29.52,,29.52,-40
31.25076962,30,0,21.72,27.55,29.48,,29.48,-40
31.75832486,30,0,21.63,27.49,29.45,,29.45,-40
32.26642346,30,0,21.54,27.42,29.41,,29.41,-40
32.76237607,30,0,21.49,27.36,29.34,,29.34,-40
33.26263118,30,0,21.4,27.29,29.31,,29.31,-40
33.77074218,30,0,21.31,27.23,29.28,,29.28,-40
34.26250386,30,0,21.27,27.16,29.24,,29.24,-40
34.76611066,30,0,21.18,27.1,29.17,,29.17,-40
35.26926875,30,0,21.14,27.07,29.14,,29.14,-40
35.78097725,30,0,21.05,27,29.1,,29.1,-40
36.27232099,30,0,21,26.94,29.03,,29.03,-40
36.76747203,30,0,20.91,26.87,29,,29,-40
37.26245332,30,0,20.87,26.81,28.96,,28.96,-40
37.78296542,30,0,20.82,26.74,28.89,,28.89,-40
38.27681303,30,0,20.73,26.68,28.86,,28.86,-40
38.7832768,30,0,20.64,26.65,28.79,,28.79,-40
39.27801609,30,0,20.6,26.58,28.76,,28.76,-40
39.78334713,30,0,20.51,26.52,28.69,,28.69,-40
40.29375243,30,0,20.46,26.45,28.65,,28.65,-40
40.78409266,30,0,20.42,26.39,28.62,,28.62,-40
41.27365541,30,0,20.33,26.36,28.55,,28.55,-40
41.78506184,30,0,20.29,26.29,28.51,,28.51,-40
42.29338455,30,0,20.2,26.23,28.48,,28.48,-40
42.78441882,30,0,20.15,26.16,28.41,,28.41,-40
43.29376173,30,0,20.11,26.1,28.38,,28.38,-40
43.78523493,30,0,20.02,26.03,28.34,,28.34,-40
44.29487419,30,0,19.97,26,28.27,,28.27,-40
44.78684735,30,0,19.88,25.93,28.2,,28.2,-40
45.29261947,30,0,19.88,25.87,28.17,,28.17,-40
45.80303979,30,0,19.79,25.84,28.13,,28.13,-40
46.29874134,30,0,19.75,25.77,28.06,,28.06,-40
46.79023695,30,0,19.7,25.71,28.03,,28.03,-40
47.30211258,30,0,19.66,25.64,27.96,,27.96,-40
47.81046081,30,0,19.57,25.61,27.92,,27.92,-40
48.30020452,30,0,19.52,25.55,27.89,,27.89,-40
48.80645204,30,0,19.48,25.48,27.82,,27.82,-40
49.31659389,30,0,19.43,25.45,27.79,,27.79,-40
49.79269624,30,0,19.39,25.38,27.72,,27.72,-40
50.31518769,30,0,19.3,25.32,27.68,,27.68,-40
50.8084681,30,0,19.26,25.29,27.61,,27.61,-40
51.3156805,30,0,19.21,25.22,27.58,,27.58,-40
51.81130624,30,0,19.17,25.16,27.54,,27.54,-40
52.31962061,30,0,19.12,25.12,27.47,,27.47,-40
52.80986595,30,0,19.03,25.06,27.44,,27.44,-40
53.31633854,30,0,18.99,24.99,27.37,,27.37,-40
53.81716037,30,0,18.94,24.93,27.33,,27.33,-40
54.32910061,30,0,18.9,24.89,27.26,,27.26,-40
54.82791257,30,0,18.85,24.83,27.23,,27.23,-40
55.31479859,30,0,18.81,24.76,27.16,,27.16,-40
55.82304144,30,0,18.76,24.73,27.13,,27.13,-40
56.33547258,30,0,18.72,24.67,27.06,,27.06,-40
56.8236413,30,0,18.67,24.63,27.02,,27.02,-40
57.32315159,30,0,18.63,24.57,26.95,,26.95,-40
57.82489276,30,0,18.58,24.54,26.92,,26.92,-40
58.33054686,30,0,18.54,24.47,26.85,,26.85,-40
58.83992982,30,0,18.5,24.44,26.81,,26.81,-40
59.33184147,30,0,18.45,24.37,26.74,,26.74,-40
59.84083986,30,0,18.41,24.34,26.71,,26.71,-40
60.3278904,30,0,18.36,24.27,26.64,,26.64,-40
60.84158707,30,0,18.32,24.21,26.6,,26.6,-40
61.33492398,30,0,18.27,24.18,26.53,,26.53,-40
61.84323335,30,0,18.23,24.14,26.5,,26.5,-40
62.34893703,30,0,18.18,24.04,26.46,,26.46,-40
62.84310246,30,0,18.14,24.04,26.39,,26.39,-40
63.33555031,30,0,18.09,23.98,26.36,,26.36,-40
63.84263659,30,0,18.05,23.91,26.29,,26.29,-40
64.33873153,30,0,18.05,23.88,26.22,,26.22,-40
64.84293699,30,0,18,23.85,26.22,,26.22,-40
65.34017301,30,0,17.96,23.78,26.12,,26.12,-40
65.84462595,30,0,17.91,23.72,26.08,,26.08,-40
66.33933711,30,0,17.87,23.68,26.05,,26.05,-40
66.84274006,30,0,17.82,23.65,26.01,,26.01,-40
67.36255717,30,0,17.78,23.62,25.94,,25.94,-40
67.84343266,30,0,17.73,23.55,25.91,,25.91,-40
68.35951138,30,0,17.69,23.49,25.84,,25.84,-40
68.85628176,30,0,17.64,23.45,25.8,,25.8,-40
69.3669405,30,0,17.64,23.42,25.73,,25.73,-40
