Temps (s),Consigne (°C),Erreur (°C),Thermistance 1 - T1 (°C),Thermistance 2 - T2 (°C),Thermistance 3 - T3 (°C),T4',Thermistance 3 estimée - T3_moy (°C),Commande (PWM)
1.4253973960876465,23.0,0.0,23.1,23.26,23.16,,23.16,10.0
1.7998096942901611,23.0,0.0,23.1,23.26,23.16,,23.16,10.0
2.171807050704956,23.0,0.0,23.1,23.22,23.16,,23.16,10.0
2.6783859729766846,23.0,0.0,23.1,23.26,23.16,,23.16,10.0
3.1796298027038574,23.0,0.0,23.15,23.26,23.16,,23.16,10.0
3.696636199951172,23.0,0.0,23.19,23.26,23.16,,23.16,10.0
4.184520483016968,23.0,0.0,23.28,23.26,23.16,,23.16,10.0
4.691791534423828,23.0,0.0,23.33,23.26,23.16,,23.16,10.0
5.196289777755737,23.0,0.0,23.42,23.26,23.16,,23.16,10.0
5.680015802383423,23.0,0.0,23.46,23.26,23.16,,23.16,10.0
6.192383050918579,23.0,0.0,23.55,23.26,23.16,,23.16,10.0
6.6795995235443115,23.0,0.0,23.6,23.26,23.2,,23.2,10.0
7.193338394165039,23.0,0.0,23.69,23.26,23.2,,23.2,10.0
7.6973557472229,23.0,0.0,23.73,23.26,23.2,,23.2,10.0
8.193094491958618,23.0,0.0,23.82,23.26,23.2,,23.2,10.0
8.694918632507324,23.0,0.0,23.87,23.29,23.2,,23.2,10.0
9.206011772155762,23.0,0.0,23.91,23.26,23.2,,23.2,10.0
9.696014642715454,23.0,0.0,24.0,23.29,23.2,,23.2,10.0
10.194835662841797,23.0,0.0,24.04,23.29,23.2,,23.2,10.0
10.710684776306152,23.0,0.0,24.04,23.29,23.2,,23.2,10.0
11.202329635620117,23.0,0.0,24.13,23.29,23.2,,23.2,10.0
11.713727712631226,23.0,0.0,24.18,23.32,23.23,,23.23,10.0
12.208184003829956,23.0,0.0,24.22,23.32,23.23,,23.23,10.0
12.71596884727478,23.0,0.0,24.27,23.32,23.23,,23.23,10.0
13.212501049041748,23.0,0.0,24.31,23.32,23.2,,23.2,10.0
13.700664281845093,23.0,0.0,24.36,23.35,23.23,,23.23,10.0
14.222055912017822,23.0,0.0,24.4,23.35,23.23,,23.23,10.0
14.703439474105835,23.0,0.0,24.45,23.39,23.23,,23.23,10.0
15.220753908157349,23.0,0.0,24.45,23.39,23.23,,23.23,10.0
15.725987195968628,23.0,0.0,24.49,23.39,23.23,,23.23,10.0
16.205434560775757,23.0,0.0,24.54,23.39,23.23,,23.23,10.0
16.721153020858765,23.0,0.0,24.58,23.42,23.23,,23.23,10.0
17.2220778465271,23.0,0.0,24.63,23.42,23.23,,23.23,10.0
17.712533473968506,23.0,0.0,24.63,23.45,23.27,,23.27,10.0
18.22423529624939,23.0,0.0,24.67,23.45,23.27,,23.27,10.0
18.730064630508423,23.0,0.0,24.72,23.45,23.27,,23.27,10.0
19.220101356506348,23.0,0.0,24.76,23.49,23.27,,23.27,10.0
19.713788509368896,23.0,0.0,24.76,23.49,23.27,,23.27,10.0
20.235368251800537,23.0,0.0,24.81,23.52,23.27,,23.27,10.0
20.720816612243652,23.0,0.0,24.81,23.52,23.27,,23.27,10.0
21.22040033340454,23.0,0.0,24.85,23.52,23.27,,23.27,10.0
21.73494267463684,23.0,0.0,24.89,23.55,23.27,,23.27,10.0
22.23929262161255,23.0,0.0,24.89,23.55,23.27,,23.27,10.0
22.743907690048218,23.0,0.0,24.94,23.59,23.27,,23.27,10.0
23.237906217575073,23.0,0.0,24.98,23.59,23.27,,23.27,10.0
23.735933780670166,23.0,0.0,24.98,23.59,23.3,,23.3,10.0
24.232752323150635,23.0,0.0,25.03,23.62,23.3,,23.3,10.0
24.736947536468506,23.0,0.0,25.03,23.62,23.3,,23.3,10.0
25.236295223236084,23.0,0.0,25.07,23.65,23.34,,23.34,10.0
25.755558490753174,23.0,0.0,25.12,23.65,23.34,,23.34,10.0
26.245332956314087,23.0,0.0,25.12,23.68,23.34,,23.34,10.0
26.751189470291138,23.0,0.0,25.16,23.68,23.34,,23.34,10.0
27.25621008872986,23.0,0.0,25.21,23.72,23.34,,23.34,10.0
27.749977827072144,23.0,0.0,25.21,23.72,23.34,,23.34,10.0
28.25054621696472,23.0,0.0,25.21,23.75,23.34,,23.34,10.0
28.751677989959717,23.0,0.0,25.25,23.75,23.37,,23.37,10.0
29.254282474517822,23.0,0.0,25.3,23.75,23.37,,23.37,10.0
29.754698514938354,23.0,0.0,25.3,23.78,23.37,,23.37,10.0
30.25370216369629,23.0,0.0,25.34,23.78,23.41,,23.41,10.0
30.754377365112305,23.0,0.0,25.34,23.82,23.37,,23.37,10.0
31.24616312980652,23.0,0.0,25.39,23.82,23.41,,23.41,10.0
31.76634907722473,23.0,0.0,25.39,23.85,23.41,,23.41,10.0
32.26922535896301,23.0,0.0,25.39,23.85,23.41,,23.41,10.0
32.753644704818726,23.0,0.0,25.43,23.85,23.45,,23.45,10.0
33.256574869155884,23.0,0.0,25.43,23.88,23.45,,23.45,10.0
33.75902986526489,23.0,0.0,25.48,23.88,23.45,,23.45,10.0
34.254613399505615,23.0,0.0,25.48,23.91,23.45,,23.45,10.0
34.76631712913513,23.0,0.0,25.52,23.91,23.45,,23.45,10.0
35.257073163986206,23.0,0.0,25.52,23.95,23.48,,23.48,10.0
35.75632882118225,23.0,0.0,25.52,23.95,23.48,,23.48,10.0
36.25976514816284,23.0,0.0,25.57,23.98,23.48,,23.48,10.0
