Temps (s),Consigne (°C),Erreur (°C),Thermistance 1 - T1 (°C),Thermistance 2 - T2 (°C),Thermistance 3 - T3 (°C),T4',Thermistance 3 estimée - T3_moy (°C),Commande (PWM),Voltage T1 (V),Voltage T2 (V),Voltage T3 (V)
1.302159070968628,30,0.0,23.95,24.24,24.26,,24.26,20.0,1.75,1.67,1.7
1.5992622375488281,30,0.0,23.95,24.24,24.26,,24.26,20.0,1.75,1.67,1.7
2.03356671333313,30,0.0,23.95,24.24,24.26,,24.26,20.0,1.75,1.67,1.7
2.532947063446045,30,0.0,24.0,24.24,24.26,,24.26,20.0,1.75,1.67,1.7
3.0337066650390625,30,0.0,24.04,24.24,24.26,,24.26,20.0,1.76,1.67,1.7
3.5371806621551514,30,0.0,24.13,24.24,24.26,,24.26,20.0,1.77,1.67,1.7
4.034797191619873,30,0.0,24.27,24.24,24.26,,24.26,20.0,1.78,1.67,1.7
4.532376050949097,30,0.0,24.4,24.24,24.26,,24.26,20.0,1.8,1.67,1.7
5.0291571617126465,30,0.0,24.54,24.24,24.26,,24.26,20.0,1.81,1.67,1.7
5.531151056289673,30,0.0,24.67,24.24,24.26,,24.26,20.0,1.83,1.67,1.7
6.034219980239868,30,0.0,24.81,24.21,24.26,,24.26,20.0,1.84,1.67,1.7
6.533146381378174,30,0.0,24.94,24.24,24.26,,24.26,20.0,1.86,1.67,1.7
7.034550428390503,30,0.0,25.07,24.21,24.26,,24.26,20.0,1.87,1.67,1.7
7.546373605728149,30,0.0,25.21,24.24,24.26,,24.26,20.0,1.89,1.67,1.7
8.050175905227661,30,0.0,25.34,24.24,24.26,,24.26,20.0,1.9,1.67,1.7
8.549022674560547,30,0.0,25.43,24.24,24.26,,24.26,20.0,1.91,1.67,1.7
9.049517154693604,30,0.0,25.57,24.24,24.26,,24.26,20.0,1.93,1.67,1.7
9.548997640609741,30,0.0,25.66,24.24,24.26,,24.26,20.0,1.94,1.67,1.7
10.04831051826477,30,0.0,25.79,24.27,24.26,,24.26,20.0,1.95,1.68,1.7
10.561360597610474,30,0.0,25.88,24.27,24.26,,24.26,20.0,1.96,1.68,1.7
11.047263622283936,30,0.0,25.97,24.27,24.26,,24.26,20.0,1.97,1.68,1.7
11.547615766525269,30,0.0,26.06,24.31,24.26,,24.26,20.0,1.98,1.68,1.7
12.049141645431519,30,0.0,26.15,24.31,24.26,,24.26,20.0,1.99,1.68,1.7
12.563607215881348,30,0.0,26.24,24.31,24.26,,24.26,20.0,2.0,1.69,1.7
13.079983472824097,30,0.0,26.33,24.34,24.26,,24.26,20.0,2.01,1.69,1.7
13.583380460739136,30,0.0,26.42,24.37,24.26,,24.26,20.0,2.02,1.69,1.7
14.064219236373901,30,0.0,26.46,24.37,24.26,,24.26,20.0,2.02,1.69,1.7
14.572607278823853,30,0.0,26.55,24.37,24.26,,24.26,20.0,2.03,1.7,1.7
15.066239595413208,30,0.0,26.64,24.4,24.26,,24.26,20.0,2.04,1.7,1.7
15.565438508987427,30,0.0,26.68,24.44,24.26,,24.26,20.0,2.05,1.7,1.7
16.06102156639099,30,0.0,26.77,24.44,24.26,,24.26,20.0,2.06,1.7,1.7
16.561673641204834,30,0.0,26.82,24.47,24.26,,24.26,20.0,2.06,1.71,1.7
17.066259145736694,30,0.0,26.91,24.5,24.26,,24.26,20.0,2.07,1.71,1.7
17.56021499633789,30,0.0,26.95,24.5,24.26,,24.26,20.0,2.08,1.71,1.7
18.06209444999695,30,0.0,27.04,24.54,24.26,,24.26,20.0,2.09,1.72,1.7
18.578526973724365,30,0.0,27.09,24.57,24.26,,24.26,20.0,2.09,1.72,1.7
19.07606840133667,30,0.0,27.18,24.57,24.26,,24.26,20.0,2.1,1.72,1.7
19.57032585144043,30,0.0,27.22,24.6,24.29,,24.29,20.0,2.11,1.73,1.71
20.077038764953613,30,0.0,27.27,24.63,24.29,,24.29,20.0,2.11,1.73,1.7
20.5761501789093,30,0.0,27.36,24.63,24.29,,24.29,20.0,2.12,1.73,1.71
21.081161737442017,30,0.0,27.4,24.67,24.29,,24.29,20.0,2.13,1.74,1.71
21.578433513641357,30,0.0,27.45,24.7,24.29,,24.29,20.0,2.13,1.74,1.71
22.07852864265442,30,0.0,27.49,24.73,24.29,,24.29,20.0,2.14,1.74,1.71
22.574345111846924,30,0.0,27.58,24.76,24.29,,24.29,20.0,2.14,1.75,1.71
23.093783140182495,30,0.0,27.62,24.76,24.29,,24.29,20.0,2.15,1.75,1.71
23.59173274040222,30,0.0,27.67,24.8,24.29,,24.29,20.0,2.16,1.75,1.71
24.106479167938232,30,0.0,27.71,24.83,24.33,,24.33,20.0,2.16,1.76,1.71
24.61181354522705,30,0.0,27.76,24.83,24.33,,24.33,20.0,2.17,1.76,1.71
25.144288063049316,30,0.0,27.8,24.89,24.33,,24.33,20.0,2.17,1.76,1.71
25.59327530860901,30,0.0,27.85,24.89,24.33,,24.33,20.0,2.17,1.77,1.71
26.09518051147461,30,0.0,27.89,24.93,24.36,,24.36,20.0,2.18,1.77,1.72
26.58202338218689,30,0.0,27.94,24.96,24.36,,24.36,20.0,2.18,1.78,1.72
27.093933582305908,30,0.0,27.98,24.99,24.36,,24.36,20.0,2.19,1.78,1.72
27.59248638153076,30,0.0,28.03,24.99,24.36,,24.36,20.0,2.19,1.78,1.72
28.088704109191895,30,0.0,28.07,25.06,24.4,,24.4,20.0,2.2,1.79,1.72
28.60926079750061,30,0.0,28.12,25.06,24.4,,24.4,20.0,2.2,1.79,1.72
