Temps (s),Consigne (°C),Erreur (°C),Thermistance 1 - T1 (°C),Thermistance 2 - T2 (°C),Thermistance 3 - T3 (°C),T4',Thermistance 3 estimée - T3_moy (°C),Commande (PWM),R1,R,R3
1.4244310855865479,20.0,0.0,27.71,28.0,28.65,,28.65,10.0,8633.74,8753.53,8605.57
1.8940017223358154,20.0,0.0,27.67,27.97,28.62,,28.62,10.0,8651.45,8753.53,8617.69
2.3634226322174072,20.0,0.0,27.62,27.97,28.62,,28.62,10.0,8669.2,8765.91,8617.69
2.833237409591675,20.0,0.0,27.62,27.97,28.58,,28.58,10.0,8669.2,8765.91,8629.83
3.3010170459747314,20.0,0.0,27.62,27.94,28.55,,28.55,10.0,8669.2,8778.3,8641.99
3.7686092853546143,20.0,0.0,27.62,27.94,28.51,,28.51,10.0,8669.2,8778.3,8654.17
4.252737045288086,20.0,0.0,27.67,27.9,28.51,,28.51,10.0,8651.45,8790.71,8654.17
4.719820022583008,20.0,0.0,27.71,27.87,28.48,,28.48,10.0,8633.74,8790.71,8666.37
5.20308780670166,20.0,0.0,27.71,27.87,28.44,,28.44,10.0,8616.08,8803.15,8678.59
5.701639175415039,20.0,0.0,27.76,27.87,28.44,,28.44,10.0,8616.08,8803.15,8678.59
6.20066499710083,20.0,0.0,27.8,27.84,28.41,,28.41,10.0,8598.47,8815.61,8690.83
6.7029054164886475,20.0,0.0,27.85,27.84,28.38,,28.38,10.0,8580.89,8815.61,8690.83
7.198902606964111,20.0,0.0,27.89,27.81,28.38,,28.38,10.0,8563.36,8828.09,8703.1
7.71299147605896,20.0,0.0,27.94,27.81,28.34,,28.34,10.0,8545.88,8828.09,8715.39
8.20863127708435,20.0,0.0,27.94,27.81,28.34,,28.34,10.0,8545.88,8828.09,8715.39
8.706979036331177,20.0,0.0,28.03,27.78,28.31,,28.31,10.0,8528.43,8840.59,8727.69
9.212032318115234,20.0,0.0,28.03,27.78,28.31,,28.31,10.0,8511.03,8840.59,8727.69
9.709892511367798,20.0,0.0,28.07,27.78,28.27,,28.27,10.0,8493.67,8840.59,8740.02
10.211074113845825,20.0,0.0,28.12,27.74,28.24,,28.24,10.0,8476.36,8853.12,8740.02
10.706666231155396,20.0,0.0,28.12,27.74,28.24,,28.24,10.0,8476.36,8853.12,8752.37
11.219624280929565,20.0,0.0,28.16,27.74,28.2,,28.2,10.0,8459.09,8853.12,8764.74
11.721084356307983,20.0,0.0,28.21,27.74,28.2,,28.2,10.0,8441.86,8853.12,8764.74
12.220070838928223,20.0,0.0,28.21,27.71,28.17,,28.17,10.0,8441.86,8865.66,8777.13
12.72014045715332,20.0,0.0,28.25,27.71,28.17,,28.17,10.0,8424.67,8865.66,8777.13
13.218707799911499,20.0,0.0,28.25,27.71,28.13,,28.13,10.0,8424.67,8865.66,8789.55
13.71700644493103,20.0,0.0,28.3,27.71,28.13,,28.13,10.0,8407.52,8865.66,8789.55
14.21706223487854,20.0,0.0,28.3,27.71,28.1,,28.1,10.0,8407.52,8865.66,8801.98
14.717076063156128,20.0,0.0,28.34,27.71,28.1,,28.1,10.0,8390.42,8865.66,8801.98
15.23253345489502,20.0,0.0,28.34,27.71,28.06,,28.06,10.0,8390.42,8865.66,8814.44
15.731460809707642,20.0,0.0,28.39,27.68,28.06,,28.06,10.0,8373.36,8878.23,8814.44
16.228602647781372,20.0,0.0,28.39,27.68,28.06,,28.06,10.0,8373.36,8878.23,8814.44
16.72690176963806,20.0,0.0,28.43,27.68,28.03,,28.03,10.0,8356.34,8878.23,8826.92
17.220988512039185,20.0,0.0,28.43,27.68,28.03,,28.03,10.0,8356.34,8878.23,8826.92
17.725841283798218,20.0,0.0,28.43,27.68,27.99,,27.99,10.0,8356.34,8878.23,8839.42
18.23918056488037,20.0,0.0,28.47,27.68,27.99,,27.99,10.0,8339.36,8878.23,8839.42
18.740560293197632,20.0,0.0,28.47,27.68,27.96,,27.96,10.0,8339.36,8890.82,8839.42
19.23850131034851,20.0,0.0,28.47,27.65,27.96,,27.96,10.0,8339.36,8878.23,8851.94
19.738872051239014,20.0,0.0,28.52,27.68,27.96,,27.96,10.0,8322.42,8878.23,8851.94
20.23843765258789,20.0,0.0,28.52,27.65,27.92,,27.92,10.0,8322.42,8890.82,8864.48
20.738768815994263,20.0,0.0,28.52,27.65,27.92,,27.92,10.0,8322.42,8890.82,8864.48
21.23854112625122,20.0,0.0,28.56,27.65,27.92,,27.92,10.0,8305.52,8890.82,8864.48
21.73832106590271,20.0,0.0,28.56,27.65,27.89,,27.89,10.0,8305.52,8890.82,8877.05
22.236454486846924,20.0,0.0,28.56,27.65,27.89,,27.89,10.0,8305.52,8890.82,8877.05
