Temps (s),Consigne (°C),Erreur (°C),Thermistance 1 - T1 (°C),Thermistance 2 - T2 (°C),Thermistance 3 - T3 (°C),T4',Thermistance 3 estimée - T3_moy (°C),Commande (PWM),Voltage T1 (V),Voltage T2 (V),Voltage T3 (V)
1.3080310821533203,30,0.0,16.62,16.76,16.94,,16.94,20.0,0.95,0.59,0.71
1.6644747257232666,30,0.0,16.66,16.79,16.94,,16.94,20.0,0.95,0.6,0.71
2.040135622024536,30,0.0,16.71,16.83,16.94,,16.94,20.0,0.96,0.6,0.71
2.5368096828460693,30,0.0,16.79,16.83,16.94,,16.94,20.0,0.97,0.6,0.71
3.038231134414673,30,0.0,16.93,16.86,16.94,,16.94,20.0,0.98,0.61,0.71
3.536336898803711,30,0.0,17.06,16.86,16.94,,16.94,20.0,1.0,0.61,0.71
4.033517122268677,30,0.0,17.24,16.9,16.98,,16.98,20.0,1.02,0.61,0.71
4.547595977783203,30,0.0,17.42,16.93,16.98,,16.98,20.0,1.03,0.62,0.72
5.034470796585083,30,0.0,17.6,16.93,16.98,,16.98,20.0,1.06,0.62,0.72
5.5474162101745605,30,0.0,17.73,17.0,16.98,,16.98,20.0,1.07,0.63,0.72
6.050612211227417,30,0.0,17.96,17.0,16.98,,16.98,20.0,1.09,0.63,0.72
6.552818775177002,30,0.0,18.14,17.04,16.98,,16.98,20.0,1.11,0.63,0.72
7.051004648208618,30,0.0,18.27,17.07,17.01,,17.01,20.0,1.13,0.63,0.72
7.550102949142456,30,0.0,18.45,17.07,17.01,,17.01,20.0,1.15,0.64,0.72
8.047454595565796,30,0.0,18.63,17.11,17.01,,17.01,20.0,1.17,0.64,0.72
8.54517674446106,30,0.0,18.76,17.14,17.01,,17.01,20.0,1.18,0.65,0.73
9.046822547912598,30,0.0,18.94,17.18,17.05,,17.05,20.0,1.2,0.65,0.73
9.558073282241821,30,0.0,19.08,17.21,17.05,,17.05,20.0,1.22,0.66,0.73
10.06185007095337,30,0.0,19.21,17.28,17.05,,17.05,20.0,1.23,0.66,0.73
10.559999942779541,30,0.0,19.39,17.32,17.09,,17.09,20.0,1.25,0.67,0.73
11.059290647506714,30,0.0,19.48,17.35,17.09,,17.09,20.0,1.26,0.67,0.73
11.558778524398804,30,0.0,19.61,17.42,17.09,,17.09,20.0,1.28,0.68,0.73
12.060521125793457,30,0.0,19.75,17.42,17.09,,17.09,20.0,1.29,0.68,0.73
12.561776399612427,30,0.0,19.88,17.46,17.13,,17.13,20.0,1.3,0.69,0.74
13.06038498878479,30,0.0,20.02,17.53,17.13,,17.13,20.0,1.31,0.7,0.74
13.559224128723145,30,0.0,20.11,17.56,17.13,,17.13,20.0,1.33,0.7,0.74
14.073793888092041,30,0.0,20.24,17.6,17.16,,17.16,20.0,1.34,0.71,0.74
14.573914766311646,30,0.0,20.33,17.63,17.16,,17.16,20.0,1.35,0.71,0.74
15.07622742652893,30,0.0,20.46,17.7,17.16,,17.16,20.0,1.37,0.72,0.74
15.575840950012207,30,0.0,20.55,17.74,17.16,,17.16,20.0,1.38,0.73,0.75
16.078020811080933,30,0.0,20.69,17.77,17.2,,17.2,20.0,1.39,0.73,0.75
16.578715801239014,30,0.0,20.78,17.84,17.2,,17.2,20.0,1.4,0.74,0.75
17.07635736465454,30,0.0,20.87,17.88,17.24,,17.24,20.0,1.41,0.75,0.75
17.573834896087646,30,0.0,20.96,17.95,17.24,,17.24,20.0,1.42,0.75,0.75
18.071929216384888,30,0.0,21.05,17.98,17.28,,17.28,20.0,1.43,0.76,0.76
18.57119369506836,30,0.0,21.18,18.02,17.28,,17.28,20.0,1.45,0.77,0.76
19.0741446018219,30,0.0,21.27,18.09,17.31,,17.31,20.0,1.46,0.78,0.76
19.58508825302124,30,0.0,21.36,18.12,17.31,,17.31,20.0,1.47,0.78,0.76
20.085105895996094,30,0.0,21.45,18.16,17.35,,17.35,20.0,1.48,0.79,0.77
20.586785316467285,30,0.0,21.54,18.23,17.35,,17.35,20.0,1.49,0.8,0.77
21.087684392929077,30,0.0,21.63,18.3,17.39,,17.39,20.0,1.49,0.81,0.77
21.58406662940979,30,0.0,21.72,18.33,17.42,,17.42,20.0,1.51,0.81,0.77
22.081650018692017,30,0.0,21.76,18.37,17.42,,17.42,20.0,1.51,0.82,0.78
22.595788717269897,30,0.0,21.85,18.43,17.46,,17.46,20.0,1.52,0.83,0.78
23.096317291259766,30,0.0,21.94,18.47,17.46,,17.46,20.0,1.53,0.83,0.79
23.595502853393555,30,0.0,22.03,18.54,17.5,,17.5,20.0,1.54,0.84,0.79
24.093167781829834,30,0.0,22.12,18.57,17.54,,17.54,20.0,1.54,0.85,0.79
