Temps (s),Consigne (°C),Erreur (°C),Thermistance 1 - T1 (°C),Thermistance 2 - T2 (°C),Thermistance 3 - T3 (°C),T4',Thermistance 3 estimée - T3_moy (°C),Commande (PWM),Voltage T1 (V),Voltage T2 (V),Voltage T3 (V)
1.307119369506836,30,0.0,32.95,34.38,35.26,,35.26,-30.0,2.73,3.21,3.25
1.665503978729248,30,0.0,32.91,34.35,35.23,,35.23,-30.0,2.73,3.21,3.25
2.0404109954833984,30,0.0,32.91,34.31,35.19,,35.19,-30.0,2.73,3.2,3.24
2.540363073348999,30,0.0,32.82,34.28,35.16,,35.16,-30.0,2.72,3.2,3.24
3.0398943424224854,30,0.0,32.73,34.25,35.16,,35.16,-30.0,2.71,3.19,3.24
3.538125514984131,30,0.0,32.55,34.18,35.12,,35.12,-30.0,2.69,3.18,3.23
4.035218238830566,30,0.0,32.41,34.15,35.09,,35.09,-30.0,2.67,3.18,3.23
4.535244703292847,30,0.0,32.23,34.12,35.06,,35.06,-30.0,2.65,3.17,3.22
5.047813653945923,30,0.0,32.01,34.09,35.02,,35.02,-30.0,2.63,3.17,3.22
5.545927286148071,30,0.0,31.83,34.02,34.99,,34.99,-30.0,2.61,3.16,3.21
6.040799856185913,30,0.0,31.61,33.99,34.99,,34.99,-30.0,2.59,3.15,3.21
6.5393288135528564,30,0.0,31.43,33.93,34.95,,34.95,-30.0,2.57,3.14,3.21
7.051636219024658,30,0.0,31.25,33.9,34.92,,34.92,-30.0,2.55,3.14,3.2
7.551655530929565,30,0.0,31.03,33.83,34.88,,34.88,-30.0,2.53,3.13,3.2
8.052969455718994,30,0.0,30.85,33.8,34.85,,34.85,-30.0,2.5,3.12,3.19
8.552786588668823,30,0.0,30.67,33.74,34.81,,34.81,-30.0,2.48,3.11,3.19
9.05395221710205,30,0.0,30.49,33.67,34.78,,34.78,-30.0,2.46,3.1,3.18
9.554758787155151,30,0.0,30.31,33.64,34.78,,34.78,-30.0,2.44,3.1,3.18
10.054510354995728,30,0.0,30.18,33.57,34.74,,34.74,-30.0,2.43,3.09,3.18
10.555246114730835,30,0.0,30.0,33.51,34.71,,34.71,-30.0,2.41,3.08,3.17
11.053793907165527,30,0.0,29.86,33.45,34.67,,34.67,-30.0,2.39,3.07,3.17
11.552117347717285,30,0.0,29.68,33.41,34.64,,34.64,-30.0,2.38,3.06,3.16
12.066171407699585,30,0.0,29.55,33.35,34.6,,34.6,-30.0,2.36,3.05,3.16
12.566264152526855,30,0.0,29.41,33.29,34.57,,34.57,-30.0,2.35,3.04,3.15
13.066630363464355,30,0.0,29.28,33.22,34.53,,34.53,-30.0,2.33,3.04,3.15
13.56645655632019,30,0.0,29.15,33.16,34.5,,34.5,-30.0,2.32,3.03,3.14
14.063940525054932,30,0.0,29.01,33.09,34.46,,34.46,-30.0,2.3,3.02,3.14
14.561275482177734,30,0.0,28.88,33.03,34.4,,34.4,-30.0,2.29,3.01,3.13
15.062134027481079,30,0.0,28.74,32.97,34.36,,34.36,-30.0,2.27,3.0,3.12
15.575471878051758,30,0.0,28.61,32.9,34.33,,34.33,-30.0,2.26,2.99,3.12
16.070497512817383,30,0.0,28.47,32.81,34.29,,34.29,-30.0,2.24,2.97,3.11
16.57142448425293,30,0.0,28.39,32.74,34.26,,34.26,-30.0,2.23,2.96,3.11
17.069617986679077,30,0.0,28.25,32.68,34.22,,34.22,-30.0,2.22,2.95,3.1
17.57418465614319,30,0.0,28.12,32.61,34.15,,34.15,-30.0,2.21,2.94,3.1
18.08425760269165,30,0.0,28.03,32.55,34.12,,34.12,-30.0,2.19,2.93,3.09
18.583838939666748,30,0.0,27.89,32.49,34.08,,34.08,-30.0,2.18,2.92,3.08
19.083242416381836,30,0.0,27.8,32.42,34.05,,34.05,-30.0,2.17,2.91,3.08
19.584203481674194,30,0.0,27.67,32.36,34.01,,34.01,-30.0,2.16,2.9,3.07
20.082117080688477,30,0.0,27.58,32.29,33.98,,33.98,-30.0,2.15,2.89,3.07
20.583232879638672,30,0.0,27.49,32.23,33.94,,33.94,-30.0,2.14,2.88,3.06
21.0833899974823,30,0.0,27.36,32.13,33.88,,33.88,-30.0,2.12,2.87,3.05
21.58053731918335,30,0.0,27.27,32.07,33.84,,33.84,-30.0,2.11,2.86,3.05
22.095582723617554,30,0.0,27.18,32.0,33.81,,33.81,-30.0,2.1,2.85,3.04
22.596067190170288,30,0.0,27.09,31.94,33.77,,33.77,-30.0,2.09,2.84,3.04
23.09841513633728,30,0.0,27.0,31.88,33.74,,33.74,-30.0,2.08,2.83,3.04
23.59195351600647,30,0.0,26.91,31.81,33.67,,33.67,-30.0,2.07,2.82,3.03
24.091729164123535,30,0.0,26.77,31.72,33.63,,33.63,-30.0,2.06,2.81,3.02
24.58854866027832,30,0.0,26.68,31.65,33.6,,33.6,-30.0,2.05,2.8,3.02
25.088775157928467,30,0.0,26.6,31.59,33.56,,33.56,-30.0,2.04,2.79,3.01
25.589911460876465,30,0.0,26.51,31.52,33.49,,33.49,-30.0,2.03,2.78,3.0
26.101660013198853,30,0.0,26.42,31.46,33.46,,33.46,-30.0,2.02,2.77,3.0
26.599670886993408,30,0.0,26.33,31.4,33.42,,33.42,-30.0,2.01,2.76,2.99
27.100362300872803,30,0.0,26.24,31.33,33.36,,33.36,-30.0,2.0,2.75,2.98
27.598264694213867,30,0.0,26.15,31.27,33.32,,33.32,-30.0,1.99,2.74,2.98
28.111366510391235,30,0.0,26.1,31.2,33.25,,33.25,-30.0,1.98,2.73,2.97
28.606900453567505,30,0.0,26.01,31.14,33.22,,33.22,-30.0,1.97,2.72,2.96
29.10678267478943,30,0.0,25.92,31.08,33.15,,33.15,-30.0,1.96,2.71,2.95
29.604628801345825,30,0.0,25.83,31.01,33.11,,33.11,-30.0,1.96,2.7,2.95
30.117085218429565,30,0.0,25.74,30.92,33.08,,33.08,-30.0,1.95,2.69,2.94
30.60374426841736,30,0.0,25.66,30.88,33.01,,33.01,-30.0,1.94,2.67,2.93
31.104714155197144,30,0.0,25.57,30.79,32.97,,32.97,-30.0,1.93,2.66,2.93
31.61845850944519,30,0.0,25.52,30.72,32.94,,32.94,-30.0,1.92,2.66,2.92
32.117321491241455,30,0.0,25.43,30.66,32.87,,32.87,-30.0,1.91,2.64,2.91
32.61805200576782,30,0.0,25.34,30.6,32.84,,32.84,-30.0,1.9,2.63,2.91
33.1168577671051,30,0.0,25.3,30.53,32.77,,32.77,-30.0,1.9,2.62,2.9
33.61595296859741,30,0.0,25.21,30.47,32.73,,32.73,-30.0,1.89,2.61,2.89
34.116180658340454,30,0.0,25.12,30.4,32.66,,32.66,-30.0,1.88,2.61,2.89
34.627190589904785,30,0.0,25.07,30.37,32.63,,32.63,-30.0,1.87,2.6,2.88
35.12378191947937,30,0.0,24.98,30.31,32.56,,32.56,-30.0,1.86,2.59,2.87
35.62371301651001,30,0.0,24.94,30.24,32.52,,32.52,-30.0,1.86,2.58,2.86
36.122175455093384,30,0.0,24.85,30.18,32.46,,32.46,-30.0,1.85,2.57,2.85
36.620431423187256,30,0.0,24.76,30.12,32.42,,32.42,-30.0,1.84,2.56,2.85
37.121440172195435,30,0.0,24.72,30.05,32.35,,32.35,-30.0,1.83,2.55,2.84
37.636372804641724,30,0.0,24.63,29.99,32.32,,32.32,-30.0,1.82,2.54,2.83
38.13439726829529,30,0.0,24.58,29.92,32.25,,32.25,-30.0,1.82,2.53,2.83
38.636544942855835,30,0.0,24.49,29.86,32.21,,32.21,-30.0,1.81,2.52,2.82
39.138723611831665,30,0.0,24.45,29.8,32.14,,32.14,-30.0,1.8,2.51,2.81
39.63893795013428,30,0.0,24.4,29.73,32.11,,32.11,-30.0,1.79,2.5,2.81
40.13910627365112,30,0.0,24.31,29.67,32.04,,32.04,-30.0,1.79,2.49,2.8
40.63746190071106,30,0.0,24.27,29.6,31.97,,31.97,-30.0,1.78,2.48,2.79
41.1401801109314,30,0.0,24.18,29.54,31.94,,31.94,-30.0,1.77,2.47,2.78
41.63952279090881,30,0.0,24.13,29.48,31.87,,31.87,-30.0,1.77,2.46,2.77
42.13833522796631,30,0.0,24.04,29.41,31.8,,31.8,-30.0,1.76,2.45,2.76
