Temps (s),Consigne (°C),Erreur (°C),Thermistance 1 - T1 (°C),Thermistance 2 - T2 (°C),Thermistance 3 - T3 (°C),T4',Thermistance 3 estimée - T3_moy (°C),Commande (PWM),Voltage T1 (V),Voltage T2 (V),Voltage T3 (V)
1.3169331550598145,30,0.0,15.81,15.4,16.03,,16.03,30.0,0.86,0.41,0.6
1.678433895111084,30,0.0,15.81,15.43,16.03,,16.03,30.0,0.86,0.41,0.6
2.0354130268096924,30,0.0,15.85,15.43,16.03,,16.03,30.0,0.87,0.41,0.59
2.530820608139038,30,0.0,15.9,15.47,15.99,,15.99,30.0,0.87,0.42,0.59
3.029841661453247,30,0.0,16.03,15.5,15.95,,15.95,30.0,0.88,0.42,0.59
3.532156229019165,30,0.0,16.21,15.5,15.95,,15.95,30.0,0.9,0.42,0.59
4.045127630233765,30,0.0,16.39,15.54,15.95,,15.95,30.0,0.92,0.43,0.58
4.545875310897827,30,0.0,16.62,15.58,15.92,,15.92,30.0,0.95,0.43,0.58
5.044310569763184,30,0.0,16.88,15.61,15.92,,15.92,30.0,0.98,0.43,0.58
5.541706323623657,30,0.0,17.11,15.61,15.88,,15.88,30.0,1.0,0.43,0.58
6.042404651641846,30,0.0,17.33,15.65,15.88,,15.88,30.0,1.03,0.44,0.58
6.540247440338135,30,0.0,17.6,15.68,15.88,,15.88,30.0,1.06,0.44,0.58
7.039993047714233,30,0.0,17.82,15.72,15.84,,15.84,30.0,1.08,0.45,0.57
7.555572032928467,30,0.0,18.05,15.76,15.84,,15.84,30.0,1.1,0.45,0.57
8.054962396621704,30,0.0,18.32,15.79,15.84,,15.84,30.0,1.13,0.46,0.57
8.554093360900879,30,0.0,18.5,15.83,15.84,,15.84,30.0,1.16,0.46,0.58
9.053755521774292,30,0.0,18.72,15.86,15.84,,15.84,30.0,1.18,0.47,0.57
9.552421808242798,30,0.0,18.94,15.94,15.84,,15.84,30.0,1.2,0.48,0.57
10.049176454544067,30,0.0,19.17,15.97,15.84,,15.84,30.0,1.22,0.49,0.57
10.551175594329834,30,0.0,19.35,16.04,15.84,,15.84,30.0,1.25,0.49,0.57
11.065449476242065,30,0.0,19.52,16.08,15.88,,15.88,30.0,1.27,0.5,0.57
11.56216812133789,30,0.0,19.75,16.15,15.84,,15.84,30.0,1.29,0.51,0.58
12.061564207077026,30,0.0,19.93,16.19,15.88,,15.88,30.0,1.3,0.51,0.58
12.561205625534058,30,0.0,20.11,16.26,15.88,,15.88,30.0,1.32,0.52,0.58
13.060343503952026,30,0.0,20.24,16.29,15.88,,15.88,30.0,1.34,0.53,0.58
13.561131954193115,30,0.0,20.42,16.36,15.88,,15.88,30.0,1.36,0.54,0.58
14.06075930595398,30,0.0,20.6,16.44,15.92,,15.92,30.0,1.38,0.55,0.58
14.574315547943115,30,0.0,20.73,16.51,15.92,,15.92,30.0,1.4,0.56,0.58
15.072534322738647,30,0.0,20.91,16.58,15.92,,15.92,30.0,1.42,0.56,0.58
15.571971893310547,30,0.0,21.05,16.61,15.95,,15.95,30.0,1.43,0.57,0.59
16.06857419013977,30,0.0,21.22,16.68,15.95,,15.95,30.0,1.45,0.58,0.59
16.567022562026978,30,0.0,21.36,16.76,15.99,,15.99,30.0,1.47,0.59,0.59
17.076579809188843,30,0.0,21.49,16.83,15.99,,15.99,30.0,1.49,0.6,0.59
17.576048612594604,30,0.0,21.67,16.9,16.03,,16.03,30.0,1.5,0.61,0.6
18.076021671295166,30,0.0,21.81,16.97,16.03,,16.03,30.0,1.52,0.62,0.6
18.57595157623291,30,0.0,21.94,17.04,16.07,,16.07,30.0,1.53,0.63,0.6
19.074671745300293,30,0.0,22.08,17.11,16.11,,16.11,30.0,1.54,0.64,0.6
19.587233781814575,30,0.0,22.21,17.18,16.11,,16.11,30.0,1.56,0.65,0.61
20.08847451210022,30,0.0,22.34,17.25,16.14,,16.14,30.0,1.57,0.66,0.61
20.590095043182373,30,0.0,22.48,17.32,16.18,,16.18,30.0,1.59,0.67,0.61
21.08936047554016,30,0.0,22.57,17.39,16.18,,16.18,30.0,1.6,0.68,0.62
21.590909242630005,30,0.0,22.7,17.46,16.26,,16.26,30.0,1.61,0.69,0.63
22.08909249305725,30,0.0,22.84,17.53,16.26,,16.26,30.0,1.63,0.7,0.63
22.587393760681152,30,0.0,22.97,17.6,16.3,,16.3,30.0,1.64,0.71,0.63
23.08617067337036,30,0.0,23.06,17.7,16.33,,16.33,30.0,1.65,0.72,0.64
