Temps (s),Consigne (°C),Erreur (°C),Thermistance 1 - T1 (°C),Thermistance 2 - T2 (°C),Thermistance 3 - T3 (°C),T4',Thermistance 3 estimée - T3_moy (°C),Commande (PWM),Voltage T1 (V),Voltage T2 (V),Voltage T3 (V)
1.3100218772888184,30,0.0,25.79,25.48,26.12,,26.12,-10.0,1.95,1.86,1.96
1.6707401275634766,30,0.0,25.74,25.48,26.08,,26.08,-10.0,1.95,1.86,1.96
2.031238555908203,30,0.0,25.7,25.48,26.08,,26.08,-10.0,1.94,1.86,1.96
2.5302464962005615,30,0.0,25.66,25.48,26.05,,26.05,-10.0,1.94,1.86,1.95
3.0305073261260986,30,0.0,25.57,25.48,26.01,,26.01,-10.0,1.93,1.86,1.95
3.531856060028076,30,0.0,25.48,25.48,25.98,,25.98,-10.0,1.92,1.86,1.94
4.032170057296753,30,0.0,25.39,25.48,25.98,,25.98,-10.0,1.91,1.86,1.94
4.5473713874816895,30,0.0,25.3,25.48,25.94,,25.94,-10.0,1.9,1.86,1.94
5.046600818634033,30,0.0,25.21,25.48,25.94,,25.94,-10.0,1.89,1.86,1.94
5.543915748596191,30,0.0,25.12,25.48,25.91,,25.91,-10.0,1.88,1.86,1.93
6.043316841125488,30,0.0,25.03,25.48,25.91,,25.91,-10.0,1.87,1.86,1.93
6.541935920715332,30,0.0,24.94,25.45,25.87,,25.87,-10.0,1.86,1.85,1.93
7.042660236358643,30,0.0,24.85,25.45,25.87,,25.87,-10.0,1.85,1.85,1.93
7.55607008934021,30,0.0,24.76,25.45,25.84,,25.84,-10.0,1.84,1.85,1.92
8.042211532592773,30,0.0,24.72,25.45,25.84,,25.84,-10.0,1.83,1.85,1.92
8.558055877685547,30,0.0,24.63,25.45,25.8,,25.8,-10.0,1.82,1.85,1.92
9.058938264846802,30,0.0,24.54,25.45,25.8,,25.8,-10.0,1.81,1.85,1.92
9.554077625274658,30,0.0,24.49,25.42,25.8,,25.8,-10.0,1.81,1.85,1.92
10.058822631835938,30,0.0,24.4,25.42,25.77,,25.77,-10.0,1.8,1.85,1.91
10.55681300163269,30,0.0,24.36,25.42,25.77,,25.77,-10.0,1.79,1.85,1.91
11.056902885437012,30,0.0,24.27,25.38,25.73,,25.73,-10.0,1.78,1.84,1.91
11.555068731307983,30,0.0,24.22,25.38,25.73,,25.73,-10.0,1.78,1.84,1.91
12.056339979171753,30,0.0,24.18,25.38,25.73,,25.73,-10.0,1.77,1.84,1.91
12.569061994552612,30,0.0,24.09,25.35,25.73,,25.73,-10.0,1.76,1.84,1.91
13.067509174346924,30,0.0,24.04,25.35,25.7,,25.7,-10.0,1.76,1.84,1.9
13.566407680511475,30,0.0,24.0,25.32,25.7,,25.7,-10.0,1.75,1.83,1.9
14.06592845916748,30,0.0,23.95,25.32,25.7,,25.7,-10.0,1.75,1.83,1.9
14.567229509353638,30,0.0,23.91,25.32,25.66,,25.66,-10.0,1.74,1.83,1.9
15.069658041000366,30,0.0,23.82,25.29,25.66,,25.66,-10.0,1.74,1.83,1.9
15.573697328567505,30,0.0,23.78,25.29,25.66,,25.66,-10.0,1.73,1.83,1.9
16.072884798049927,30,0.0,23.73,25.25,25.66,,25.66,-10.0,1.73,1.82,1.89
16.573646306991577,30,0.0,23.69,25.25,25.63,,25.63,-10.0,1.72,1.82,1.89
17.070269107818604,30,0.0,23.64,25.22,25.63,,25.63,-10.0,1.72,1.82,1.89
17.568885564804077,30,0.0,23.6,25.19,25.63,,25.63,-10.0,1.72,1.81,1.89
18.083064317703247,30,0.0,23.6,25.19,25.59,,25.59,-10.0,1.71,1.81,1.89
18.572503089904785,30,0.0,23.55,25.16,25.59,,25.59,-10.0,1.71,1.81,1.89
19.088992834091187,30,0.0,23.51,25.16,25.59,,25.59,-10.0,1.7,1.81,1.89
19.574201583862305,30,0.0,23.46,25.12,25.56,,25.56,-10.0,1.7,1.8,1.88
20.085294485092163,30,0.0,23.42,25.12,25.56,,25.56,-10.0,1.69,1.8,1.88
20.587034702301025,30,0.0,23.37,25.09,25.56,,25.56,-10.0,1.69,1.8,1.88
21.086134910583496,30,0.0,23.37,25.06,25.56,,25.56,-10.0,1.68,1.79,1.88
21.58552646636963,30,0.0,23.33,25.06,25.52,,25.52,-10.0,1.68,1.79,1.88
22.08354115486145,30,0.0,23.28,25.03,25.52,,25.52,-10.0,1.68,1.79,1.88
22.596615076065063,30,0.0,23.24,25.03,25.52,,25.52,-10.0,1.67,1.79,1.88
23.083666801452637,30,0.0,23.24,24.99,25.49,,25.49,-10.0,1.67,1.78,1.87
23.58573055267334,30,0.0,23.19,24.99,25.49,,25.49,-10.0,1.67,1.78,1.87
24.08642888069153,30,0.0,23.15,24.96,25.49,,25.49,-10.0,1.66,1.78,1.87
24.593966245651245,30,0.0,23.1,24.93,25.49,,25.49,-10.0,1.66,1.77,1.87
25.104965209960938,30,0.0,23.1,24.93,25.45,,25.45,-10.0,1.66,1.77,1.87
25.591274738311768,30,0.0,23.06,24.89,25.45,,25.45,-10.0,1.65,1.77,1.87
26.10439157485962,30,0.0,23.02,24.89,25.45,,25.45,-10.0,1.65,1.77,1.86
26.603376865386963,30,0.0,23.02,24.86,25.42,,25.42,-10.0,1.65,1.76,1.86
27.10249376296997,30,0.0,22.97,24.83,25.42,,25.42,-10.0,1.64,1.76,1.86
27.604092359542847,30,0.0,22.93,24.83,25.38,,25.38,-10.0,1.64,1.76,1.86
28.103013515472412,30,0.0,22.93,24.8,25.38,,25.38,-10.0,1.64,1.75,1.86
28.600343704223633,30,0.0,22.88,24.8,25.38,,25.38,-10.0,1.63,1.75,1.86
29.114103317260742,30,0.0,22.88,24.76,25.38,,25.38,-10.0,1.63,1.75,1.86
29.61439061164856,30,0.0,22.84,24.76,25.35,,25.35,-10.0,1.63,1.75,1.85
30.116606950759888,30,0.0,22.79,24.73,25.35,,25.35,-10.0,1.62,1.74,1.85
30.614569425582886,30,0.0,22.79,24.7,25.35,,25.35,-10.0,1.62,1.74,1.85
31.113442182540894,30,0.0,22.75,24.7,25.31,,25.31,-10.0,1.62,1.74,1.85
31.609826803207397,30,0.0,22.75,24.67,25.31,,25.31,-10.0,1.62,1.74,1.85
32.11000370979309,30,0.0,22.7,24.67,25.28,,25.28,-10.0,1.61,1.74,1.85
32.60980153083801,30,0.0,22.7,24.63,25.28,,25.28,-10.0,1.61,1.73,1.84
33.12479615211487,30,0.0,22.66,24.6,25.28,,25.28,-10.0,1.61,1.73,1.84
33.62292408943176,30,0.0,22.66,24.6,25.24,,25.24,-10.0,1.61,1.73,1.84
34.12050795555115,30,0.0,22.61,24.57,25.24,,25.24,-10.0,1.6,1.72,1.84
34.616321086883545,30,0.0,22.61,24.57,25.24,,25.24,-10.0,1.6,1.72,1.84
35.11715531349182,30,0.0,22.57,24.54,25.21,,25.21,-10.0,1.6,1.72,1.83
35.630242109298706,30,0.0,22.57,24.54,25.21,,25.21,-10.0,1.59,1.72,1.83
36.128005266189575,30,0.0,22.52,24.5,25.21,,25.21,-10.0,1.59,1.71,1.83
36.62571978569031,30,0.0,22.48,24.5,25.17,,25.17,-10.0,1.59,1.71,1.83
37.12727212905884,30,0.0,22.48,24.47,25.17,,25.17,-10.0,1.59,1.71,1.83
37.625142097473145,30,0.0,22.48,24.47,25.14,,25.14,-10.0,1.59,1.7,1.82
38.12705039978027,30,0.0,22.43,24.44,25.14,,25.14,-10.0,1.58,1.7,1.82
38.625661849975586,30,0.0,22.43,24.4,25.14,,25.14,-10.0,1.58,1.7,1.82
39.12995481491089,30,0.0,22.39,24.4,25.1,,25.1,-10.0,1.58,1.7,1.82
39.64010190963745,30,0.0,22.39,24.37,25.1,,25.1,-10.0,1.58,1.69,1.82
40.138432264328,30,0.0,22.34,24.37,25.07,,25.07,-10.0,1.57,1.69,1.81
40.64316487312317,30,0.0,22.34,24.34,25.07,,25.07,-10.0,1.57,1.69,1.81
41.14018273353577,30,0.0,22.3,24.34,25.03,,25.03,-10.0,1.57,1.69,1.81
41.64076590538025,30,0.0,22.3,24.31,25.03,,25.03,-10.0,1.57,1.68,1.81
42.13846731185913,30,0.0,22.25,24.27,25.0,,25.0,-10.0,1.56,1.68,1.8
42.64120364189148,30,0.0,22.25,24.27,25.0,,25.0,-10.0,1.56,1.68,1.8
43.140095472335815,30,0.0,22.25,24.24,25.0,,25.0,-10.0,1.56,1.67,1.8
43.640567779541016,30,0.0,22.21,24.24,24.96,,24.96,-10.0,1.56,1.67,1.8
44.153260469436646,30,0.0,22.21,24.21,24.96,,24.96,-10.0,1.55,1.67,1.8
44.65364122390747,30,0.0,22.16,24.21,24.93,,24.93,-10.0,1.55,1.67,1.79
45.152629375457764,30,0.0,22.16,24.18,24.93,,24.93,-10.0,1.55,1.66,1.79
45.65234017372131,30,0.0,22.12,24.18,24.93,,24.93,-10.0,1.55,1.66,1.79
46.15024018287659,30,0.0,22.12,24.14,24.89,,24.89,-10.0,1.55,1.66,1.79
46.64757299423218,30,0.0,22.08,24.14,24.89,,24.89,-10.0,1.55,1.65,1.79
47.16107487678528,30,0.0,22.08,24.11,24.85,,24.85,-10.0,1.54,1.65,1.78
47.66535568237305,30,0.0,22.08,24.08,24.85,,24.85,-10.0,1.54,1.65,1.78
48.1603524684906,30,0.0,22.03,24.08,24.85,,24.85,-10.0,1.54,1.65,1.78
48.661887884140015,30,0.0,22.03,24.04,24.82,,24.82,-10.0,1.54,1.64,1.78
49.15863537788391,30,0.0,21.99,24.04,24.82,,24.82,-10.0,1.53,1.64,1.78
49.65737318992615,30,0.0,21.99,24.04,24.78,,24.78,-10.0,1.53,1.64,1.77
50.15746331214905,30,0.0,21.99,24.01,24.78,,24.78,-10.0,1.53,1.64,1.77
50.67605447769165,30,0.0,21.94,23.98,24.78,,24.78,-10.0,1.53,1.64,1.77
51.16958022117615,30,0.0,21.94,23.98,24.75,,24.75,-10.0,1.53,1.63,1.77
51.66502833366394,30,0.0,21.94,23.95,24.75,,24.75,-10.0,1.53,1.63,1.77
52.16167378425598,30,0.0,21.9,23.95,24.71,,24.71,-10.0,1.52,1.63,1.76
52.66412138938904,30,0.0,21.9,23.95,24.71,,24.71,-10.0,1.52,1.62,1.76
53.17913031578064,30,0.0,21.85,23.91,24.71,,24.71,-10.0,1.52,1.62,1.76
53.67726683616638,30,0.0,21.85,23.88,24.68,,24.68,-10.0,1.52,1.62,1.76
54.1762158870697,30,0.0,21.85,23.88,24.68,,24.68,-10.0,1.52,1.62,1.76
54.675639152526855,30,0.0,21.85,23.85,24.64,,24.64,-10.0,1.52,1.61,1.75
55.17612433433533,30,0.0,21.81,23.85,24.64,,24.64,-10.0,1.52,1.61,1.75
55.678438663482666,30,0.0,21.81,23.82,24.61,,24.61,-10.0,1.52,1.61,1.75
