Temps (s),Consigne (°C),Erreur (°C),Thermistance 1 - T1 (°C),Thermistance 2 - T2 (°C),Thermistance 3 - T3 (°C),T4',Thermistance 3 estimée - T3_moy (°C),Commande (PWM)
1.404008150100708,23.0,0.0,22.25,22.43,22.45,,22.45,-20.0
1.782630205154419,23.0,0.0,22.25,22.46,22.45,,22.45,-20.0
2.1758265495300293,23.0,0.0,22.25,22.46,22.45,,22.45,-20.0
2.6694176197052,23.0,0.0,22.21,22.46,22.45,,22.45,-20.0
3.1932904720306396,23.0,0.0,22.16,22.46,22.45,,22.45,-20.0
3.6758086681365967,23.0,0.0,22.08,22.46,22.45,,22.45,-20.0
4.190027236938477,23.0,0.0,21.99,22.46,22.45,,22.45,-20.0
4.67657470703125,23.0,0.0,21.85,22.46,22.45,,22.45,-20.0
5.177511930465698,23.0,0.0,21.76,22.46,22.45,,22.45,-20.0
5.6935484409332275,23.0,0.0,21.67,22.46,22.45,,22.45,-20.0
6.1922783851623535,23.0,0.0,21.54,22.46,22.45,,22.45,-20.0
6.687387228012085,23.0,0.0,21.45,22.46,22.49,,22.49,-20.0
7.192957878112793,23.0,0.0,21.31,22.46,22.45,,22.45,-20.0
7.687761545181274,23.0,0.0,21.22,22.46,22.49,,22.49,-20.0
8.189572095870972,23.0,0.0,21.14,22.46,22.49,,22.49,-20.0
8.686584711074829,23.0,0.0,21.05,22.46,22.49,,22.49,-20.0
9.207459926605225,23.0,0.0,20.91,22.46,22.49,,22.49,-20.0
9.687839031219482,23.0,0.0,20.87,22.43,22.49,,22.49,-20.0
10.190632581710815,23.0,0.0,20.78,22.46,22.49,,22.49,-20.0
10.689744472503662,23.0,0.0,20.69,22.43,22.49,,22.49,-20.0
11.19713044166565,23.0,0.0,20.6,22.43,22.49,,22.49,-20.0
11.696500778198242,23.0,0.0,20.55,22.4,22.49,,22.49,-20.0
12.200762271881104,23.0,0.0,20.46,22.4,22.52,,22.52,-20.0
12.701176881790161,23.0,0.0,20.37,22.4,22.49,,22.49,-20.0
13.200357675552368,23.0,0.0,20.33,22.36,22.49,,22.49,-20.0
13.70258617401123,23.0,0.0,20.29,22.36,22.49,,22.49,-20.0
14.203002214431763,23.0,0.0,20.2,22.36,22.52,,22.52,-20.0
14.700313091278076,23.0,0.0,20.11,22.36,22.52,,22.52,-20.0
15.220293998718262,23.0,0.0,20.11,22.33,22.52,,22.52,-20.0
15.709710597991943,23.0,0.0,20.02,22.33,22.52,,22.52,-20.0
16.220861434936523,23.0,0.0,19.97,22.3,22.52,,22.52,-20.0
16.74732804298401,23.0,0.0,19.93,22.3,22.52,,22.52,-20.0
17.22179913520813,23.0,0.0,19.88,22.26,22.52,,22.52,-20.0
17.719184398651123,23.0,0.0,19.79,22.26,22.52,,22.52,-20.0
18.60517406463623,23.0,0.0,19.75,22.23,22.52,,22.52,-20.0
19.22675371170044,23.0,0.0,19.7,22.2,22.52,,22.52,-20.0
20.02675151824951,23.0,0.0,19.66,22.2,22.52,,22.52,-20.0
20.709969520568848,23.0,0.0,19.61,22.2,22.52,,22.52,-20.0
21.50357699394226,23.0,0.0,19.57,22.16,22.52,,22.52,-20.0
22.546762943267822,23.0,0.0,19.52,22.13,22.52,,22.52,-20.0
22.955487728118896,23.0,0.0,19.48,22.1,22.49,,22.49,-20.0
23.570164918899536,23.0,0.0,19.43,22.1,22.52,,22.52,-20.0
24.152591228485107,23.0,0.0,19.39,22.06,22.52,,22.52,-20.0
24.623981714248657,23.0,0.0,19.39,22.06,22.49,,22.49,-20.0
25.242952346801758,23.0,0.0,19.35,22.03,22.49,,22.49,-20.0
25.890503883361816,23.0,0.0,19.26,22.0,22.49,,22.49,-20.0
26.595446825027466,23.0,0.0,19.26,22.0,22.49,,22.49,-20.0
27.285999298095703,23.0,0.0,19.21,22.0,22.49,,22.49,-20.0
28.333489656448364,23.0,0.0,19.17,21.96,22.49,,22.49,-20.0
29.115073919296265,23.0,0.0,19.12,21.93,22.49,,22.49,-20.0
29.677332401275635,23.0,0.0,19.12,21.93,22.49,,22.49,-20.0
30.204952716827393,23.0,0.0,19.03,21.9,22.45,,22.45,-20.0
30.709692001342773,23.0,0.0,18.99,21.86,22.45,,22.45,-20.0
31.47236680984497,23.0,0.0,18.99,21.86,22.45,,22.45,-20.0
32.42708396911621,23.0,0.0,18.94,21.83,22.45,,22.45,-20.0
33.39018392562866,23.0,0.0,18.9,21.8,22.45,,22.45,-20.0
33.95906043052673,23.0,0.0,18.9,21.8,22.45,,22.45,-20.0
34.79819083213806,23.0,0.0,18.85,21.76,22.42,,22.42,-20.0
35.51139712333679,23.0,0.0,18.81,21.76,22.42,,22.42,-20.0
36.44330096244812,23.0,0.0,18.81,21.76,22.42,,22.42,-20.0
36.97530460357666,23.0,0.0,18.76,21.7,22.42,,22.42,-20.0
37.50103163719177,23.0,0.0,18.76,21.7,22.38,,22.38,-20.0
38.33645749092102,23.0,0.0,18.72,21.7,22.38,,22.38,-20.0
39.156187295913696,23.0,0.0,18.67,21.66,22.38,,22.38,-20.0
39.59362292289734,23.0,0.0,18.63,21.63,22.38,,22.38,-20.0
40.370620012283325,23.0,0.0,18.63,21.63,22.34,,22.34,-20.0
41.14357781410217,23.0,0.0,18.58,21.6,22.34,,22.34,-20.0
42.1747841835022,23.0,0.0,18.58,21.6,22.34,,22.34,-20.0
42.72981119155884,23.0,0.0,18.54,21.53,22.34,,22.34,-20.0
43.125922441482544,23.0,0.0,18.54,21.53,22.31,,22.31,-20.0
43.533719062805176,23.0,0.0,18.5,21.53,22.31,,22.31,-20.0
44.171040534973145,23.0,0.0,18.45,21.5,22.31,,22.31,-20.0
44.849977254867554,23.0,0.0,18.41,21.46,22.27,,22.27,-20.0
45.63849973678589,23.0,0.0,18.41,21.46,22.27,,22.27,-20.0
46.252870321273804,23.0,0.0,18.36,21.43,22.27,,22.27,-20.0
47.100112438201904,23.0,0.0,18.36,21.4,22.27,,22.27,-20.0
47.81982779502869,23.0,0.0,18.36,21.4,22.24,,22.24,-20.0
48.26721692085266,23.0,0.0,18.32,21.4,22.24,,22.24,-20.0
48.70616054534912,23.0,0.0,18.32,21.36,22.2,,22.2,-20.0
49.2025351524353,23.0,0.0,18.27,21.33,22.2,,22.2,-20.0
49.70465397834778,23.0,0.0,18.27,21.29,22.2,,22.2,-20.0
50.44399070739746,23.0,0.0,18.23,21.29,22.17,,22.17,-20.0
51.64969444274902,23.0,0.0,18.18,21.29,22.17,,22.17,-20.0
52.0296790599823,23.0,0.0,18.18,21.26,22.17,,22.17,-20.0
52.426724910736084,23.0,0.0,18.18,21.23,22.13,,22.13,-20.0
52.822927474975586,23.0,0.0,18.14,21.23,22.13,,22.13,-20.0
53.234273195266724,23.0,0.0,18.14,21.19,22.13,,22.13,-20.0
53.64121866226196,23.0,0.0,18.14,21.19,22.09,,22.09,-20.0
54.041282176971436,23.0,0.0,18.09,21.16,22.09,,22.09,-20.0
54.42312431335449,23.0,0.0,18.05,21.16,22.06,,22.06,-20.0
54.81875419616699,23.0,0.0,18.05,21.13,22.06,,22.06,-20.0
55.209738969802856,23.0,0.0,18.05,21.13,22.06,,22.06,-20.0
55.62737417221069,23.0,0.0,18.0,21.09,22.02,,22.02,-20.0
56.03316783905029,23.0,0.0,18.0,21.09,22.02,,22.02,-20.0
56.43398404121399,23.0,0.0,17.96,21.06,21.99,,21.99,-20.0
56.830288887023926,23.0,0.0,17.96,21.03,21.99,,21.99,-20.0
57.24124240875244,23.0,0.0,17.91,21.03,21.99,,21.99,-20.0
57.65375280380249,23.0,0.0,17.91,20.99,21.99,,21.99,-20.0
58.050108671188354,23.0,0.0,17.91,20.99,21.95,,21.95,-20.0
58.43955087661743,23.0,0.0,17.87,20.96,21.92,,21.92,-20.0
58.82749795913696,23.0,0.0,17.87,20.96,21.92,,21.92,-20.0
59.23765563964844,23.0,0.0,17.82,20.93,21.92,,21.92,-20.0
59.618199825286865,23.0,0.0,17.82,20.93,21.88,,21.88,-20.0
60.01181674003601,23.0,0.0,17.78,20.89,21.88,,21.88,-20.0
60.41814732551575,23.0,0.0,17.78,20.89,21.84,,21.84,-20.0
60.82058763504028,23.0,0.0,17.78,20.86,21.84,,21.84,-20.0
61.213489294052124,23.0,0.0,17.73,20.86,21.84,,21.84,-20.0
61.62599754333496,23.0,0.0,17.73,20.82,21.81,,21.81,-20.0
62.01951766014099,23.0,0.0,17.73,20.82,21.81,,21.81,-20.0
62.42866492271423,23.0,0.0,17.73,20.79,21.77,,21.77,-20.0
62.8098464012146,23.0,0.0,17.69,20.79,21.77,,21.77,-20.0
63.22084379196167,23.0,0.0,17.64,20.76,21.77,,21.77,-20.0
