Temps (s),Consigne (°C),Erreur (°C),Thermistance 1 - T1 (°C),Thermistance 2 - T2 (°C),Thermistance 3 - T3 (°C),T4',Thermistance 3 estimée - T3_moy (°C),Commande (PWM)
1.394500732421875,23.0,0.0,21.27,21.06,20.91,,20.91,-10.0
1.7663991451263428,23.0,0.0,21.27,21.06,20.91,,20.91,-10.0
2.1733834743499756,23.0,0.0,21.31,21.09,20.95,,20.95,-10.0
2.688218355178833,23.0,0.0,21.31,21.09,20.91,,20.91,-10.0
3.192887783050537,23.0,0.0,21.27,21.09,20.98,,20.98,-10.0
3.6835389137268066,23.0,0.0,21.27,21.09,20.98,,20.98,-10.0
4.189651012420654,23.0,0.0,21.22,21.13,20.98,,20.98,-10.0
4.69011926651001,23.0,0.0,21.18,21.13,20.98,,20.98,-10.0
5.182540655136108,23.0,0.0,21.18,21.13,20.98,,20.98,-10.0
5.689737796783447,23.0,0.0,21.09,21.16,20.98,,20.98,-10.0
6.194889307022095,23.0,0.0,21.05,21.16,21.02,,21.02,-10.0
6.687098264694214,23.0,0.0,21.0,21.16,21.02,,21.02,-10.0
7.1896960735321045,23.0,0.0,20.96,21.19,21.05,,21.05,-10.0
7.6853108406066895,23.0,0.0,20.91,21.19,21.02,,21.02,-10.0
8.192036390304565,23.0,0.0,20.87,21.19,21.05,,21.05,-10.0
8.683370590209961,23.0,0.0,20.82,21.23,21.05,,21.05,-10.0
9.20337963104248,23.0,0.0,20.82,21.23,21.05,,21.05,-10.0
9.686995029449463,23.0,0.0,20.78,21.23,21.09,,21.09,-10.0
10.189744710922241,23.0,0.0,20.73,21.26,21.09,,21.09,-10.0
10.706631660461426,23.0,0.0,20.73,21.26,21.09,,21.09,-10.0
11.20761513710022,23.0,0.0,20.69,21.26,21.13,,21.13,-10.0
11.705353021621704,23.0,0.0,20.64,21.26,21.13,,21.13,-10.0
12.20803689956665,23.0,0.0,20.6,21.26,21.13,,21.13,-10.0
12.708046913146973,23.0,0.0,20.6,21.26,21.13,,21.13,-10.0
13.203264951705933,23.0,0.0,20.55,21.26,21.16,,21.16,-10.0
13.705445289611816,23.0,0.0,20.55,21.29,21.16,,21.16,-10.0
14.200731992721558,23.0,0.0,20.51,21.29,21.16,,21.16,-10.0
14.721659421920776,23.0,0.0,20.51,21.29,21.16,,21.16,-10.0
15.2080819606781,23.0,0.0,20.46,21.29,21.2,,21.2,-10.0
15.719285488128662,23.0,0.0,20.46,21.29,21.2,,21.2,-10.0
16.222851037979126,23.0,0.0,20.42,21.29,21.2,,21.2,-10.0
16.71920657157898,23.0,0.0,20.42,21.29,21.2,,21.2,-10.0
17.203092336654663,23.0,0.0,20.42,21.29,21.23,,21.23,-10.0
17.72225284576416,23.0,0.0,20.37,21.29,21.23,,21.23,-10.0
18.22415065765381,23.0,0.0,20.33,21.29,21.23,,21.23,-10.0
18.720728874206543,23.0,0.0,20.33,21.29,21.27,,21.27,-10.0
19.227945804595947,23.0,0.0,20.33,21.29,21.27,,21.27,-10.0
19.720053911209106,23.0,0.0,20.29,21.29,21.27,,21.27,-10.0
20.224299907684326,23.0,0.0,20.29,21.29,21.27,,21.27,-10.0
20.72059917449951,23.0,0.0,20.24,21.29,21.27,,21.27,-10.0
21.223119735717773,23.0,0.0,20.24,21.29,21.27,,21.27,-10.0
21.73675799369812,23.0,0.0,20.24,21.29,21.31,,21.31,-10.0
22.241557359695435,23.0,0.0,20.2,21.29,21.31,,21.31,-10.0
22.722981214523315,23.0,0.0,20.2,21.29,21.31,,21.31,-10.0
23.23700189590454,23.0,0.0,20.2,21.29,21.31,,21.31,-10.0
23.741477727890015,23.0,0.0,20.2,21.29,21.34,,21.34,-10.0
