time,signal1,signal2
0,28,23.7
3.15544362088405e-30,28,23.7000021369605
7.8154129790401e-07,28,23.7000169483017
4.68924778742406e-06,28,23.70005670818
2.42277802350243e-05,28,23.700133264245
0.000121920442473026,28,23.7002580484876
0.000610383753663032,28,23.7004420878073
0.00305270030961306,28,23.7006960143057
0.0152642830893632,28,23.7010300753144
0.076322196988114,28,23.7014541431646
0.381611766481868,28,23.7019777247041
0.5,28,23.702609970571
1,28,23.7033596842286
1.5,28,23.7042353307689
2,28,23.7052450454918
2.5,28,23.7063966422642
3,28,23.707697621667
3.5,28,23.7091551789347
4,28,23.7107762116932
4.5,28,23.7125673275025
5,28,23.7145348512076
5.5,28,23.7166848321048
6,28,23.7190230509273
6.5,28,23.7215550266552
7,28,23.7242860231553
7.5,28,23.727221055654
8,28,23.7303648970495
8.5,28,23.7337220840663
9,28,23.7372969232569
9.5,28,23.7410934968551
10,28,23.7451156684837
10.5,28,23.7493670887224
11,28,23.7538512005383
11.5,28,23.7585712445827
12,28,23.7635302643589
12.5,28,23.7687311112632
13,28,23.7741764495034
13.5,28,23.7798687608981
14,28,23.7858103495589
14.5,28,23.7920033464601
15,28,23.7984497138984
15.5,28,23.8051512498445
16,28,23.8121095921919
16.5,28,23.8193262229023
17,28,23.8268024720543
17.5,28,23.8345395217941
18,28,23.8425384101935
18.5,28,23.8508000350171
19,28,23.8593251573999
19.5,28,23.8681144054391
20,28,23.877168277702
20.5,28,23.8864871466517
21,28,23.8960712619933
21.5,28,23.9059207539426
22,28,23.9160356364189
22.5,28,23.9264158101651
23,28,23.937061065795
23.5,28,23.947971086772
24,28,23.9591454523191
24.5,28,23.9705836402631
25,28,23.9822850298144
25.5,28,23.994248904284
26,28,24.0064744537389
26.5,28,24.018960777599
27,28,24.0317068871748
27.452742042206,28,24.0447117081495
27.4527420422062,28,24.0579740830057
27.4527420422065,28,24.0714927733982
27.5,28,24.0852664624748
27.5472579577935,28,24.0992937571463
27.6417738733806,28,24.1135731903064
27.8308057045548,28,24.1281032230033
28,28,24.1428822465647
28.5,28,24.1579085846759
29,28,24.1731804954137
29.5,28,24.1886961732364
30,28,24.2044537509313
30.5,28,24.2204513015202
31,28,24.236686840125
31.5,28,24.2531583257933
32,28,24.2698636632857
32.5,28,24.2868007048253
33,28,24.3039672518108
33.5,28,24.3213610564932
34,28,24.3389798236185
34.5,28,24.3568212120355
35,28,24.3748828362707
35.5,28,24.3931622680707
36,28,24.411657037913
36.5,28,24.4303646364854
37,28,24.4492825161361
37.5,28,24.4684080922932
38,28,24.4877387448563
38.5,28,24.5072718195597
39,28,24.5270046293078
39.5,28,24.5469344554847
40,28,24.5670585492342
40.5,28,24.5873741327208
41,28,24.6078784003588
41.5,28,24.6285685200207
42,28,24.6494416342205
42.5,28,24.6704948612741
43,28,24.6917252964364
43.5,28,24.7131300130165
44,28,24.7347060634705
44.5,28,24.7564504804737
45,28,24.7783602779707
45.5,28,24.8004324522064
46,28,24.8226639827357
46.5,28,24.8450518334147
47,28,24.8675929533719
47.1965875330868,28,24.8902842779611
47.1965875330873,28,24.9131227296957
47.1965875330877,28,24.9361052191648
47.5,28,24.9592286459325
47.8034124669123,28,24.9824898994187
48,28,25.0058858597638
48.5,28,25.029413398677
49,28,25.0530693802676
49.5,28,25.0768506618606
50,28,25.1007540947976
50.5,28,25.1247765252208
51,28,25.1489147948436
51.5,28,25.173165741705
52,28,25.1975262009109
52.5,28,25.2219930053606
53,28,25.2465629864589
53.5,28,25.2712329748159
54,28,25.2959998009319
54.5,28,25.3208602958705
55,28,25.3458112919178
55.5,28,25.3708496232297
56,28,25.395972126466
56.5,28,25.4211756414131
57,28,25.4464570115939
57.5,28,25.4718130848666
58,28,25.4972407140115
58.5,28,25.5227367573067
59,28,25.5482980790921
59.5,28,25.5739215503229
59.9999999999995,28,25.599604049112
60,28,25.6253424612623
60.0000000000005,28,25.6511336807873
60.5,28,25.6769746104229
61,28,25.7028621621279
61.5,28,25.728793257575
62,28,25.7547648286324
62.5,28,25.7807738178345
63,28,25.8068171788448
63.5,28,25.8328918769075
64,28,25.8589948892917
64.5,28,25.8851232057254
65,28,25.9112738288206
65.5,28,25.93744377449
66,28,25.9636300723551
66.5,28,25.9898297661448
67,28,26.016039914087
67.5,28,26.0422575892903
68,28,26.0684798801188
68.5,28,26.0947038905583
69,28,26.1209267405741
69.5,28,26.1471455664619
70,28,26.1733575211898
70.5,28,26.1995597747336
71,28,26.2257495144043
71.5,28,26.2519239451675
72,28,26.2780802899564
72.5,28,26.304215789977
73,28,26.330327705006
73.5,28,26.3564133136822
74,28,26.3824699137904
74.5,28,26.4084948225385
75,28,26.434485376828
75.5,28,26.4604389335176
76,28,26.48635286968
76.5,28,26.5122245828527
77,28,26.5380514912815
77.5,28,26.5638310341587
78,28,26.5895606718535
78.5,28,26.6152378861376
79,28,26.6408601804036
79.5,28,26.6664250798781
80,28,26.6919301318278
80.5,28,26.7173729057608
81,28,26.7427509936207
81.5,28,26.7680620099764
82,28,26.7933035922045
82.5,28,26.8184734006673
83,28,26.8435691188848
83.5,28,26.8685884537003
84,28,26.893529135442
84.5,28,26.9183889180782
85,28,26.9431655793668
85.5,28,26.9678569210007
86,28,26.9924607687465
86.5,28,27.0169749725795
87,28,27.0413974068118
87.5,28,27.0657259702172
88,28,27.0899585861494
88.5,28,27.1140932026566
89,28,27.1381277925899
89.5,28,27.162060353708
90,28,27.185888908776
90.5,28,27.2096115056606
91,28,27.2332262174193
91.5,28,27.2567311423862
92,28,27.2801244042521
92.5,28,27.3034041521408
93,28,27.3265685606805
93.5,28,27.3496158300708
94,28,27.3725441861456
94.5,28,27.3953518804309
95,28,27.4180371901991
95.5,28,27.4405984185184
96,28,27.4630338942985
96.5,28,27.4853419723316
97,28,27.5075210333299
97.5,28,27.5295694839582
98,28,27.5514857568629
98.5,28,27.5732683106973
99,28,27.5949156301427
99.5,28,27.6164262259248
100,28,27.6377986348278
100.5,28,27.6590314197035
101,28,27.6801231694765
101.5,28,27.7010724991471
102,28,27.7218780497883
102.5,28,27.7425384885414
103,28,27.7630525086064
103.5,28,27.7834188292293
104,28,27.8036361956864
104.5,28,27.8237033792642
105,28,27.8436191772362
105.5,28,27.8633824128372
106,28,27.8829919352323
106.5,28,27.9024466194847
107,28,27.9217453665184
107.5,28,27.940887103079
108,28,27.9598707816905
108.5,28,27.9786953806094
109,28,27.997359903775
109.5,28,28.0158633807575
110,28,28.0342048667025
110.5,28,28.0523834422724
111,28,28.0703982135852
111.5,28,28.0882483121501
112,28,28.1059328948001
112.5,28,28.1234511436223
113,28,28.1408022658846
113.5,28,28.1579854939603
114,28,28.1750000852492
114.5,28,28.191845322097
115,28,28.2085205117109
115.5,28,28.2250249860735
116,28,28.2413581018535
116.5,28,28.2575192403142
117,28,28.2735078072189
117.5,28,28.2893232327348
118,28,28.3049649713335
118.5,28,28.3204325016893
119,28,28.3357253265756
119.5,28,28.3508429727584
120,28,28.3657849908876
120.5,28,28.3805509553862
121,28,28.3951404643371
121.5,28,28.4095531393677
122,28,28.4237886255326
122.5,28,28.4378465911935
123,28,28.4517267278978
123.5,28,28.4654287502544
124,28,28.4789523958082
124.5,28,28.4922974249119
125,28,28.5054636205962
125.5,28,28.5184507884379
126,28,28.5312587564266
126.5,28,28.5438873748285
127,28,28.5563365160496
127.5,28,28.5686060744961
128,28,28.5806959664336
128.5,28,28.5926061298444
129,28,28.6043365242831
129.5,28,28.6158871307302
130,28,28.6272579514452
130.5,28,28.6384490098162
131,28,28.6494603502101
131.5,28,28.6602920378194
132,28,28.6709441585088
132.5,28,28.6814168186594
133,28,28.6917101450121
133.5,28,28.7018242845095
134,28,28.7117594041361
134.5,28,28.7215156907572
135,28,28.7310933509571
135.5,28,28.740492610875
136,28,28.7497137160406
136.5,28,28.7587569312079
137,28,28.7676225401883
137.5,28,28.7763108456817
138,28,28.7848221691074
138.5,28,28.7931568504334
139,28,28.8013152480049
139.5,28,28.8092977383715
140,28,28.8171047161132
140.5,28,28.8247365936665
141,28,28.8321938011481
141.5,28,28.8394767861785
142,28,28.8465860137049
142.5,28,28.8535219658226
143,28,28.8602851415962
143.5,28,28.8668760568794
144,28,28.8732952441346
144.5,28,28.8795432522512
145,28,28.885620646364
145.5,28,28.8915280076696
146,28,28.8972659332438
146.5,28,28.9028350358569
147,28,28.9082359437894
147.5,28,28.9134693006465
148,28,28.9185357651724
148.5,28,28.9234360110639
149,28,28.9281707267839
149.5,28,28.9327406153735
150,28,28.9371463942652
150.5,28,28.9413887950937
151,28,28.9454685635086
151.5,28,28.9493864589844
152,28,28.9531432546322
152.5,28,28.9567397370097
153,28,28.9601767059317
153.5,28,28.9634549742798
154,28,28.9665753678126
154.5,28,28.9695387249749
155,28,28.9723458967071
155.5,28,28.9749977462547
156,28,28.977495148977
156.5,28,28.9798389921565
157,28,28.9820301748077
157.5,28,28.9840696074856
158,28,28.9859582120951
158.5,28,28.9876969216997
159,28,28.98928668033
159.5,28,28.9907284427931
160,28,28.992023174481
160.5,28,28.9931718511802
161,28,28.9941754588807
161.5,28,28.9950349935849
162,28,28.9957514611176
162.5,28,28.9963258769355
163,28,28.9967592659366
163.5,28,28.9970526622708
164,28,28.99720710915
164.5,28,28.9972236586586
165,28,28.9971033715643
165.5,28,28.9968473171294
166,28,28.9964565729224
166.5,28,28.9959322246295
167,28,28.9952753658669
167.5,28,28.9944870979937
168,28,28.9935685299246
168.5,28,28.9925207779433
169,28,28.9913449655167
169.5,28,28.9900422231089
170,28,28.9886136879964
170.5,28,28.987060504083
171,28,28.9853838217163
171.5,28,28.9835847975034
172,28,28.9816645941285
172.5,28,28.9796243801702
173,28,28.9774653299197
173.5,28,28.9751886231997
174,28,28.9727954451834
174.5,28,28.9702869862152
175,28,28.967664441631
175.5,28,28.96492901158
176,28,28.9620819008463
176.5,28,28.9591243186722
177,28,28.9560574785819
177.5,28,28.9528825982052
178,28,28.9496008991034
178.5,28,28.9462136065945
179,28,28.9427219495806
179.5,28,28.9391271603746
180,28,28.9354304745294
180.5,28,28.9316331306663
181,28,28.9277363703058
181.5,28,28.9237414376977
182,28,28.9196495796537
182.5,28,28.9154620453795
183,28,28.9111800863088
183.5,28,28.9068049559376
184,28,28.9023379096601
184.5,28,28.8977802046045
185,28,28.8931330994709
185.5,28,28.8883978543698
186,28,28.8835757306609
186.5,28,28.8786679907942
187,28,28.8736758981509
187.5,28,28.868600716886
188,28,28.863443711772
188.5,28,28.8582061480431
189,28,28.852889291241
189.5,28,28.8474944070614
190,28,28.8420227612022
190.5,28,28.8364756192116
191,28,28.830854246339
191.5,28,28.8251599073852
192,28,28.8193938665551
192.5,28,28.813557387311
193,28,28.807651732227
193.5,28,28.8016781628446
194,28,28.7956379395296
194.5,28,28.7895323213301
195,28,28.7833625658354
195.5,28,28.7771299290367
196,28,28.7708356651885
196.5,28,28.7644810266713
197,28,28.7580672638556
197.5,28,28.7515956249671
198,28,28.7450673559532
198.5,28,28.7384837003503
199,28,28.7318458991533
199.5,28,28.7251551906852
200,28,28.7184128104687
200.5,28,28.7116199910989
201,28,28.7047779621172
201.5,28,28.6978879498866
202,28,28.6909511774679
202.5,28,28.683968864498
203,28,28.6769422270682
203.5,28,28.6698724776053
204,28,28.6627608247531
204.5,28,28.6556084732549
205,28,28.6484166238383
205.5,28,28.6411864731008
206,28,28.6339192133963
206.5,28,28.6266160327237
207,28,28.6192781146166
207.5,28,28.6119066380337
208,28,28.6045027772515
208.5,28,28.5970677017577
209,28,28.5896025761461
209.5,28,28.582108560013
210,28,28.5745868078547
210.5,28,28.5670384689665
211,28,28.559464687343
211.5,28,28.55186660158
212,28,28.544245344777
212.5,28,28.5366020444423
213,28,28.528937822398
213.5,28,28.5212537946878
214,28,28.5135510714851
214.5,28,28.5058307570029
215,28,28.4980939494049
215.5,28,28.4903417407185
216,28,28.4825752167481
216.5,28,28.474795456991
217,28,28.4670035345538
217.5,28,28.4592005160702
218,28,28.4513874616211
218.5,28,28.4435654246547
219,28,28.435735451909
219.5,28,28.4278985833352
220,28,28.4200558520225
220.5,28,28.4122082841247
221,28,28.4043568987874
221.5,28,28.3965027080771
222,28,28.3886467169116
222.5,28,28.3807899229918
223,28,28.3729333167343
223.5,28,28.3650778812065
224,28,28.3572245920618
224.5,28,28.3493744174768
225,28,28.34152831809
225.5,28,28.3336872469416
226,28,28.3258521494144
226.5,28,28.3180239631764
227,28,28.310203618125
227.5,28,28.3023920363315
228,28,28.2945901319884
228.5,28,28.2867988113565
229,28,28.2790189727147
229.5,28,28.2712515063101
230,28,28.26349729431
230.5,28,28.2557572107549
231,28,28.2480321215133
231.5,28,28.2403228842368
232,28,28.232630348318
232.5,28,28.2249553548481
233,28,28.2172987365771
233.5,28,28.2096613178745
234,28,28.2020439146914
234.5,28,28.1944473345245
235,28,28.1868723763804
235.5,28,28.179319830742
236,28,28.1717904795356
236.5,28,28.1642850960999
237,28,28.1568044451551
237.5,28,28.1493492827748
238,28,28.1419203563581
238.5,28,28.134518404603
239,28,28.1271441574813
239.5,28,28.1197983362147
240,28,28.1124816532523
240.5,28,28.1051948122488
241,28,28.097938508044
241.5,28,28.0907134266445
242,28,28.0835202452048
242.5,28,28.0763596320114
243,28,28.069232246467
243.5,28,28.0621387390758
244,28,28.055079751431
244.5,28,28.0480559162022
245,28,28.041067857125
245.5,28,28.0341161889908
246,28,28.0272015176389
246.5,28,28.0203244399482
247,28,28.0134855438319
247.5,28,28.0066854082315
248,28,27.999924603113
248.5,28,27.9932036894644
249,28,27.9865232192928
249.5,28,27.9798837356249
250,28,27.9732857725062
250.5,28,27.9667298550031
251,28,27.9602164992049
251.5,28,27.9537462122277
252,28,27.9473194922186
252.5,28,27.9409368283617
253,28,27.9345987008842
253.5,28,27.9283055810646
254,28,27.9220579312411
254.5,28,27.9158562048212
255,28,27.9097008462927
255.5,28,27.903592291235
256,28,27.8975309663322
256.5,28,27.8915172893864
257,28,27.8855516693324
257.5,28,27.8796345062531
258,28,27.8737661913965
258.5,28,27.8679471071927
259,28,27.8621776272722
259.5,28,27.8564581164857
260,28,27.850788930924
260.5,28,27.845170417939
261,28,27.8396029161659
261.5,28,27.8340867555461
262,28,27.8286222573511
262.5,28,27.8232097342066
263,28,27.8178494901187
263.5,28,27.8125418205
264,28,27.8072870121963
264.5,28,27.8020853435155
265,28,27.7969370842558
265.5,28,27.7918424957355
266,28,27.7868018308235
266.5,28,27.7818153339707
267,28,27.7768832412417
267.5,28,27.7720057803479
268,28,27.7671831706809
268.5,28,27.7624156233467
269,28,27.7577033412012
269.5,28,27.7530465188857
270,28,27.7484453428632
270.5,28,27.7438999914563
271,28,27.7394106348843
271.5,28,27.7349774353028
272,28,27.7306005468422
272.5,28,27.7262801156481
273,28,27.7220162799221
273.5,28,27.7178091699627
274,28,27.7136589082077
274.5,28,27.7095656092768
275,28,27.7055293800145
275.5,28,27.7015503195342
276,28,27.6976285192629
276.5,28,27.6937640629858
277,28,27.6899570268925
277.5,28,27.6862074796226
278,28,27.6825154823132
278.5,28,27.6788810886459
279,28,27.6753043448948
279.5,28,27.671785289975
280,28,27.6683239554913
280.5,28,27.6649203657885
281,28,27.6615745380006
281.5,28,27.6582864821017
282,28,27.655056200957
282.5,28,27.6518836903746
283,28,27.6487689391567
283.5,28,27.6457119291531
284,28,27.6427126353132
284.5,28,27.6397710257398
285,28,27.6368870617428
285.5,28,27.6340606978934
286,28,27.6312918820788
286.5,28,27.6285805555569
287,28,27.6259266530123
287.5,28,27.6233301026115
288,28,27.6207908260595
288.5,28,27.6183087386562
289,28,27.6158837493535
289.5,28,27.613515760812
290,28,27.6112046694595
290.5,28,27.608950365548
291,28,27.6067527332127
291.5,28,27.60461165053
292,28,27.6025269895769
292.5,28,27.6004986164896
293,28,27.5985263915234
293.5,28,27.5966101691122
294,28,27.5947497979284
294.5,28,27.5929451209435
295,28,27.5911959754881
295.5,28,27.589502193313
296,28,27.58786360065
296.5,28,27.5862800182731
297,28,27.5847512615599
297.5,28,27.5832771405531
298,28,27.5818574600223
298.5,28,27.5804920195262
299,28,27.5791806134744
299.5,28,27.5779230311899
300,28,27.5767190569714
300.5,28,27.5755684701563
301,28,27.574471045183
301.5,28,27.5734265516539
302,28,27.5724347543987
302.5,28,27.5714954135372
303,28,27.5706082845428
303.5,28,27.5697731183054
304,28,27.5689896611954
304.5,28,27.5682576551268
305,28,27.5675768376209
305.5,28,27.5669469418701
306,28,27.5663676968011
306.5,28,27.5658388271395
307,28,27.5653600534727
307.5,28,27.5649310923143
308,28,27.5645516561678
308.5,28,27.5642214535904
309,28,27.5639401892571
309.5,28,27.5637075640243
310,28,27.5635232749937
310.5,28,27.5633870155767
311,28,27.5632984755573
311.5,28,27.5632573411569
312,28,27.5632632950973
312.5,28,27.563316016665
313,28,27.5634151817746
313.5,28,27.5635604630325
314,28,27.5637515298003
314.5,28,27.5639880482589
315,28,27.564269681471
315.5,28,27.5645960894451
316,28,27.5649669291987
316.5,28,27.5653818548212
317,28,27.5658405175368
317.5,28,27.5663425657679
318,28,27.5668876451977
318.5,28,27.5674753988326
319,28,27.5681054670651
319.5,28,27.5687774877359
320,28,27.5694910961964
320.5,28,27.5702459253708
321,28,27.5710416058177
321.5,28,27.5718777657923
322,28,27.5727540313078
322.5,28,27.5736700261967
323,28,27.5746253721724
323.5,28,27.5756196888898
324,28,27.5766525940064
324.5,28,27.5777237032432
325,28,27.5788326304445
325.5,28,27.5799789876388
326,28,27.5811623850984
326.5,28,27.5823824313993
327,28,27.5836387334807
327.5,28,27.5849308967045
328,28,27.5862585249143
328.5,28,27.587621220494
329,28,27.5890185844266
329.5,28,27.5904502163528
330,28,27.5919157146283
330.5,28,27.5934146763825
331,28,27.5949466975752
331.5,28,27.5965113730545
332,28,27.5981082966134
332.5,28,27.5997370610464
